directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1226.3747758865356
 ,1.7976931348623157e+308,2512.371304988861
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, B, C, D, tmp)",22.34015533,3134.3678166866302
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",36.029025,3768.3662209510803
"#pragma omp target teams distribute       is_device_ptr(A, B, C, D, tmp)",65.06342866,4834.367065906525
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",4.059769,4958.36817407608
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,178.12216933,7738.367390632629
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",38.67154233,8382.367924928665
#pragma omp parallel for simd     num_threads(16),76.29368666,9978.659592628479
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)       is_device_ptr(A, B, C, D, tmp)",14.30829966,10425.705160856247
#pragma omp parallel for simd collapse(2) schedule(static)  ,11.74134633,10666.003861427307
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)     thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.44911033,11153.705781698227
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)     thread_limit(64) is_device_ptr(A, B, C, D, tmp)",22.89484166,11569.706347942352
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)   dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",8.74847933,11767.790276765823
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)   dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",61.08694533,12751.63197350502
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)       is_device_ptr(A, B, C, D, tmp)",1.28920133,14195.220117807388
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)     thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.312145,14291.189020872116
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)     thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.278399,14383.621865987778
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)     thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.286323,14471.334564208984
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(64)   thread_limit(32) is_device_ptr(A, B, C, D, tmp)",2.068306,14605.645137548447
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",8.086172,14797.515842199326
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",2.23041666,14901.515676021576
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(16)     is_device_ptr(A, B, C, D, tmp)",120.32619033,16783.519032001495
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)     thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.29217,16929.51590371132
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(72)   thread_limit(256) is_device_ptr(A, B, C, D, tmp)",4.38880633,17319.51637029648
