directive,objective,elapsed_sec
#pragma omp simd,64.08269333,1066.3656752109528
 ,86.59271533,2496.3641636371613
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, B, C, D, tmp)",4.89725766,2764.3640537261963
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",2.213745,2876.6623051166534
"#pragma omp target teams distribute       is_device_ptr(A, B, C, D, tmp)",8.36734833,3060.3641028404236
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",0.568769,3128.3647105693817
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,21.25370833,3754.4911184310913
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)       is_device_ptr(A, B, C, D, tmp)",0.222288,3816.575685977936
"#pragma omp target teams distribute parallel for   collapse(2)   num_threads(176)     is_device_ptr(A, B, C, D, tmp)",0.30235233,3878.3631813526154
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 4) num_threads(72)     is_device_ptr(A, B, C, D, tmp)",0.56048066,3946.3633987903595
"#pragma omp target teams distribute parallel for     schedule(dynamic, 2) num_threads(72)     is_device_ptr(A, B, C, D, tmp)",4.87704433,4078.3632838726044
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 1) num_threads(72) dist_schedule(static, 1)   is_device_ptr(A, B, C, D, tmp)",7.995231,4258.364855766296
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 2) num_threads(64)     is_device_ptr(A, B, C, D, tmp)",0.32846033,4328.364140510559
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 2) num_threads(64)   thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.47563366,4400.364904880524
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 8) num_threads(64)     is_device_ptr(A, B, C, D, tmp)",0.89463733,4476.365504980087
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 4) num_threads(64)   thread_limit(64) is_device_ptr(A, B, C, D, tmp)",0.916198,4552.364297151566
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 1) num_threads(176)     is_device_ptr(A, B, C, D, tmp)",0.30341366,4618.364253997803
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 16) num_threads(64)     is_device_ptr(A, B, C, D, tmp)",1.78861266,4704.364952087402
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 2) num_threads(16)   thread_limit(64) is_device_ptr(A, B, C, D, tmp)",7.941947,4882.3648416996
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(64)   thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.32136566,4952.364784955978
"#pragma omp target teams distribute parallel for     schedule(static, 16) num_threads(64)   thread_limit(256) is_device_ptr(A, B, C, D, tmp)",17.15103033,5270.363822221756
"#pragma omp target teams distribute parallel for simd collapse(2)         is_device_ptr(A, B, C, D, tmp)",0.208227,5340.363621711731
"#pragma omp target teams distribute parallel for   collapse(2)         is_device_ptr(A, B, C, D, tmp)",0.208244,5402.363958597183
"#pragma omp target teams distribute parallel for   collapse(2)   num_threads(64)     is_device_ptr(A, B, C, D, tmp)",0.388414,5468.362094402313
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)       is_device_ptr(A, B, C, D, tmp)",0.20797166,5530.364691495895
"#pragma omp target teams distribute parallel for simd collapse(2)     dist_schedule(static, 4)   is_device_ptr(A, B, C, D, tmp)",1.98366066,5618.36385011673
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)       is_device_ptr(A, B, C, D, tmp)",0.20737466,5686.364530086517
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64)     is_device_ptr(A, B, C, D, tmp)",0.38410866,5756.70525765419
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(128)     is_device_ptr(A, B, C, D, tmp)",0.301113,5832.873553037643
#pragma omp parallel for   collapse(2)    ,1.19976866,5908.364483594894
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176)     is_device_ptr(A, B, C, D, tmp)",0.30189133,5976.365355730057
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 4)       is_device_ptr(A, B, C, D, tmp)",0.740751,6056.36420083046
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8)     is_device_ptr(A, B, C, D, tmp)",15.19859533,6344.364082574844
"#pragma omp target teams distribute parallel for   collapse(2)       thread_limit(256) is_device_ptr(A, B, C, D, tmp)",0.20492566,6414.363806962967
"#pragma omp target teams distribute parallel for   collapse(2)       thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.21090033,6476.362705230713
"#pragma omp target teams distribute parallel for   collapse(2)     dist_schedule(static, 16)   is_device_ptr(A, B, C, D, tmp)",0.59284033,6542.618819475174
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.21302366,6606.364143133163
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(64) is_device_ptr(A, B, C, D, tmp)",0.208028,6668.363785028458
"#pragma omp target teams distribute parallel for   collapse(2)   num_threads(64) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.90302866,6740.364467859268
"#pragma omp target teams distribute parallel for   collapse(2)       thread_limit(64) is_device_ptr(A, B, C, D, tmp)",0.206383,7054.365287542343
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(256) is_device_ptr(A, B, C, D, tmp)",0.20341433,7116.577570438385
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(64)     is_device_ptr(A, B, C, D, tmp)",0.386984,7182.363995552063
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(128) is_device_ptr(A, B, C, D, tmp)",0.20883566,7242.363769292831
"#pragma omp target teams distribute parallel for   collapse(2)     dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",0.36180466,7318.36455488205
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 4)   dist_schedule(static, 4)   is_device_ptr(A, B, C, D, tmp)",15.16792233,7610.365278482437
