p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,1226.3747758865356
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,2512.371304988861
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,22.34015533,3134.3678166866302
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,36.029025,3768.3662209510803
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,65.06342866,4834.367065906525
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,4.059769,4958.36817407608
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,178.12216933,7738.367390632629
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)", ,"dist_schedule(static, #P11)",thread_limit(#P14),32,NA,NA,NA,NA,NA,4,NA,38.67154233,8382.367924928665
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,16,76.29368666,9978.659592628479
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), , ,dynamic,NA,NA,14.30829966,10425.705160856247
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), ,collapse(2),static,NA,NA,11.74134633,10666.003861427307
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.44911033,11153.705781698227
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), , ,dynamic,NA,NA,22.89484166,11569.706347942352
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),dynamic,8,NA,8.74847933,11767.790276765823
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd,schedule(#P10), ,collapse(2),dynamic,2,NA,61.08694533,12751.63197350502
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),static,NA,NA,1.28920133,14195.220117807388
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.312145,14291.189020872116
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),static,NA,NA,1.278399,14383.621865987778
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,NA,NA,1.286323,14471.334564208984
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,64,2.068306,14605.645137548447
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,8,NA,8.086172,14797.515842199326
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),static,16,NA,2.23041666,14901.515676021576
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,16,120.32619033,16783.519032001495
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10), ,collapse(2),static,NA,NA,1.29217,16929.51590371132
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,4.38880633,17319.51637029648
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,2.01093933,17437.516367673874
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,16,63.890143,18519.517075538635
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10), , ,static,NA,NA,17.264985,18999.515543460846
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.075711,19095.51463317871
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,4,8,66.62778333,20167.515164136887
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.87896466,20295.516234636307
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.29434133,20383.516288995743
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.44721433,20471.516147851944
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.99358366,20569.51649928093
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.28456466,20903.51517033577
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd, , ,collapse(2),NA,NA,NA,1.31596233,20995.515115261078
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.46191733,21135.51686024666
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, , , ,collapse(2),NA,NA,NA,1.293023,21255.5163731575
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.29351233,21349.5164437294
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, , , ,collapse(2),NA,NA,NA,1.27872966,21441.516374588013
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, , , ,collapse(2),NA,NA,NA,1.29207533,21525.602207183838
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, , , ,collapse(2),NA,NA,NA,1.32028633,21609.687019586563
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, , ,collapse(2),NA,NA,NA,1.29125133,21699.984431266785
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, , ,collapse(2),NA,NA,NA,1.280382,21785.516170740128
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, , ,collapse(2),NA,NA,NA,1.29229566,22135.729173898697
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.275258,22245.98433661461
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.991637,22381.51638507843
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.04054666,22493.514088392258
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, , , ,collapse(2),NA,NA,NA,1.29354733,22601.599987745285
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.038219,23351.72960472107
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,"schedule(#P10, #P11)", ,collapse(2),static,4,NA,4.64259133,23491.514783859253
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, ,"schedule(#P10, #P11)", ,collapse(2),static,8,NA,14.18860733,23769.51683306694
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)", ,collapse(2),dynamic,2,NA,2.05776266,23867.515056610107
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,2,NA,2.55028666,23971.516803979874
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)", ,collapse(2),dynamic,8,NA,19.70806966,24591.514751911163
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.44273633,24729.514937400818
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10), ,collapse(2),static,16,NA,4.04849166,24885.982873678207
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,"schedule(#P10, #P11)", ,collapse(2),static,16,NA,69.482495,26007.516340732574
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10), ,collapse(2),static,1,NA,62.081924,27003.897476911545
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.881355,27081.517416000366
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,NA,72,1.42339133,27169.517325162888
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.45152966,27271.51559329033
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,128,1.43026866,27359.813153743744
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, , ,num_threads(#P12),collapse(2),NA,NA,72,2.07460233,27557.981545448303
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd, ,num_threads(#P12),collapse(2),NA,NA,72,4.38205133,28373.730166196823
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,NA,128,2.026758,28477.515516757965
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd, ,num_threads(#P12),collapse(2),NA,NA,32,8.320405,28729.516080379486
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10), ,collapse(2),static,NA,NA,1.32023933,28815.516979932785
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd, ,num_threads(#P12),collapse(2),NA,NA,8,219.36753366,32179.654450893402
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,2.38142833,32295.653947114944
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd, , ,collapse(2),NA,NA,NA,1.29077833,32381.652946472168
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,72,2.46063966,32485.65397953987
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,1.993058,32581.653828382492
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,2.429581,32684.121483802795
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd, , , ,NA,NA,NA,17.212125,33005.680980205536
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,"schedule(#P10, #P11)", ,collapse(2),static,16,NA,25.69348166,34281.655154943466
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,NA,72,2.02967966,34407.655219078064
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,"schedule(#P10, #P11)",num_threads(#P12), ,static,4,72,75.75540366,35668.23949122429
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,NA,176,2.59575566,35773.7369184494
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,64,2.45790633,35875.72916531563
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.45627033,35977.72860145569
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, , ,num_threads(#P12),collapse(2),NA,NA,32,2.06881533,36081.73094820976
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,8,121.11729733,38206.0320751667
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,32,4.59535466,38341.727478027344
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,1.99765033,38436.11188173294
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,NA,32,3.50826866,38553.7309923172
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.602466,38905.72844338417
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.02505866,39003.74411249161
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,2.00627133,39099.72811293602
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,176,1.43584,39187.73328995705
