directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.490935,34374.38984704018
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.49527666,34544.390264987946
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.49826366,32758.389356851578
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.5079,24480.517166376114
"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.50912633,30334.389767885208
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.51307766,24562.388934373856
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.514217,35090.38924384117
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.52295433,35610.8564684391
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.552937,25940.517009973526
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.56414066,30656.389573574066
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.56643733,37476.38945865631
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.58145566,29998.390284776688
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.584553,32962.39343690872
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.790958,25858.3882021904
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.79670833,37328.38991713524
,1.7976931348623157e+308,2898.392996072769
#pragma omp simd,1.7976931348623157e+308,1672.3958313465118
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.803326,34880.389906167984
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.83836433,29246.390261411667
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.84084866,30104.81490087509
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.841492,36764.38965630531
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.84749133,25114.390348911285
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.98736933,22542.390204191208
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",1.99101,35708.389353990555
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",11.075913,25028.38980793953
#pragma omp parallel for collapse(2) schedule(dynamic),12.43596966,6580.389931917191
#pragma omp parallel for simd collapse(2) schedule(dynamic),12.48247966,10668.389625549316
