directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.38751966,28354.336544275284
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.38990366,23844.334822893143
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.39119466,22892.336725234985
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.39161666,28642.337082862854
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(176) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.39165933,29276.33761382103
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.392159,25964.336401939392
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.39331733,18596.422843933105
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.39533433,24620.348388433456
"#pragma omp target teams distribute parallel for simd schedule(dynamic) is_device_ptr(A, B, C, D, tmp)",1.7976931348623157e+308,7944.339637994766
#pragma omp simd,1.7976931348623157e+308,1222.3438251018524
,1.7976931348623157e+308,2452.337721347809
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.89245833,28866.59287381172
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.89270133,23378.337758541107
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.89280566,23474.421712875366
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.89295233,25746.847622156143
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.89383466,22792.336477041245
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(72) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.894045,28912.590537548065
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.89412366,28602.337157964706
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.89443566,21604.84586429596
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",1.894652,28502.3374106884
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) is_device_ptr(A, B, C, D, tmp)",1.89475266,23570.336386442184
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.897805,23752.67878127098
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(A, B, C, D, tmp)",1.89912433,23522.33863759041
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",1.899292,22940.593027591705
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(A, B, C, D, tmp)",1.89951633,23616.42323946953
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) is_device_ptr(A, B, C, D, tmp)",1.89965566,24082.33797454834
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.89967966,24430.33575797081
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) is_device_ptr(A, B, C, D, tmp)",1.899752,26074.336976528168
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.902063,24976.33670401573
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",1.90411733,24670.361743688583
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",11.228819,9494.336409330368
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",115.12226066,18556.677491903305
"#pragma omp target teams distribute dist_schedule(static, 2) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",136.028079,11556.336194038391
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",15.98177133,24928.635464429855
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, C, D, tmp)",16.642655,2722.3385152816772
"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(176) is_device_ptr(A, B, C, D, tmp)",16.72162533,30622.335691690445
"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(128) is_device_ptr(A, B, C, D, tmp)",17.50138333,30352.336839437485
"#pragma omp target teams distribute parallel for simd schedule(static) is_device_ptr(A, B, C, D, tmp)",17.68005833,30068.3376019001
"#pragma omp target teams distribute parallel for simd is_device_ptr(A, B, C, D, tmp)",17.77803733,6728.337027788162
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 2) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",19.84627266,21920.80607700348
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",196.24629933,21558.46400332451
