directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.24000966,13860.555606603622
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.24592133,18032.555455207825
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.263304,16160.556671380997
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.264396,16746.557198524475
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.265701,16808.556216955185
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.26611066,15494.556503772736
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.26611566,15120.557031154633
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.266379,16072.556551218033
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.26713333,15184.55456662178
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",0.267213,16684.683288812637
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.26750466,17354.896892786026
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(E, A, B, F, C, D, G)",0.26822,16870.555332422256
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.26834566,15906.555659770966
"#pragma omp target teams distribute parallel for simd collapse(2) is_device_ptr(E, A, B, F, C, D, G)",0.268765,16616.555616378784
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.26894366,14074.55557346344
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.26937866,15556.555181741714
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",0.270042,16932.555764198303
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.27143933,15252.55586194992
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(E, A, B, F, C, D, G)",0.27555366,4194.853618860245
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.27688766,15844.556075334549
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.27742566,17292.852964401245
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.28032633,15322.556118488312
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) is_device_ptr(E, A, B, F, C, D, G)",0.282042,9642.55564713478
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.28265566,17968.556675195694
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(128) is_device_ptr(E, A, B, F, C, D, G)",0.28409366,19868.55703830719
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(128) is_device_ptr(E, A, B, F, C, D, G)",0.28765666,21164.68323135376
"#pragma omp target teams distribute parallel for collapse(2) num_threads(176) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.33242966,21530.555812120438
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.33541733,19390.556368350983
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.335697,18662.5556974411
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.3431,21737.067254781723
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.34624066,14194.555630207062
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.34973133,12296.555457830429
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.35271466,19324.939018011093
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.361741,18798.556024074554
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.361863,18930.55634713173
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.36235366,19736.556510210037
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) is_device_ptr(E, A, B, F, C, D, G)",0.39925433,20892.55694627762
"#pragma omp target teams distribute parallel for collapse(2) num_threads(176) is_device_ptr(E, A, B, F, C, D, G)",0.409043,4260.556028604507
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) is_device_ptr(E, A, B, F, C, D, G)",0.41139266,21464.55589199066
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.42734833,21098.55616211891
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 2) num_threads(64) is_device_ptr(E, A, B, F, C, D, G)",0.43566066,4902.685545921326
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.43734233,13508.555735349655
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 2) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.440631,18866.554851293564
"#pragma omp target teams distribute parallel for collapse(2) num_threads(176) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.442748,21598.854287862778
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.44368733,13762.555824279785
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.44522366,19062.556540966034
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.446046,19194.55535054207
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.50831533,18996.555740118027
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.52383233,19128.5542883873
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.52430666,20273.06664299965
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.52459133,21030.555169582367
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.52473033,20962.556951761246
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.52480233,20652.55654478073
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.528501,19260.683604717255
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.535041,19804.771607875824
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) is_device_ptr(E, A, B, F, C, D, G)",0.55634133,20340.557469129562
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 4) num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",0.78314666,4332.853324174881
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.804862,3588.555496454239
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.85910266,18733.02184152603
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.906701,21672.55643248558
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(32) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.913024,19670.555721521378
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 4) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.55663333,18242.556779384613
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.62196733,17480.55656170845
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) is_device_ptr(E, A, B, F, C, D, G)",1.63412966,19472.72406554222
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 8) is_device_ptr(E, A, B, F, C, D, G)",1.76184633,9422.641273498535
baseline,1.83957166,1
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(8) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",10.32868733,20082.555558919907
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(16) is_device_ptr(E, A, B, F, C, D, G)",11.32994633,21396.556014299393
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",11.63878833,18598.55632376671
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(8) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",11.846434,20580.556176185608
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) dist_schedule(static, 1) is_device_ptr(E, A, B, F, C, D, G)",12.14411,7802.554675102234
"#pragma omp target teams distribute is_device_ptr(E, A, B, F, C, D, G)",12.418962,3516.5566716194153
"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(176) is_device_ptr(E, A, B, F, C, D, G)",12.47521633,7538.979382991791
