directive,objective,elapsed_sec
baseline,0.011045,1
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(176),0.011453,3492.331462621689
#pragma omp parallel for,0.01170966,344.33177852630615
#pragma omp parallel for simd schedule(static),0.01177266,2330.3318569660187
#pragma omp parallel for schedule(static),0.01184133,4736.33260512352
#pragma omp parallel for collapse(2) schedule(static) num_threads(128),0.012386,4066.332010269165
#pragma omp parallel for num_threads(128),0.01244366,4852.544861793518
#pragma omp parallel for schedule(static) num_threads(176),0.01248433,1360.3314681053162
#pragma omp parallel for simd schedule(static) num_threads(128),0.01253866,2874.3328850269318
#pragma omp parallel for schedule(static) num_threads(128),0.01253966,1298.331701517105
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(128),0.01261,3612.332663297653
#pragma omp parallel for simd num_threads(128),0.012721,5394.331783056259
#pragma omp parallel for schedule(dynamic),0.0133,5092.331964492798
"#pragma omp parallel for simd schedule(dynamic, 1)",0.01331066,6592.630121946335
#pragma omp parallel for simd schedule(dynamic),0.01347333,6002.331299781799
#pragma omp parallel for collapse(3) schedule(static),0.01359033,6830.329681396484
"#pragma omp parallel for schedule(dynamic, 1)",0.01369833,7010.330585479736
"#pragma omp parallel for simd schedule(static, 1)",0.01389633,6358.332123994827
#pragma omp parallel for schedule(dynamic) num_threads(176),0.01402966,2270.4174180030823
#pragma omp parallel for collapse(3) schedule(static) num_threads(176),0.014056,3144.7138550281525
"#pragma omp parallel for schedule(static, 1)",0.014078,6712.33167219162
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(176),0.01421633,466.3306941986084
#pragma omp parallel for schedule(dynamic) num_threads(128),0.01440533,2210.3314547538757
#pragma omp parallel for simd schedule(dynamic) num_threads(176),0.01461933,3926.5456709861755
"#pragma omp parallel for simd schedule(static, 2)",0.01494466,6240.332503557205
#pragma omp parallel for simd schedule(dynamic) num_threads(128),0.01560966,2450.3326580524445
"#pragma omp parallel for schedule(static, 4)",0.015812,6534.543231964111
"#pragma omp parallel for simd schedule(static, 4) num_threads(128)",0.01593233,4972.331436872482
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(128)",0.01621066,4794.671699047089
"#pragma omp parallel for simd schedule(static, 4)",0.01644033,6122.330660104752
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(128),0.016679,2512.333110332489
#pragma omp parallel for collapse(3) schedule(static) num_threads(128),0.016848,2390.33252453804
"#pragma omp parallel for schedule(dynamic, 4) num_threads(128)",0.01697433,5212.332035541534
"#pragma omp parallel for schedule(dynamic, 4)",0.017119,6890.330764055252
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(128)",0.01715633,6062.331938743591
"#pragma omp parallel for simd schedule(dynamic, 4)",0.017355,5942.33380150795
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(128)",0.01989266,4370.331587553024
#pragma omp parallel for schedule(static) num_threads(72),0.020731,1482.3318259716034
#pragma omp parallel for simd schedule(static) num_threads(72),0.02077166,1908.3747055530548
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(64),0.02150533,3286.3319692611694
#pragma omp parallel for simd schedule(static) num_threads(64),0.02193266,3014.3315992355347
"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(128)",0.02210533,4618.332277774811
#pragma omp parallel for collapse(2) schedule(static) num_threads(64),0.022355,1118.3307950496674
#pragma omp parallel for schedule(dynamic) num_threads(72),0.02236633,2030.3315172195435
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.02327033,3866.3330488204956
#pragma omp parallel for schedule(dynamic) num_threads(64),0.02401633,2150.331030368805
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(64)",0.02477666,4912.331304073334
#pragma omp parallel for simd schedule(dynamic) num_threads(64),0.02490533,2574.3318359851837
"#pragma omp parallel for schedule(static, 8)",0.02666366,6652.330954313278
"#pragma omp parallel for simd schedule(static, 8)",0.02668266,6180.7587678432465
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(72),0.02769466,2090.33087849617
#pragma omp parallel for collapse(3) schedule(static) num_threads(72),0.02833866,1542.3315060138702
"#pragma omp parallel for simd collapse(2) schedule(static, 4) num_threads(128)",0.03065633,5032.3315596580505
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(64),0.03140266,3552.503387451172
#pragma omp parallel for collapse(3) schedule(static) num_threads(64),0.031523,1848.332302570343
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(128)",0.03199033,5518.332706451416
"#pragma omp parallel for schedule(dynamic, 8)",0.032556,6950.458249330521
"#pragma omp parallel for simd schedule(dynamic, 8)",0.032697,6772.672252655029
#pragma omp parallel for simd schedule(static) num_threads(32),0.04352933,1420.330531835556
#pragma omp parallel for collapse(2) schedule(static) num_threads(32),0.04393166,1238.332278251648
"#pragma omp parallel for schedule(static, 1) num_threads(32)",0.045598,220.5885648727417
#pragma omp parallel for schedule(dynamic) num_threads(32),0.04575733,1602.3315029144287
#pragma omp parallel for simd schedule(dynamic) num_threads(32),0.04632533,4432.33212018013
"#pragma omp parallel for simd schedule(static, 16)",0.05122266,6300.458711147308
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(128)",0.05694466,5882.544191122055
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(32),0.06028066,1726.3314588069916
#pragma omp parallel for collapse(3) schedule(static) num_threads(32),0.06083833,1666.332334280014
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(128)",0.06145066,5152.331469774246
"#pragma omp parallel for schedule(dynamic, 16) num_threads(128)",0.063024,5272.331858158112
"#pragma omp parallel for schedule(dynamic, 16) num_threads(176)",0.065826,4678.331924676895
"#pragma omp parallel for collapse(2) schedule(static, 2) num_threads(128)",0.069675,4558.331037282944
"#pragma omp parallel for collapse(2) schedule(dynamic, 4) num_threads(128)",0.08065066,5700.757396697998
#pragma omp parallel for collapse(2) schedule(static) num_threads(16),0.08111333,1178.3324625492096
#pragma omp parallel for schedule(dynamic) num_threads(16),0.08943366,3078.3309423923492
#pragma omp parallel for simd schedule(dynamic) num_threads(16),0.09020133,4496.331271409988
#pragma omp parallel for collapse(3) num_threads(16),0.11920833,406.41794061660767
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(16),0.11954733,5822.543993473053
#pragma omp parallel for collapse(3) schedule(static) num_threads(16),0.11964766,1788.3306469917297
"#pragma omp parallel for collapse(3) schedule(static, 4) num_threads(176)",0.13421366,5332.842424631119
"#pragma omp parallel for simd collapse(3) schedule(static, 4) num_threads(176)",0.13512766,5456.331858158112
#pragma omp parallel for collapse(2) schedule(dynamic),0.138241,770.3314881324768
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(176),0.142591,5640.331932544708
"#pragma omp target teams distribute parallel for collapse(3) schedule(static) num_threads(128) thread_limit(128) is_device_ptr(A, B)",0.147364,2954.7994549274445
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(72),0.15031633,5762.332303762436
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) num_threads(8) thread_limit(64) is_device_ptr(A, B)",0.15584666,708.3317823410034
"#pragma omp target teams distribute parallel for collapse(3) schedule(static) num_threads(72) thread_limit(64) is_device_ptr(A, B)",0.15679533,2800.331621170044
