directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1828.3685536384583
,1.7976931348623157e+308,3116.364956855774
"#pragma omp target teams distribute parallel for simd schedule(static, 2) thread_limit(128) is_device_ptr(data, symmat, mean, stddev)",11.237037,7606.36172914505
#pragma omp parallel for schedule(static) num_threads(128),11.62248566,11908.361917972565
#pragma omp parallel for num_threads(128),11.632342,11742.362071037292
#pragma omp parallel for simd num_threads(128),11.757574,12078.363617658615
#pragma omp parallel for simd schedule(static) num_threads(128),11.82599933,12888.362460136414
#pragma omp parallel for schedule(dynamic) num_threads(16),18.32975033,5542.3620483875275
"#pragma omp parallel for simd schedule(static, 8) num_threads(16)",19.31142866,8498.447857141495
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(16)",19.31169766,13404.78748345375
"#pragma omp target teams distribute parallel for schedule(dynamic, 4) is_device_ptr(data, symmat, mean, stddev)",22.10249666,10416.36304306984
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(data, symmat, mean, stddev)",24.23503433,4452.361789941788
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) thread_limit(64) is_device_ptr(data, symmat, mean, stddev)",25.35772033,10862.78758072853
#pragma omp parallel for simd schedule(dynamic) num_threads(176),3.145636,15090.532309055328
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",3.146662,13164.362173557281
"#pragma omp parallel for simd schedule(dynamic, 2)",3.169152,6850.365879535675
#pragma omp parallel for schedule(dynamic) num_threads(176),3.184449,14932.362844467163
#pragma omp parallel for schedule(dynamic),3.189373,4158.361004829407
#pragma omp parallel for simd schedule(dynamic) num_threads(176),3.189995,15010.362741947174
"#pragma omp parallel for simd schedule(dynamic, 1)",3.19079033,6594.363177776337
#pragma omp parallel for schedule(dynamic) num_threads(176),3.191648,16446.362431764603
#pragma omp parallel for simd schedule(dynamic),3.199287,5622.362223625183
"#pragma omp parallel for schedule(dynamic, 2)",3.251112,9424.362471342087
#pragma omp parallel for schedule(dynamic),3.25842866,9212.362127542496
#pragma omp parallel for simd schedule(dynamic),3.259878,5084.360953330994
"#pragma omp parallel for simd schedule(dynamic, 1)",3.26269366,5166.7411053180695
"#pragma omp parallel for simd schedule(dynamic, 2)",3.28386033,9132.364880084991
"#pragma omp parallel for schedule(dynamic, 4)",3.372737,13484.575653791428
#pragma omp parallel for schedule(dynamic) num_threads(128),3.434515,11494.362445116043
#pragma omp parallel for simd schedule(dynamic) num_threads(128),3.43828366,11332.363578081131
#pragma omp parallel for schedule(dynamic) num_threads(128),3.441474,11576.363107204437
#pragma omp parallel for simd schedule(dynamic) num_threads(128),3.44440466,11414.363125562668
"#pragma omp parallel for simd schedule(dynamic, 4)",3.46945,13086.362541675568
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(128)",3.513879,9508.362467288971
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(128)",3.52396766,9826.36203956604
"#pragma omp parallel for schedule(dynamic, 2) num_threads(128)",3.53769633,9908.787551879883
"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",3.79817433,15386.362567186356
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(128)",3.87538933,9742.363321065903
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) is_device_ptr(data, symmat, mean, stddev)",31.38813033,6374.831459760666
#pragma omp parallel for simd num_threads(16),35.23121733,4860.702223300934
#pragma omp parallel for simd schedule(dynamic) num_threads(8),35.65914633,9054.36244559288
