directive,objective,elapsed_sec
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)",0.185306,2480.5585136413574
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8)",0.186196,2172.17494392395
"#pragma omp parallel for collapse(2) schedule(dynamic, 1)",0.190137,1588.1752710342407
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)",0.190148,2376.176154613495
#pragma omp parallel for simd collapse(2) schedule(dynamic),0.19016566,2884.558827638626
#pragma omp parallel for collapse(2) schedule(dynamic),0.19017566,784.1750867366791
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)",0.19034266,2330.1737627983093
"#pragma omp parallel for collapse(2) schedule(dynamic, 2)",0.190791,1780.1749284267426
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4)",0.191824,2280.3455567359924
"#pragma omp parallel for collapse(2) schedule(dynamic, 4)",0.191833,1924.6432631015778
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",0.192204,1684.1743545532227
"#pragma omp parallel for collapse(2) schedule(dynamic, 8)",0.192329,1732.1746501922607
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1) num_threads(128)",0.199937,3732.174918651581
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(128),0.20157333,990.3437533378601
"#pragma omp parallel for collapse(2) schedule(dynamic, 1) num_threads(128)",0.20336066,1490.1745927333832
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2) num_threads(128)",0.20539433,3194.1748807430267
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(128),0.20560833,3346.17577791214
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4) num_threads(128)",0.20577233,3682.3437016010284
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(128)",0.20681366,1296.1748306751251
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(128)",0.20711133,3240.1763968467712
#pragma omp parallel for collapse(2),0.227591,5242.175733089447
"#pragma omp parallel for collapse(2) schedule(static, 16)",0.228985,1972.176013469696
"#pragma omp parallel for collapse(2) schedule(static, 2)",0.22926166,1828.4724671840668
#pragma omp parallel for simd collapse(2) schedule(static),0.22932666,2838.1757225990295
#pragma omp parallel for simd collapse(2),0.229385,5130.175278902054
#pragma omp parallel for collapse(2) schedule(static),0.229391,896.3447701931
"#pragma omp parallel for collapse(2) schedule(static, 8)",0.229413,2128.1753249168396
"#pragma omp parallel for simd collapse(2) schedule(static, 16)",0.22986866,2632.515625476837
"#pragma omp parallel for collapse(2) schedule(static, 4)",0.23052066,2084.1749153137207
"#pragma omp parallel for collapse(2) schedule(static, 1)",0.23114366,1876.1747097969055
"#pragma omp parallel for simd collapse(2) schedule(static, 4)",0.23117166,2682.174686908722
"#pragma omp parallel for simd collapse(2) schedule(static, 8)",0.233081,4916.174009561539
"#pragma omp parallel for simd collapse(2) schedule(static, 1)",0.23356566,2528.174923658371
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(72)",0.25130833,3884.1741428375244
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(72),0.25375733,944.1747493743896
"#pragma omp parallel for collapse(2) schedule(dynamic, 4) num_threads(72)",0.25386533,1342.174245595932
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4) num_threads(72)",0.25448566,3636.6437129974365
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.25594566,634.174576997757
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),0.25927333,3392.174723148346
baseline,0.26974633,1
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C4, sum)",0.27755266,5886.175982952118
#pragma omp parallel for simd schedule(dynamic),0.279023,4308.174957990646
#pragma omp parallel for schedule(static),0.27931433,4360.173934936523
#pragma omp parallel for simd schedule(static),0.27992833,4408.173842906952
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C4, sum)",0.28088633,5012.174752950668
"#pragma omp parallel for simd schedule(dynamic, 1)",0.281116,3930.1744418144226
"#pragma omp parallel for simd schedule(static, 1)",0.281257,4682.174767255783
#pragma omp parallel for simd,0.28139533,5332.174781560898
"#pragma omp parallel for schedule(static, 1)",0.281648,4456.175944328308
