directive,objective,elapsed_sec
"#pragma omp parallel for schedule(dynamic, 4)",0.11197666,1742.3016533851624
"#pragma omp parallel for simd schedule(dynamic, 4)",0.11212966,2068.6421802043915
"#pragma omp parallel for simd schedule(dynamic, 4)",0.112438,4888.598303079605
"#pragma omp parallel for schedule(dynamic, 4)",0.11321033,1418.3022119998932
"#pragma omp parallel for simd schedule(dynamic, 1)",0.113557,2148.6839888095856
#pragma omp parallel for schedule(dynamic),0.11376833,1014.3030526638031
"#pragma omp parallel for simd schedule(dynamic, 1)",0.11404966,4480.305035114288
#pragma omp parallel for simd schedule(static),0.114193,4132.302248477936
#pragma omp parallel for schedule(static),0.11445133,3552.302113056183
#pragma omp parallel for schedule(dynamic),0.114557,1822.3021552562714
#pragma omp parallel for simd schedule(dynamic),0.11474066,4396.641433000565
baseline,0.11501533,1
#pragma omp parallel for,0.11519333,4640.301612615585
#pragma omp parallel for simd,0.115269,4808.301553010941
#pragma omp parallel for simd schedule(static),0.11532,3710.3016176223755
#pragma omp parallel for simd,0.115554,4970.301611661911
#pragma omp parallel for simd schedule(dynamic),0.115618,4226.301934957504
"#pragma omp parallel for schedule(dynamic, 1)",0.11563933,1258.301502943039
"#pragma omp parallel for schedule(dynamic, 1)",0.115785,4560.301498889923
#pragma omp parallel for schedule(static),0.11623466,2228.3009247779846
"#pragma omp parallel for schedule(static, 1)",0.11642866,3394.4717166423798
"#pragma omp parallel for schedule(static, 1)",0.11661266,2640.3118834495544
#pragma omp parallel for,0.116788,5170.301560163498
"#pragma omp parallel for schedule(dynamic, 2)",0.11683333,1338.3015623092651
"#pragma omp parallel for simd schedule(static, 1)",0.116947,2390.3015701770782
"#pragma omp parallel for schedule(dynamic, 2)",0.117157,8054.302157640457
"#pragma omp parallel for schedule(static, 4)",0.117761,3630.8121745586395
"#pragma omp parallel for simd schedule(static, 4)",0.11779433,2472.301144838333
"#pragma omp parallel for simd schedule(static, 4)",0.11781366,3788.7691791057587
"#pragma omp parallel for schedule(static, 4)",0.11795166,1496.3018507957458
"#pragma omp parallel for simd schedule(static, 1)",0.11846,3474.3011589050293
"#pragma omp parallel for schedule(static, 2)",0.12069433,2554.3017172813416
"#pragma omp parallel for simd schedule(static, 2)",0.12142666,3100.301999092102
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.136277,9632.302940607071
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.13853033,9264.72804236412
