directive,objective,elapsed_sec
#pragma omp parallel for simd num_threads(72),0.11025366,4062.404544353485
"#pragma omp parallel for schedule(dynamic, 1)",0.122684,2010.4060142040253
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.12271433,382.61992025375366
#pragma omp parallel for num_threads(72),0.130164,4418.403725147247
"#pragma omp parallel for simd schedule(dynamic, 4)",0.13159566,2544.617490053177
#pragma omp parallel for schedule(static) num_threads(64),0.13163533,1112.5763516426086
"#pragma omp parallel for schedule(static, 4)",0.13176833,890.4062061309814
"#pragma omp parallel for schedule(static, 8)",0.132015,1292.5352005958557
"#pragma omp parallel for simd schedule(static, 2)",0.13203466,2814.404388666153
"#pragma omp parallel for schedule(dynamic, 8)",0.13204833,1068.703758239746
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",0.13205066,1784.4061131477356
"#pragma omp parallel for schedule(dynamic, 4)",0.13240033,2274.4044966697693
"#pragma omp parallel for simd schedule(static, 4)",0.132424,2858.4045832157135
"#pragma omp parallel for simd schedule(static, 2) num_threads(72)",0.13246,3656.404279947281
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(72)",0.13280866,3478.4045071601868
"#pragma omp parallel for schedule(static, 4)",0.13286866,2098.406030893326
"#pragma omp parallel for schedule(dynamic, 4)",0.132902,1828.4059853553772
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",0.13291033,3388.4050345420837
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",0.132944,3700.829396009445
"#pragma omp parallel for simd schedule(dynamic, 4)",0.133135,3166.404940843582
"#pragma omp parallel for schedule(static, 8)",0.133203,2456.405004262924
"#pragma omp parallel for simd schedule(dynamic, 8)",0.133551,2720.4044847488403
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(64)",0.13362633,4594.4042155742645
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",0.13378033,3568.4046235084534
"#pragma omp parallel for schedule(static, 2)",0.133982,1336.4047396183014
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(64)",0.13421166,4638.40505027771
#pragma omp parallel for schedule(static) num_threads(72),0.13423466,934.4059789180756
"#pragma omp parallel for simd schedule(dynamic, 2)",0.13424766,2632.4899945259094
"#pragma omp parallel for simd schedule(dynamic, 2)",0.13426466,1248.4065971374512
"#pragma omp parallel for schedule(static, 1) num_threads(72)",0.13690366,1872.405497789383
#pragma omp parallel for schedule(dynamic),0.137827,712.6186208724976
#pragma omp parallel for simd schedule(static),0.137999,3078.872540473938
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(64)",0.13816933,4820.618263721466
#pragma omp parallel for schedule(static),0.138345,756.8744428157806
#pragma omp parallel for simd num_threads(72),0.13869833,4196.405279159546
"#pragma omp parallel for schedule(static, 1)",0.138764,2054.4067001342773
#pragma omp parallel for,0.13887266,1918.4066138267517
#pragma omp parallel for simd,0.1389,3256.403908967972
#pragma omp parallel for simd schedule(static) num_threads(72),0.13926466,2902.404829263687
#pragma omp parallel for simd schedule(dynamic),0.1393,2990.404252767563
#pragma omp parallel for simd num_threads(64),0.13934666,4506.405221700668
"#pragma omp parallel for schedule(static, 1)",0.13936633,1602.6192553043365
#pragma omp parallel for schedule(dynamic) num_threads(72),0.13937366,2142.6198506355286
#pragma omp parallel for schedule(static),0.139564,800.4902856349945
#pragma omp parallel for simd schedule(static),0.13958433,1204.4055869579315
#pragma omp parallel for simd schedule(dynamic),0.13966466,3122.745367527008
"#pragma omp parallel for schedule(dynamic, 1)",0.13992533,1424.661418914795
#pragma omp parallel for simd schedule(static) num_threads(72),0.139979,3034.744705438614
#pragma omp parallel for schedule(static) num_threads(72),0.140001,2588.4046926498413
#pragma omp parallel for schedule(dynamic),0.140253,2230.4055778980255
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.140478,3344.4050126075745
#pragma omp parallel for num_threads(72),0.140501,3880.404121875763
#pragma omp parallel for,0.14051666,2500.872368812561
#pragma omp parallel for schedule(dynamic) num_threads(72),0.14056966,2318.577857732773
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.14070633,3300.403614759445
#pragma omp parallel for simd,0.140908,3836.5320580005646
baseline,0.14207566,1
#pragma omp parallel for simd num_threads(64),0.14491066,4240.403827905655
#pragma omp parallel for num_threads(64),0.145269,4106.404701471329
#pragma omp parallel for num_threads(64),0.14709833,4462.40465259552
#pragma omp parallel for simd schedule(dynamic) num_threads(128),0.15616,3792.404585838318
#pragma omp parallel for simd num_threads(128),0.156999,4682.872428178787
