directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128) is_device_ptr(A, B, C)",0.10587166,7854.390629291534
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.106323,3168.56068277359
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(A, B, C)",0.106496,1264.2625939846039
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(A, B, C)",0.10687066,1510.2625691890717
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(A, B, C)",0.10695133,1590.3902306556702
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(A, B, C)",0.107208,1184.2633349895477
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176) thread_limit(128) is_device_ptr(A, B, C)",0.10727133,7684.262189865112
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(128) thread_limit(64) is_device_ptr(A, B, C)",0.107439,8274.261433839798
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(64) thread_limit(256) is_device_ptr(A, B, C)",0.10751833,6074.262995481491
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(64) thread_limit(256) is_device_ptr(A, B, C)",0.107666,2002.2615711688995
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.10773933,3006.2629368305206
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(32) thread_limit(128) is_device_ptr(A, B, C)",0.10781,7600.263167142868
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",0.10808866,1430.2636828422546
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.108146,3620.2637066841125
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(176) thread_limit(64) is_device_ptr(A, B, C)",0.108289,8530.264322519302
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",0.108423,6660.261220216751
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",0.10866233,1016.2634861469269
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) thread_limit(256) is_device_ptr(A, B, C)",0.10886933,2562.2627308368683
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(32) is_device_ptr(A, B, C)",0.10892466,6740.26359462738
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.10898066,8362.260731220245
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) thread_limit(64) is_device_ptr(A, B, C)",0.109375,7940.263043880463
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(64) is_device_ptr(A, B, C)",0.10948833,4034.263566017151
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.109529,8192.262533664703
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(128) is_device_ptr(A, B, C)",0.10960833,9282.731124401093
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) thread_limit(256) is_device_ptr(A, B, C)",0.10970266,7520.262791633606
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(176) thread_limit(32) is_device_ptr(A, B, C)",0.10976966,6420.263296842575
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(128) thread_limit(128) is_device_ptr(A, B, C)",0.10985533,7254.560616016388
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.11005733,7768.390007972717
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176) is_device_ptr(A, B, C)",0.110115,3874.345962524414
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) thread_limit(128) is_device_ptr(A, B, C)",0.11033166,4114.262951374054
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) thread_limit(64) is_device_ptr(A, B, C)",0.11036866,8860.263845205307
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(A, B, C)",0.11039333,3700.2622933387756
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(A, B, C)",0.110442,3088.264033794403
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.110453,9368.263154268265
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(176) is_device_ptr(A, B, C)",0.11057766,9200.262387990952
