directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) is_device_ptr(A, B, C)",0.13202,18104.522093057632
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.132895,9720.990052700043
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.134547,16850.521954536438
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.13517733,5702.522221565247
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(256) is_device_ptr(A, B, C)",0.13570466,7528.524178028107
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.13574333,5022.86393904686
"#pragma omp target teams distribute parallel for simd collapse(2) is_device_ptr(A, B, C)",0.137004,17490.52264690399
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(A, B, C)",0.138248,13202.523202180862
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(A, B, C)",0.13829566,13878.52312207222
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.13847033,17286.989030122757
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.13857266,17072.523468732834
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C)",0.13866066,20398.52288365364
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) is_device_ptr(A, B, C)",0.13875,18968.52526807785
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.138808,10076.523157119751
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.13883566,9910.522680997849
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.138857,11532.521518230438
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C)",0.138975,5928.521488189697
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.139092,11700.521936178207
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(A, B, C)",0.13922133,13370.523228883743
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C)",0.13932566,22962.608696699142
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C)",0.13943766,18802.521398067474
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) thread_limit(32) is_device_ptr(A, B, C)",0.139534,18462.906105279922
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(32) is_device_ptr(A, B, C)",0.13962433,19866.60797405243
