directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) is_device_ptr(A, B, C)",0.88437566,45974.33876943588
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) is_device_ptr(A, B, C)",0.884705,44116.33770227432
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C)",0.95893433,47458.33763217926
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.96088566,47352.33695077896
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(A, B, C)",0.96240033,44842.33687543869
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(A, B, C)",0.964849,46224.33748817444
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128) is_device_ptr(A, B, C)",0.96565,46412.33812999725
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) is_device_ptr(A, B, C)",0.98945366,44622.33735227585
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) is_device_ptr(A, B, C)",1.04509266,45574.3377430439
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(72) is_device_ptr(A, B, C)",1.04573966,45336.33903813362
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.292205,44956.33779621124
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.29421033,40748.50770688057
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.340412,35200.33681797981
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",1.34058433,45078.33747816086
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.34452633,34762.58985042572
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",1.34509333,44724.50808215141
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.35136466,36804.334876298904
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.356869,44390.76438856125
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.35765833,35716.334693431854
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.35825666,38906.80332112312
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.36306633,43570.33702802658
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",1.36489733,35846.33483052254
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.37052133,47248.33774995804
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.37348633,42080.33770942688
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.375075,45468.3371489048
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",1.39429166,46108.33816385269
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",1.395026,46574.42283773422
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",1.39556266,45192.42196059227
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(72) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.396154,42338.33832216263
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",1.39675866,42524.33797836304
"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.397203,37462.33765244484
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) is_device_ptr(A, B, C)",1.39726333,44516.33679628372
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.39785466,43738.336519002914
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.39903066,36922.33591890335
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.39978933,40594.761986255646
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",1.40037233,27194.33644080162
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) is_device_ptr(A, B, C)",1.40063033,35054.335478782654
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",1.40112066,42214.338409900665
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",1.40132566,38778.80514574051
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",1.40246533,38608.336159944534
