directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) thread_limit(256) is_device_ptr(A, B, C)",0.11068166,8116.204779624939
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) thread_limit(32) is_device_ptr(A, B, C)",0.11476633,8054.208085775375
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) thread_limit(32) is_device_ptr(A, B, C)",0.115639,8184.205858469009
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(32) is_device_ptr(A, B, C)",0.11973566,7540.2062265872955
"#pragma omp target teams distribute parallel for collapse(2) num_threads(176) thread_limit(256) is_device_ptr(A, B, C)",0.12146033,8384.206717967987
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(32) is_device_ptr(A, B, C)",0.12231633,6962.503232240677
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",0.12280466,8558.204857349396
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(A, B, C)",0.123394,8458.206159114838
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.12679733,7464.20592713356
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.12683733,7920.546027421951
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.12695866,7974.205785274506
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.12860766,7838.588458299637
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.128689,7380.205245018005
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.12877866,7140.545525550842
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.13020033,7750.205537319183
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) is_device_ptr(A, B, C)",0.14566033,8624.460525751114
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",0.18933033,674.2048165798187
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) thread_limit(128) is_device_ptr(A, B, C)",0.19910266,7630.206259489059
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",0.29391866,4642.630850791931
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.295595,4532.290881872177
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.29753,4872.2055995464325
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.298015,5120.673143386841
"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.31057966,6858.20485162735
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.325343,8232.587820529938
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.32942566,5348.204655647278
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.33266466,5726.206293582916
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.33651266,5692.416929244995
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.336875,5020.2048432827
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.33732266,4150.205619335175
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.33796066,5236.546000957489
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.33962533,7040.205926418304
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.34153666,7266.419411897659
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) thread_limit(32) is_device_ptr(A, B, C)",0.341729,8306.332260608673
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.341883,5066.204908847809
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.343724,4744.6294713020325
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.34395766,5650.375537872314
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(128) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.34531533,5526.714864015579
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.34601933,5858.205940008163
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.34701233,4328.206210613251
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.37649266,4694.205609798431
