directive,objective,elapsed_sec
"#pragma omp parallel for simd schedule(dynamic, 16)",0.011861,1924.260380744934
"#pragma omp parallel for simd schedule(static, 16)",0.01401266,970.2588043212891
"#pragma omp parallel for simd schedule(static, 16)",0.014018,1478.2586257457733
"#pragma omp parallel for schedule(static, 16)",0.01403966,3912.2595415115356
"#pragma omp parallel for schedule(static, 16)",0.014053,920.2603960037231
"#pragma omp parallel for simd schedule(static, 8)",0.01423366,824.2588684558868
#pragma omp parallel for simd,0.01436133,1668.640195608139
#pragma omp parallel for,0.01438933,2178.2606337070465
#pragma omp parallel for simd schedule(static),0.01440133,1574.2595405578613
#pragma omp parallel for schedule(static),0.01440166,3820.2572255134583
#pragma omp parallel for schedule(static),0.014404,2986.260235309601
"#pragma omp parallel for schedule(static, 8)",0.01442666,2130.2583301067352
#pragma omp parallel for,0.01447033,1526.2589793205261
#pragma omp parallel for simd,0.014501,1376.3865003585815
#pragma omp parallel for simd schedule(static),0.01453666,5354.513614177704
"#pragma omp parallel for simd schedule(static, 16) num_threads(176)",0.01461833,1278.2589960098267
"#pragma omp parallel for schedule(static, 8)",0.01470833,3516.2587270736694
"#pragma omp parallel for schedule(static, 16) num_threads(176)",0.01477733,2384.6828167438507
#pragma omp parallel for simd schedule(static) num_threads(176),0.01490033,4192.259634256363
#pragma omp parallel for simd schedule(static) num_threads(176),0.014989,5302.258766174316
#pragma omp parallel for simd num_threads(176),0.01500633,2796.259281873703
#pragma omp parallel for schedule(static) num_threads(176),0.01504966,4052.25830411911
#pragma omp parallel for schedule(static) num_threads(176),0.01512633,4146.25915646553
"#pragma omp parallel for schedule(static, 4)",0.01518733,2294.259960412979
"#pragma omp parallel for simd schedule(static, 4)",0.01531933,1028.259381055832
#pragma omp parallel for num_threads(176),0.015371,2536.2601704597473
baseline,0.01553866,1
"#pragma omp parallel for schedule(static, 4)",0.01562766,1976.2582077980042
"#pragma omp parallel for simd schedule(static, 16) num_threads(72)",0.01586166,1180.345052242279
#pragma omp parallel for simd num_threads(72),0.016002,1720.2589020729065
"#pragma omp parallel for simd schedule(static, 1) num_threads(128)",0.016081,6006.259032011032
"#pragma omp parallel for simd schedule(static, 4)",0.01611533,4332.258486747742
#pragma omp parallel for num_threads(72),0.01612333,3866.5148825645447
"#pragma omp parallel for simd schedule(static, 16) num_threads(72)",0.01615033,1622.2593276500702
#pragma omp parallel for simd num_threads(72),0.01617933,4286.258728504181
#pragma omp parallel for schedule(static) num_threads(72),0.01621033,3032.259605407715
#pragma omp parallel for simd schedule(static) num_threads(72),0.01622766,5244.259779691696
#pragma omp parallel for simd schedule(static) num_threads(72),0.01626566,5194.429105043411
#pragma omp parallel for schedule(static) num_threads(72),0.016304,3470.258679628372
"#pragma omp parallel for simd schedule(static, 2)",0.016782,2490.258551836014
"#pragma omp parallel for schedule(static, 2)",0.01689466,2340.260094165802
"#pragma omp parallel for schedule(static, 8) num_threads(72)",0.01693233,4006.258842229843
"#pragma omp parallel for schedule(static, 2)",0.01697533,2084.260162591934
"#pragma omp parallel for simd schedule(static, 2)",0.01701933,1424.258280992508
"#pragma omp parallel for simd schedule(static, 1)",0.017339,3222.2582502365112
"#pragma omp parallel for schedule(static, 1)",0.017447,1876.259838104248
"#pragma omp parallel for simd schedule(static, 1) num_threads(72)",0.01759166,3418.2582228183746
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.017631,4780.259323358536
"#pragma omp parallel for simd schedule(static, 1)",0.01776033,1328.258041858673
"#pragma omp parallel for schedule(static, 1) num_threads(72)",0.017768,4834.258547067642
"#pragma omp parallel for schedule(static, 1)",0.017788,3174.343762397766
"#pragma omp parallel for schedule(static, 1) num_threads(72)",0.017794,3366.2588930130005
"#pragma omp parallel for schedule(static, 2) num_threads(176)",0.01781166,3562.6839637756348
"#pragma omp parallel for schedule(static, 1) num_threads(128)",0.01783,3960.2587037086487
"#pragma omp parallel for simd schedule(static, 1) num_threads(176)",0.01813233,4984.76904463768
"#pragma omp parallel for schedule(static, 1) num_threads(176)",0.018175,5036.683548927307
"#pragma omp parallel for simd schedule(static, 2) num_threads(64)",0.01821466,4432.259076595306
"#pragma omp parallel for schedule(dynamic, 8) num_threads(64)",0.018334,4628.557846784592
"#pragma omp parallel for schedule(static, 1) num_threads(176)",0.01835833,3268.258871078491
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.01839366,432.25830268859863
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",0.01848866,4580.3427584171295
"#pragma omp parallel for schedule(static, 4) num_threads(72)",0.01874633,2642.2599613666534
"#pragma omp parallel for schedule(dynamic, 8) num_threads(128)",0.02162433,4384.257714748383
"#pragma omp parallel for simd schedule(dynamic, 8)",0.02448066,4724.386531591415
"#pragma omp parallel for simd schedule(dynamic, 8)",0.02488733,4676.259107589722
"#pragma omp parallel for schedule(dynamic, 8)",0.025202,4888.257721662521
"#pragma omp parallel for schedule(dynamic, 16) num_threads(32)",0.02551233,2890.2611384391785
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(176)",0.025761,5408.514258384705
"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",0.026728,4526.259010791779
"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",0.02677866,4934.259301662445
"#pragma omp parallel for simd schedule(static, 16) num_threads(32)",0.02915566,874.2588052749634
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(32)",0.02939033,5560.259122848511
#pragma omp parallel for simd schedule(static) num_threads(32),0.03091566,1132.260454416275
#pragma omp parallel for simd num_threads(32),0.03179366,1230.2587382793427
#pragma omp parallel for simd num_threads(16),0.041163,1770.258724451065
"#pragma omp parallel for schedule(static, 2) num_threads(16)",0.048199,4480.2588267326355
#pragma omp parallel for num_threads(16),0.05712033,2844.5126543045044
"#pragma omp parallel for schedule(dynamic, 4)",0.06645733,3078.258945465088
#pragma omp parallel for simd num_threads(8),0.07721866,1824.2602353096008
"#pragma omp parallel for simd schedule(static, 16) num_threads(8)",0.08165333,5950.257850646973
"#pragma omp parallel for schedule(static, 8) num_threads(8)",0.086887,2690.2589678764343
"#pragma omp parallel for schedule(static, 4) num_threads(8)",0.08963533,4100.259410381317
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(8)",0.09259,5504.302114725113
"#pragma omp parallel for schedule(dynamic, 8) num_threads(8)",0.100384,5456.259817123413
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",0.13128833,546.2593038082123
"#pragma omp parallel for simd schedule(dynamic, 2)",0.134142,5094.556468963623
"#pragma omp parallel for schedule(dynamic, 2)",0.13689166,6070.257166862488
#pragma omp parallel for schedule(dynamic),0.174649,602.2594275474548
"#pragma omp parallel for schedule(dynamic, 1) num_threads(128)",0.20429266,4240.34321975708
"#pragma omp parallel for schedule(dynamic, 2) num_threads(8)",0.222143,772.2588138580322
"#pragma omp parallel for simd schedule(dynamic, 1)",0.22321366,2938.2596142292023
"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(64) is_device_ptr(A, B, tmp, x, y)",0.22927266,716.2579221725464
"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(A, B, tmp, x, y)",0.23621966,660.2587978839874
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, tmp, x, y)",0.238622,384.26066040992737
#pragma omp parallel for simd schedule(dynamic) num_threads(176),0.241367,5146.471773386002
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.271,3128.2599136829376
"#pragma omp target teams distribute is_device_ptr(A, B, tmp, x, y)",0.362906,490.25920724868774
"#pragma omp target teams distribute parallel for schedule(static, 8) dist_schedule(static, 8) is_device_ptr(A, B, tmp, x, y)",0.38801566,3318.259910106659
"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(64) dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",0.438957,1084.2601017951965
,0.63516966,326.25934076309204
#pragma omp simd,0.66121133,266.26004362106323
