directive,objective,elapsed_sec
#pragma omp parallel for num_threads(72),0.02334933,54393.142100811005
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",0.02347,53931.14101600647
"#pragma omp parallel for simd schedule(dynamic, 8)",0.02418,50913.14182090759
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",0.024232,54245.60929822922
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.02426866,49631.14196538925
"#pragma omp parallel for schedule(dynamic, 8)",0.024291,50621.14219927788
"#pragma omp parallel for simd schedule(dynamic, 8)",0.024297,50935.14028120041
"#pragma omp parallel for schedule(dynamic, 8)",0.024304,50707.14228487015
"#pragma omp parallel for simd schedule(static, 16) num_threads(64)",0.02441133,52581.141518354416
"#pragma omp parallel for schedule(dynamic, 1)",0.02475633,50561.14173293114
"#pragma omp parallel for schedule(dynamic, 16)",0.02503433,51975.14177918434
"#pragma omp parallel for schedule(static, 16) num_threads(64)",0.02503833,50033.653591156006
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(64)",0.025084,53573.142370939255
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(72)",0.02520133,54081.14196586609
"#pragma omp parallel for simd schedule(dynamic, 16)",0.02521933,51707.142131567
"#pragma omp parallel for simd schedule(static, 16) num_threads(72)",0.025314,54217.14326238632
"#pragma omp parallel for simd schedule(static, 8)",0.02533933,50977.142215013504
"#pragma omp parallel for schedule(static, 8)",0.02537066,50489.14199471474
"#pragma omp parallel for schedule(static, 8)",0.02538033,50795.14056515694
"#pragma omp parallel for simd schedule(static, 8)",0.02539133,50995.14194178581
baseline,0.02541133,1
"#pragma omp parallel for schedule(static, 4)",0.02541633,51191.142102241516
"#pragma omp parallel for schedule(dynamic, 16)",0.02542266,52385.14312362671
#pragma omp parallel for,0.02545666,51023.1422894001
"#pragma omp parallel for simd schedule(static, 16) num_threads(72)",0.02545966,54041.14295578003
"#pragma omp parallel for schedule(static, 16)",0.02549,50345.14282989502
#pragma omp parallel for simd,0.02550366,52115.14073705673
"#pragma omp parallel for simd schedule(static, 16)",0.02553833,52555.14223790169
"#pragma omp parallel for schedule(static, 4)",0.02556033,50253.14092183113
#pragma omp parallel for simd schedule(static),0.025568,51129.14289855957
#pragma omp parallel for simd num_threads(72),0.02557366,54111.142906188965
"#pragma omp parallel for simd schedule(static, 4)",0.02558166,52763.43977546692
#pragma omp parallel for simd schedule(static) num_threads(64),0.02558833,53615.14245009422
#pragma omp parallel for simd schedule(static),0.02559,51465.14188957214
#pragma omp parallel for schedule(static),0.02560166,50141.48234963417
#pragma omp parallel for schedule(static),0.025602,50873.52288007736
#pragma omp parallel for num_threads(64),0.02560433,53881.14140748978
#pragma omp parallel for simd,0.02562333,52047.140899181366
#pragma omp parallel for,0.02568966,52015.22641801834
"#pragma omp parallel for simd schedule(static, 4)",0.02574466,52741.1431312561
#pragma omp parallel for simd num_threads(64),0.02608233,53827.270293712616
"#pragma omp parallel for schedule(dynamic, 8) num_threads(64)",0.026148,53779.14237332344
"#pragma omp parallel for schedule(dynamic, 4)",0.02633866,50733.39518451691
#pragma omp parallel for simd schedule(static) num_threads(64),0.02667066,53339.14287018776
