,Benchmark,Pragma,Time
0,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) num_threads(72) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",41.64513533
1,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 16) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",41.81024833
2,2mm,"#pragma omp target teams distribute thread_limit(128) is_device_ptr(A, B, C, D, tmp)",44.78374866
3,2mm,#pragma omp parallel for simd num_threads(16),58.179034
4,2mm,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(128) dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",76.11297
5,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",79.000771
6,2mm,"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 16) is_device_ptr(A, B, C, D, tmp)",82.420148
7,2mm,"#pragma omp target teams distribute dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",152.053652
8,2mm,"#pragma omp target teams distribute parallel for simd dist_schedule(static, 4) is_device_ptr(A, B, C, D, tmp)",175.91122733
9,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 4) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",63.047309
10,3mm,#pragma omp parallel for simd num_threads(16),86.21974233
11,3mm,#pragma omp parallel for simd collapse(2) num_threads(16),86.23364333
12,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",105.946122
13,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 1) is_device_ptr(E, A, B, F, C, D, G)",115.500598
14,3mm,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 8) is_device_ptr(E, A, B, F, C, D, G)",121.21943833
15,3mm,"#pragma omp target teams distribute parallel for schedule(dynamic, 8) is_device_ptr(E, A, B, F, C, D, G)",121.573871
