,Benchmark,Pragma,Time
0,2mm,"#pragma omp target teams distribute is_device_ptr(A, B, C, D, tmp)",65.06342866
1,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 4) num_threads(8) dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",66.62778333
2,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",69.482495
3,2mm,"#pragma omp target teams distribute parallel for simd schedule(static, 4) num_threads(72) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",75.75540366
4,2mm,#pragma omp parallel for simd num_threads(16),76.29368666
5,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(16) is_device_ptr(A, B, C, D, tmp)",120.32619033
6,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",121.11729733
7,2mm,#pragma omp parallel for collapse(2) schedule(dynamic),178.12216933
8,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",219.36753366
9,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",100.49035833
10,3mm,"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) is_device_ptr(E, A, B, F, C, D, G)",179.14850333
11,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",181.49318766
12,3mm,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",181.976874
13,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(8) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",182.11547133
14,3mm,#pragma omp parallel for simd collapse(2) schedule(dynamic),270.56158166
15,3mm,#pragma omp parallel for collapse(2) schedule(dynamic),271.73784033
16,3mm,"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",309.48636933
17,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",336.180601
18,doitgen,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, C4, sum)",149.43773266
19,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) thread_limit(32) is_device_ptr(A, C4, sum)",152.841124
20,doitgen,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, C4, sum)",171.73837733
21,doitgen,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 2) is_device_ptr(A, C4, sum)",172.19435533
22,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) thread_limit(64) is_device_ptr(A, C4, sum)",204.07296533
23,doitgen,#pragma omp parallel for simd num_threads(16),216.6634
24,doitgen,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 1) thread_limit(32) is_device_ptr(A, C4, sum)",231.86798
25,convolution-3d,#pragma omp parallel for schedule(dynamic) num_threads(8),0.17883133
26,convolution-3d,"#pragma omp parallel for collapse(2) schedule(static, 2) num_threads(8)",0.21405166
27,convolution-3d,"#pragma omp parallel for simd collapse(3) schedule(static, 1) num_threads(64)",0.23761333
28,convolution-3d,#pragma omp parallel for simd collapse(3) schedule(static) num_threads(8),0.238166
29,convolution-3d,"#pragma omp parallel for collapse(3) schedule(static, 2) num_threads(16)",0.45082566
30,convolution-3d,#pragma omp simd,1.237237
31,convolution-3d,,1.25963866
32,convolution-3d,#pragma omp parallel for collapse(3) schedule(dynamic) num_threads(72),3.756347
33,convolution-3d,#pragma omp parallel for simd collapse(3) schedule(dynamic) num_threads(128),4.91258333
34,convolution-3d,#pragma omp parallel for collapse(3) schedule(dynamic),5.75598633
35,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) thread_limit(64) is_device_ptr(data, symmat, mean, stddev)",25.35772033
36,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) is_device_ptr(data, symmat, mean, stddev)",31.38813033
37,correlation,#pragma omp parallel for simd num_threads(16),35.23121733
38,correlation,#pragma omp parallel for simd schedule(dynamic) num_threads(8),35.65914633
39,correlation,#pragma omp parallel for simd schedule(dynamic) num_threads(8),35.85918766
40,correlation,#pragma omp parallel for schedule(dynamic) num_threads(8),37.81265966
41,correlation,"#pragma omp target teams distribute is_device_ptr(data, symmat, mean, stddev)",38.21996033
42,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 16) thread_limit(256) is_device_ptr(data, symmat, mean, stddev)",66.624945
43,correlation,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(data, symmat, mean, stddev)",66.98416033
44,fdtd-apml,#pragma omp parallel for simd schedule(dynamic) num_threads(16),3.628299
45,fdtd-apml,#pragma omp parallel for simd schedule(static) num_threads(16),3.64494333
46,fdtd-apml,#pragma omp parallel for num_threads(16),3.65197866
47,fdtd-apml,#pragma omp parallel for simd num_threads(8),7.21818
48,fdtd-apml,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",18.81623633
