,Benchmark,Pragma,Time
0,2mm,#pragma omp parallel for simd num_threads(16),55.18934933
1,2mm,#pragma omp parallel for simd collapse(2) num_threads(16),55.280474
2,2mm,"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",56.60975833
3,2mm,"#pragma omp target teams distribute is_device_ptr(A, B, C, D, tmp)",62.07955566
4,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",94.27324766
5,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",115.12226066
6,2mm,"#pragma omp target teams distribute dist_schedule(static, 2) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",136.028079
7,2mm,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",196.24629933
8,2mm,"#pragma omp target teams distribute parallel for schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",204.01725166
9,3mm,"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 1) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",63.212672
10,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) num_threads(128) dist_schedule(static, 16) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",63.289514
11,3mm,#pragma omp parallel for simd num_threads(16),82.41970333
12,3mm,"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",83.64106
13,3mm,"#pragma omp target teams distribute is_device_ptr(E, A, B, F, C, D, G)",92.641763
14,3mm,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(72) dist_schedule(static, 16) is_device_ptr(E, A, B, F, C, D, G)",99.28767
15,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 16) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",194.96306166
16,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 16) is_device_ptr(E, A, B, F, C, D, G)",195.415955
17,3mm,"#pragma omp target teams distribute dist_schedule(static, 2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",200.73701266
18,doitgen,#pragma omp parallel for simd num_threads(16),90.98158833
19,doitgen,#pragma omp parallel for simd schedule(static) num_threads(16),91.03053766
20,doitgen,"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(8)",163.19949966
21,doitgen,#pragma omp parallel for collapse(2) num_threads(8),163.379102
22,doitgen,#pragma omp parallel for simd schedule(dynamic) num_threads(8),165.542356
23,doitgen,#pragma omp parallel for simd collapse(2) num_threads(8),165.78277566
24,convolution-3d,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 4) dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B)",0.203202
25,convolution-3d,,0.251805
26,convolution-3d,#pragma omp simd,0.252174
27,convolution-3d,"#pragma omp parallel for collapse(3) schedule(static, 2)",0.25778066
28,convolution-3d,"#pragma omp target teams distribute parallel for num_threads(64) is_device_ptr(A, B)",0.29164333
29,convolution-3d,"#pragma omp target teams distribute parallel for schedule(static) thread_limit(128) is_device_ptr(A, B)",0.380722
30,convolution-3d,"#pragma omp target teams distribute parallel for simd schedule(static, 1) thread_limit(128) is_device_ptr(A, B)",0.402663
31,convolution-3d,"#pragma omp target teams distribute parallel for dist_schedule(static, 8) is_device_ptr(A, B)",0.90232
32,convolution-3d,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) thread_limit(256) is_device_ptr(A, B)",1.75274833
33,convolution-3d,"#pragma omp target teams distribute parallel for simd dist_schedule(static, 2) is_device_ptr(A, B)",3.01444466
34,correlation,#pragma omp parallel for simd schedule(dynamic) num_threads(8),44.328264
35,correlation,"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(8)",44.340939
36,correlation,#pragma omp parallel for schedule(dynamic) num_threads(8),44.40127866
37,correlation,"#pragma omp target teams distribute parallel for simd schedule(static, 8) num_threads(32) is_device_ptr(data, symmat, mean, stddev)",52.65549866
38,correlation,"#pragma omp target teams distribute parallel for simd schedule(static, 16) num_threads(72) is_device_ptr(data, symmat, mean, stddev)",102.80407133
39,correlation,"#pragma omp target teams distribute parallel for schedule(static, 16) num_threads(176) is_device_ptr(data, symmat, mean, stddev)",110.03645566
40,correlation,"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 2) is_device_ptr(data, symmat, mean, stddev)",111.25092666
41,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(8) is_device_ptr(data, symmat, mean, stddev)",149.62647133
42,correlation,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 2) thread_limit(128) is_device_ptr(data, symmat, mean, stddev)",192.24791433
43,fdtd-apml,"#pragma omp parallel for schedule(dynamic, 16) num_threads(176)",1.75731366
44,fdtd-apml,"#pragma omp parallel for simd schedule(static, 16) num_threads(176)",1.76215433
45,fdtd-apml,#pragma omp parallel for simd num_threads(8),2.568966
46,fdtd-apml,#pragma omp parallel for schedule(static) num_threads(8),2.58176566
47,fdtd-apml,"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(8)",2.63896566
48,fdtd-apml,,17.45758966
49,fdtd-apml,#pragma omp simd,17.50882466
50,fdtd-apml,"#pragma omp target teams distribute is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",23.86922733
51,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",47.049691
52,covariance,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean)",30.319528
53,covariance,"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(64) is_device_ptr(data, symmat, mean)",31.12319
54,covariance,"#pragma omp target teams distribute parallel for simd schedule(static, 4) num_threads(128) thread_limit(128) is_device_ptr(data, symmat, mean)",31.24371933
55,covariance,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(data, symmat, mean)",36.360119
56,covariance,"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(8) dist_schedule(static, 2) is_device_ptr(data, symmat, mean)",36.607679
57,covariance,"#pragma omp target teams distribute parallel for schedule(static, 8) num_threads(8) is_device_ptr(data, symmat, mean)",56.351742
58,covariance,#pragma omp parallel for simd schedule(static) num_threads(8),92.680302
59,covariance,#pragma omp parallel for simd num_threads(8),97.995053
60,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(8) is_device_ptr(data, symmat, mean)",156.75711033
61,gemm,"#pragma omp target teams distribute thread_limit(64) is_device_ptr(A, B, C)",29.08260033
62,gemm,"#pragma omp target teams distribute is_device_ptr(A, B, C)",31.54250866
63,gemm,"#pragma omp target teams distribute thread_limit(128) is_device_ptr(A, B, C)",37.405829
64,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(16) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",39.64423866
65,gemm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",40.51898066
