directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",0.195259,4982.337317228317
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",0.19793166,5262.334941148758
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",0.30847266,1962.3384444713593
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) thread_limit(256) is_device_ptr(A, B, C)",0.38468666,5428.719546318054
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) thread_limit(256) is_device_ptr(A, B, C)",0.38781766,7440.337103366852
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(32) is_device_ptr(A, B, C)",0.40540033,8546.337414741516
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 16) is_device_ptr(A, B, C)",0.41905166,5160.337498664856
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) thread_limit(64) is_device_ptr(A, B, C)",0.44431266,7746.33668422699
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) is_device_ptr(A, B, C)",0.46856833,6182.335757255554
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(128) thread_limit(256) is_device_ptr(A, B, C)",0.48722066,8672.336478948593
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.48727433,5378.334797620773
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",0.49058533,5040.336844921112
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",0.49572866,5208.719359874725
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",0.50049433,4260.336722135544
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",0.536156,6570.335828304291
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",0.54319966,4700.334745645523
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",0.54697933,4934.336945295334
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) dist_schedule(static, 16) is_device_ptr(A, B, C)",0.57868933,2926.334766626358
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) is_device_ptr(A, B, C)",0.58294766,4816.334495544434
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B, C)",0.64314733,7390.335766792297
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",0.66019533,7492.336323976517
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) thread_limit(32) is_device_ptr(A, B, C)",0.66117233,8074.336535215378
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) is_device_ptr(A, B, C)",0.66832466,6764.335994958878
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) is_device_ptr(A, B, C)",0.79810866,7966.336226701736
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",0.80090666,4646.336072206497
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",0.80925766,4188.33673453331
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) num_threads(64) is_device_ptr(A, B, C)",0.82179266,2684.422065258026
