directive,objective,elapsed_sec
#pragma omp simd,0.25045133,62.36548614501953
 ,0.254789,120.66040325164795
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, B)",0.047593,176.36260509490967
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",0.02742866,230.5753197669983
"#pragma omp target teams distribute       is_device_ptr(A, B)",0.04818233,286.3622658252716
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B)",0.05130366,344.3623616695404
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,0.021733,400.36143946647644
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)       is_device_ptr(A, B)",0.061322,456.3627426624298
"#pragma omp parallel for     schedule(dynamic, 4)  ",0.00683533,512.3621344566345
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2) num_threads(16)",0.15539066,566.4906094074249
#pragma omp parallel for        ,0.00629366,620.362455368042
"#pragma omp parallel for     schedule(static, 4)  ",0.00760466,674.3620083332062
#pragma omp parallel for       num_threads(128),0.015023,728.3626279830933
"#pragma omp target teams distribute parallel for       num_threads(8) dist_schedule(static, 1)   is_device_ptr(A, B)",0.05668433,964.3622598648071
#pragma omp parallel for   collapse(2)    ,0.007672,1020.3628921508789
#pragma omp parallel for simd      ,0.006188,1076.3613069057465
"#pragma omp parallel for simd   schedule(static, 1)  ",0.00904833,1132.5324082374573
"#pragma omp parallel for simd   schedule(static, 8)  ",0.00680033,1188.3622381687164
#pragma omp parallel for simd collapse(2)    ,0.007696,1244.361171245575
"#pragma omp parallel for simd   schedule(static, 16)  ",0.00686366,1300.362755537033
#pragma omp parallel for simd   schedule(static) num_threads(16),0.03921633,1356.3621225357056
"#pragma omp target teams distribute parallel for simd       dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B)",0.04952,1410.8318378925323
"#pragma omp parallel for simd collapse(2) schedule(static, 2)  ",0.045464,1468.3620972633362
"#pragma omp parallel for simd   schedule(dynamic, 16)  ",0.00651833,1584.3629574775696
#pragma omp parallel for simd collapse(2)   num_threads(8),0.129936,1640.3624291419983
"#pragma omp target teams distribute parallel for simd   schedule(static, 4)   dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B)",0.095809,1758.3617658615112
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)  ",0.02246,1814.8309042453766
#pragma omp parallel for simd   schedule(dynamic) num_threads(64),0.01502966,1870.3634898662567
#pragma omp parallel for simd     num_threads(176),0.01391,2004.7038414478302
#pragma omp parallel for   collapse(2)   num_threads(8),0.12889733,2060.3610937595367
#pragma omp parallel for simd collapse(2) schedule(static)  ,0.006762,2116.362774372101
"#pragma omp parallel for     schedule(static, 1)  ",0.008298,2172.3629813194275
"#pragma omp target teams distribute parallel for simd         thread_limit(64) is_device_ptr(A, B)",0.04449833,2228.3630192279816
"#pragma omp parallel for     schedule(static, 16) num_threads(16)",0.042862,2284.3623991012573
#pragma omp parallel for   collapse(2) schedule(static) num_threads(72),0.019273,2340.3625688552856
"#pragma omp target teams distribute parallel for simd   schedule(dynamic) num_threads(176)     is_device_ptr(A, B)",0.04651933,2398.36292386055
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4)  ",0.00959333,2456.3623847961426
#pragma omp parallel for simd collapse(2) schedule(dynamic)  ,0.022289,2512.3620970249176
#pragma omp parallel for   collapse(2) schedule(dynamic) num_threads(72),0.064743,2570.3623588085175
"#pragma omp parallel for simd   schedule(dynamic, 1) num_threads(176)",0.014018,2626.3638536930084
"#pragma omp parallel for simd collapse(2) schedule(static, 8)  ",0.03382333,2684.363489627838
"#pragma omp target teams distribute parallel for simd collapse(2)         is_device_ptr(A, B)",0.05445733,2740.702488422394
#pragma omp parallel for simd     num_threads(64),0.01272866,2796.3621921539307
"#pragma omp target teams distribute parallel for     schedule(dynamic, 4) num_threads(64) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B)",0.110349,2854.362793445587
#pragma omp parallel for simd     num_threads(16),0.03975866,2910.873345851898
#pragma omp parallel for       num_threads(8),0.07899566,2968.3621757030487
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(176),0.01301566,3028.36221909523
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(32),0.03055866,3084.3621351718903
#pragma omp parallel for simd collapse(2)   num_threads(176),0.01392733,3142.3617312908173
#pragma omp parallel for simd collapse(2)   num_threads(32),0.03159933,3198.3627877235413
#pragma omp parallel for simd collapse(2)   num_threads(64),0.021951,3256.3623588085175
"#pragma omp parallel for simd   schedule(dynamic, 8) num_threads(176)",0.009851,3314.3624889850616
"#pragma omp target teams distribute     thread_limit(128) is_device_ptr(A, B)",0.04507033,3372.36226439476
"#pragma omp target teams distribute     thread_limit(32) is_device_ptr(A, B)",0.047645,3430.3625729084015
"#pragma omp parallel for simd   schedule(dynamic, 16) num_threads(32)",0.016506,3484.618879556656
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(176),0.03755766,3542.4488558769226
"#pragma omp parallel for simd collapse(2) schedule(static, 2) num_threads(64)",0.06324966,3598.3621938228607
"#pragma omp parallel for     schedule(dynamic, 2)  ",0.00532666,3656.3635427951813
"#pragma omp parallel for simd   schedule(dynamic, 2)  ",0.00501233,3714.3625407218933
"#pragma omp parallel for     schedule(static, 2)  ",0.00690633,3770.3618562221527
"#pragma omp parallel for     schedule(static, 2) num_threads(176)",0.01233433,3830.3624243736267
#pragma omp parallel for   collapse(2)   num_threads(176),0.01356466,3888.6603393554688
"#pragma omp parallel for simd   schedule(dynamic, 2) num_threads(176)",0.01156366,3946.5331847667694
"#pragma omp parallel for     schedule(dynamic, 2) num_threads(176)",0.01356533,4004.3621990680695
"#pragma omp parallel for simd   schedule(static, 2)  ",0.00658566,4062.36194562912
"#pragma omp parallel for     schedule(dynamic, 4) num_threads(128)",0.01570166,4120.362931251526
#pragma omp parallel for simd collapse(2)   num_threads(128),0.01789666,4176.701767206192
#pragma omp parallel for   collapse(2)   num_threads(128),0.01711266,4232.36363363266
#pragma omp parallel for   collapse(2)   num_threads(64),0.021687,4290.490649700165
