directive,objective,elapsed_sec
#pragma omp simd,0.46332866,68.37085580825806
 ,0.46326566,130.37249660491943
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, B)",0.08887066,188.37228631973267
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",0.24031533,246.37012314796448
"#pragma omp target teams distribute       is_device_ptr(A, B)",0.080056,302.3703110218048
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B)",0.08363866,360.3730664253235
"#pragma omp target teams distribute parallel for       num_threads(64) dist_schedule(static, 2) thread_limit(32) is_device_ptr(A, B)",0.08679466,416.6686294078827
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(64) dist_schedule(static, 2)   is_device_ptr(A, B)",0.18130633,478.3709764480591
"#pragma omp target teams distribute parallel for   collapse(2)   num_threads(176)     is_device_ptr(A, B)",0.09421433,536.7536737918854
"#pragma omp target teams distribute parallel for             is_device_ptr(A, B)",0.07531933,594.6260378360748
"#pragma omp target teams distribute parallel for           thread_limit(32) is_device_ptr(A, B)",0.076625,650.7540128231049
"#pragma omp target teams distribute parallel for           thread_limit(64) is_device_ptr(A, B)",0.07570333,708.3701055049896
"#pragma omp target teams distribute     thread_limit(256) is_device_ptr(A, B)",0.08960633,764.3719129562378
"#pragma omp target teams distribute     thread_limit(32) is_device_ptr(A, B)",0.07590433,820.7964007854462
"#pragma omp target teams distribute parallel for     schedule(static)     thread_limit(32) is_device_ptr(A, B)",0.07746,876.3707299232483
"#pragma omp target teams distribute   dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B)",0.09118466,932.7962441444397
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)   dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B)",0.08293466,990.3710536956787
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)     thread_limit(32) is_device_ptr(A, B)",0.083194,1048.370703458786
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B)",0.06975366,1108.3691523075104
"#pragma omp target teams distribute parallel for         dist_schedule(static, 1) thread_limit(32) is_device_ptr(A, B)",0.07289,1166.3703553676605
"#pragma omp target teams distribute parallel for     schedule(static, 8)   dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B)",0.09815766,1226.3721313476562
"#pragma omp target teams distribute   dist_schedule(static, 1)   is_device_ptr(A, B)",0.071827,1284.371916770935
"#pragma omp target teams distribute   dist_schedule(static, 1) thread_limit(32) is_device_ptr(A, B)",0.07257533,1340.3721282482147
"#pragma omp target teams distribute   dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B)",0.08736033,1396.3714232444763
"#pragma omp target teams distribute   dist_schedule(static, 4)   is_device_ptr(A, B)",0.076539,1454.710643529892
"#pragma omp target teams distribute parallel for simd   schedule(static)     thread_limit(32) is_device_ptr(A, B)",0.06988666,1510.3713426589966
"#pragma omp target teams distribute parallel for simd       dist_schedule(static, 2) thread_limit(32) is_device_ptr(A, B)",0.06793266,1568.3703565597534
"#pragma omp target teams distribute parallel for simd         thread_limit(32) is_device_ptr(A, B)",0.06888166,1624.3713991641998
"#pragma omp target teams distribute   dist_schedule(static, 16)   is_device_ptr(A, B)",0.086185,1682.3715484142303
"#pragma omp target teams distribute parallel for simd           is_device_ptr(A, B)",0.06859266,1738.7976508140564
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(32) is_device_ptr(A, B)",0.07182433,1794.370493888855
"#pragma omp target teams distribute parallel for simd       dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B)",0.070762,1848.7537243366241
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1)     thread_limit(32) is_device_ptr(A, B)",0.069778,1906.3701710700989
"#pragma omp target teams distribute parallel for simd       dist_schedule(static, 4)   is_device_ptr(A, B)",0.073086,1964.3704631328583
"#pragma omp target teams distribute parallel for simd collapse(2)       thread_limit(128) is_device_ptr(A, B)",0.07433433,2020.3719925880432
"#pragma omp target teams distribute     thread_limit(64) is_device_ptr(A, B)",0.06972766,2078.371581554413
"#pragma omp target teams distribute     thread_limit(128) is_device_ptr(A, B)",0.077636,2136.3706789016724
"#pragma omp target teams distribute parallel for simd   schedule(static)       is_device_ptr(A, B)",0.06875766,2192.3691499233246
"#pragma omp target teams distribute parallel for     schedule(static, 1)       is_device_ptr(A, B)",0.069039,2250.370495080948
"#pragma omp target teams distribute parallel for     schedule(static)       is_device_ptr(A, B)",0.06957433,2308.3705191612244
"#pragma omp target teams distribute parallel for simd   schedule(dynamic, 8)       is_device_ptr(A, B)",0.08682666,2366.370696544647
"#pragma omp target teams distribute parallel for simd collapse(2)     dist_schedule(static, 1)   is_device_ptr(A, B)",0.08844266,2422.370374917984
#pragma omp parallel for simd      ,0.00584133,2478.370111465454
#pragma omp parallel for        ,0.00573,2534.3699469566345
