directive,objective,elapsed_sec
#pragma omp simd,0.37698066,22.75597643852234
 ,0.37549866,44.29088544845581
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, B)",0.11791333,64.28927636146545
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",0.02734266,82.28961658477783
"#pragma omp target teams distribute       is_device_ptr(A, B)",0.11649233,102.28875541687012
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B)",0.11354466,122.28955745697021
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,0.05982933,140.28853392601013
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)       is_device_ptr(A, B)",0.257401,166.28911089897156
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 1) num_threads(16) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, B)",0.32094833,188.2897024154663
"#pragma omp parallel for   collapse(2) schedule(dynamic, 2) num_threads(8)",0.29586633,210.29024505615234
"#pragma omp parallel for   collapse(2) schedule(static, 4)  ",0.278328,232.29019117355347
#pragma omp parallel for   collapse(2) schedule(dynamic) num_threads(16),0.232107,252.41726303100586
#pragma omp parallel for simd   schedule(dynamic) num_threads(16),0.04957,270.2898898124695
#pragma omp parallel for simd   schedule(dynamic) num_threads(128),0.044659,290.28795886039734
#pragma omp parallel for simd   schedule(dynamic) num_threads(72),0.01689433,308.2885375022888
#pragma omp parallel for simd     num_threads(16),0.06204866,326.28990054130554
"#pragma omp target teams distribute parallel for simd   schedule(dynamic, 4) num_threads(72)   thread_limit(128) is_device_ptr(A, B)",0.807087,356.2876477241516
#pragma omp parallel for simd     num_threads(176),0.05049466,374.28970742225647
"#pragma omp parallel for simd   schedule(dynamic, 4) num_threads(128)",0.04482333,394.2882010936737
"#pragma omp parallel for simd   schedule(dynamic, 1) num_threads(64)",0.020971,412.2902674674988
"#pragma omp parallel for simd   schedule(dynamic, 16) num_threads(176)",0.051263,432.28954577445984
"#pragma omp target teams distribute parallel for simd   schedule(dynamic, 2) num_threads(128)   thread_limit(128) is_device_ptr(A, B)",0.97443433,464.2897045612335
"#pragma omp parallel for simd   schedule(dynamic, 4) num_threads(8)",0.091243,482.2893569469452
"#pragma omp parallel for simd   schedule(dynamic, 4) num_threads(176)",0.05753233,502.2900331020355
"#pragma omp target teams distribute parallel for simd   schedule(dynamic) num_threads(32)     is_device_ptr(A, B)",0.485246,526.2896854877472
#pragma omp parallel for     schedule(dynamic) num_threads(72),0.01656233,544.289067029953
#pragma omp parallel for     schedule(dynamic) num_threads(64),0.02066833,562.2904787063599
#pragma omp parallel for     schedule(dynamic)  ,0.01700533,580.289544582367
"#pragma omp target teams distribute parallel for     schedule(static) num_threads(72) dist_schedule(static, 1) thread_limit(256) is_device_ptr(A, B)",0.33068466,602.2894160747528
#pragma omp parallel for     schedule(static) num_threads(72),0.017184,620.2892279624939
#pragma omp parallel for     schedule(dynamic) num_threads(32),0.031664,638.2901599407196
#pragma omp parallel for     schedule(static) num_threads(16),0.06201066,656.2883968353271
#pragma omp parallel for     schedule(static) num_threads(64),0.022209,674.2890887260437
#pragma omp parallel for     schedule(static)  ,0.018235,692.2892413139343
"#pragma omp target teams distribute parallel for     schedule(dynamic, 8) num_threads(64) dist_schedule(static, 8)   is_device_ptr(A, B)",0.260933,712.54407954216
"#pragma omp parallel for     schedule(static, 1) num_threads(72)",0.03039466,730.2889928817749
"#pragma omp parallel for     schedule(static, 8) num_threads(72)",0.022874,746.8007936477661
"#pragma omp parallel for     schedule(dynamic, 1) num_threads(64)",0.020928,764.2885818481445
"#pragma omp parallel for     schedule(dynamic, 2) num_threads(72)",0.01714466,782.2899577617645
"#pragma omp parallel for     schedule(dynamic, 8)  ",0.016421,798.586473941803
"#pragma omp parallel for     schedule(dynamic, 16)  ",0.01693433,816.2904572486877
"#pragma omp parallel for     schedule(dynamic, 2)  ",0.016003,834.2909107208252
"#pragma omp parallel for     schedule(dynamic, 1)  ",0.01664233,852.2897126674652
"#pragma omp parallel for     schedule(static, 2)  ",0.02772066,870.2903802394867
"#pragma omp parallel for     schedule(static, 8)  ",0.02441666,888.2900409698486
"#pragma omp parallel for     schedule(dynamic, 2) num_threads(64)",0.02087633,906.2899568080902
"#pragma omp parallel for     schedule(dynamic, 1) num_threads(128)",0.046121,926.2895212173462
"#pragma omp parallel for     schedule(dynamic, 8) num_threads(72)",0.01693533,944.2900915145874
"#pragma omp parallel for     schedule(static, 4)  ",0.026948,962.2888717651367
"#pragma omp parallel for     schedule(dynamic, 4)  ",0.01682666,980.2897937297821
"#pragma omp parallel for     schedule(dynamic, 4) num_threads(72)",0.01693766,998.2884061336517
"#pragma omp parallel for     schedule(static, 2) num_threads(128)",0.050166,1016.6725564002991
"#pragma omp parallel for     schedule(dynamic, 8) num_threads(8)",0.089385,1036.2893164157867
"#pragma omp parallel for     schedule(static, 1)  ",0.033475,1054.2887935638428
"#pragma omp parallel for     schedule(dynamic, 1) num_threads(72)",0.01704633,1072.2882766723633
#pragma omp parallel for     schedule(dynamic) num_threads(8),0.095575,1090.756332397461
#pragma omp parallel for       num_threads(72),0.01741466,1108.2877657413483
"#pragma omp parallel for simd   schedule(dynamic, 8)  ",0.016701,1126.2903854846954
"#pragma omp parallel for simd   schedule(dynamic, 1) num_threads(72)",0.01720066,1142.7166910171509
"#pragma omp parallel for simd   schedule(dynamic, 4)  ",0.016663,1160.2901055812836
#pragma omp parallel for simd   schedule(static) num_threads(72),0.01758,1176.5893189907074
#pragma omp parallel for simd   schedule(dynamic)  ,0.01681933,1194.2903344631195
"#pragma omp parallel for simd   schedule(dynamic, 2)  ",0.01711366,1212.2894115447998
#pragma omp parallel for simd   schedule(static)  ,0.01752133,1228.7569591999054
"#pragma omp parallel for simd   schedule(dynamic, 1)  ",0.016926,1246.2905704975128
"#pragma omp parallel for     schedule(static, 1) num_threads(64)",0.055098,1264.2901866436005
"#pragma omp parallel for simd   schedule(static, 4)  ",0.02652166,1282.2903389930725
"#pragma omp parallel for simd   schedule(dynamic, 8) num_threads(72)",0.01705333,1300.2888460159302
"#pragma omp parallel for simd   schedule(dynamic, 4) num_threads(72)",0.01670166,1318.2888429164886
"#pragma omp parallel for simd   schedule(static, 8) num_threads(72)",0.02314,1336.460462808609
#pragma omp parallel for simd   schedule(static) num_threads(64),0.021827,1354.2891991138458
"#pragma omp parallel for simd   schedule(static, 4) num_threads(72)",0.027034,1372.2889711856842
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8)  ",0.027347,1390.714184999466
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)  ",0.04091833,1408.2887811660767
"#pragma omp parallel for     schedule(static, 4) num_threads(64)",0.027941,1426.289123058319
"#pragma omp parallel for simd   schedule(dynamic, 8) num_threads(64)",0.021113,1444.28919506073
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)  ",0.02577966,1460.6295053958893
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8)  ",0.02788033,1478.2884738445282
"#pragma omp parallel for simd collapse(2) schedule(static, 8)  ",0.26166866,1498.5020775794983
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)  ",0.05981733,1516.2891047000885
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(64)",0.035626,1534.2897987365723
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(32)",0.06390033,1552.2889008522034
"#pragma omp parallel for     schedule(dynamic, 16) num_threads(64)",0.02028,1572.2887251377106
#pragma omp parallel for simd collapse(2) schedule(dynamic)  ,0.05980266,1594.2893919944763
"#pragma omp parallel for simd collapse(2) schedule(static, 8) num_threads(128)",0.261673,1616.2881672382355
#pragma omp parallel for simd collapse(2)    ,0.02473433,1632.799822807312
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(176),0.11033166,1652.2903666496277
"#pragma omp parallel for simd   schedule(static, 8)  ",0.021213,1668.4171061515808
"#pragma omp parallel for   collapse(2) schedule(dynamic, 16)  ",0.02513966,1686.2895879745483
"#pragma omp parallel for   collapse(2) schedule(dynamic, 2)  ",0.04095366,1704.2892453670502
"#pragma omp parallel for   collapse(2) schedule(dynamic, 1)  ",0.059763,1722.2891671657562
"#pragma omp parallel for   collapse(2) schedule(dynamic, 4)  ",0.03166833,1740.2891948223114
#pragma omp parallel for   collapse(2)    ,0.02433233,1756.5875935554504
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(32)",0.06499166,1774.289422750473
"#pragma omp parallel for     schedule(dynamic, 8) num_threads(64)",0.02069033,1792.2890322208405
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(128)",0.05314733,1810.6723999977112
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(176)",0.08249833,1830.290024280548
"#pragma omp parallel for simd   schedule(static, 8) num_threads(64)",0.02338733,1848.2882318496704
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(16)",0.12144333,1866.2893755435944
"#pragma omp parallel for   collapse(2) schedule(dynamic, 4) num_threads(72)",0.03180533,1884.289431810379
