p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,1.85763066,64.33456826210022
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.857519,130.33410549163818
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,0.13541066,174.33452033996582
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,0.96653933,228.3339238166809
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,0.171804,272.84348726272583
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,0.15148633,318.3330681324005
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32, , ,num_threads(#P12), ,NA,2,64,0.14428166,366.33486914634705
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,16,0.176403,412.843435049057
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7, , ,NA, , , , ,NA,NA,NA,0.11256033,460.33390951156616
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7, , ,NA, , ,num_threads(#P12), ,NA,NA,16,0.17163633,506.33500719070435
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , , ,NA,8,NA,0.11882666,552.7575950622559
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , , ,NA,2,NA,0.12343,598.3352928161621
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, , ,collapse(2),NA,NA,NA,0.127112,642.5874772071838
