directive,objective,elapsed_sec
#pragma omp simd,0.36906433,66.24097537994385
 ,0.360772,130.70946431159973
"#pragma omp parallel for     schedule(static, 1) num_threads(32)",0.05663666,190.4970850944519
"#pragma omp parallel for   collapse(2) schedule(static, 2) num_threads(8)",0.200595,252.24066400527954
#pragma omp parallel for        ,0.01092,312.2399961948395
#pragma omp parallel for   collapse(3)   num_threads(16),0.225538,372.62286043167114
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 4)   dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B)",0.12858,434.2395248413086
"#pragma omp parallel for   collapse(3) schedule(dynamic, 16)  ",0.023377,492.24109172821045
"#pragma omp parallel for   collapse(2) schedule(dynamic, 2)  ",0.00975833,550.2407891750336
#pragma omp parallel for   collapse(3) schedule(dynamic)  ,0.10839633,610.2407524585724
"#pragma omp target teams distribute parallel for simd   schedule(static, 16)   dist_schedule(static, 16)   is_device_ptr(A, B)",4.00821733,728.2404828071594
"#pragma omp parallel for   collapse(3) schedule(dynamic, 1)  ",0.10820866,790.2403004169464
"#pragma omp parallel for simd   schedule(static, 16)  ",0.04214066,850.2393770217896
"#pragma omp parallel for simd collapse(2) schedule(static, 16)  ",0.01593266,908.2403898239136
"#pragma omp parallel for   collapse(2) schedule(dynamic, 16)  ",0.00926433,966.4528737068176
"#pragma omp parallel for     schedule(dynamic, 2)  ",0.01394633,1026.2407174110413
"#pragma omp parallel for     schedule(dynamic, 16)  ",0.04509633,1086.2407586574554
"#pragma omp parallel for     schedule(dynamic, 4)  ",0.01350466,1144.453251361847
"#pragma omp parallel for     schedule(dynamic, 8)  ",0.02410666,1204.2397391796112
"#pragma omp parallel for     schedule(dynamic, 1)  ",0.01168633,1264.238926410675
"#pragma omp parallel for     schedule(static, 1)  ",0.01331533,1324.2400376796722
"#pragma omp parallel for     schedule(static, 8)  ",0.022605,1384.239929676056
"#pragma omp parallel for     schedule(static, 4)  ",0.01542766,1442.2403481006622
"#pragma omp parallel for     schedule(static, 16)  ",0.04179866,1502.2391238212585
"#pragma omp parallel for     schedule(static, 2)  ",0.01336166,1560.624243736267
#pragma omp parallel for     schedule(static)  ,0.01209133,1618.4123270511627
"#pragma omp parallel for simd   schedule(dynamic, 8)  ",0.02386,1678.240643978119
"#pragma omp parallel for simd   schedule(dynamic, 4)  ",0.01349433,1738.2404761314392
"#pragma omp parallel for simd   schedule(dynamic, 2)  ",0.013671,1796.2406358718872
#pragma omp parallel for simd   schedule(dynamic)  ,0.01160133,1856.7092728614807
"#pragma omp parallel for simd   schedule(dynamic, 1)  ",0.01177466,1914.240609884262
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)       is_device_ptr(A, B)",0.24696633,1976.2404222488403
"#pragma omp parallel for simd   schedule(static, 1)  ",0.01389533,2034.7087395191193
"#pragma omp parallel for simd   schedule(static, 4)  ",0.01456566,2092.6247556209564
"#pragma omp target teams distribute parallel for     schedule(dynamic, 4)     thread_limit(128) is_device_ptr(A, B)",0.339243,2154.238882303238
"#pragma omp parallel for simd   schedule(dynamic, 16)  ",0.04725166,2214.2393565177917
"#pragma omp parallel for simd collapse(3) schedule(dynamic, 16)  ",0.025359,2274.239002227783
"#pragma omp parallel for simd   schedule(dynamic, 16) num_threads(8)",0.16583866,2334.239359855652
"#pragma omp parallel for   collapse(2) schedule(static, 16)  ",0.014864,2392.452975511551
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)  ",0.009571,2450.6207695007324
