directive,objective,elapsed_sec
#pragma omp simd,0.201173,90.73758792877197
 ,0.19406566,158.43822622299194
"#pragma omp parallel for     schedule(static, 1) num_threads(32)",0.01676666,234.2668125629425
"#pragma omp parallel for   collapse(2) schedule(static, 2) num_threads(8)",0.06615633,304.26867032051086
#pragma omp parallel for        ,0.00568666,362.7352318763733
#pragma omp parallel for   collapse(3)   num_threads(16),0.09824133,430.2675015926361
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 4)   dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B)",0.064911,502.26803708076477
"#pragma omp parallel for     schedule(dynamic, 16) num_threads(16)",0.029032,560.5657637119293
#pragma omp parallel for     schedule(static)  ,0.00582933,626.2672386169434
"#pragma omp target teams distribute parallel for             is_device_ptr(A, B)",0.11601766,718.3531506061554
#pragma omp parallel for simd   schedule(static)  ,0.00570533,786.2683806419373
"#pragma omp parallel for simd   schedule(static, 1)  ",0.006161,860.2681667804718
"#pragma omp target teams distribute parallel for simd   schedule(static)     thread_limit(32) is_device_ptr(A, B)",0.07154933,932.2677478790283
#pragma omp parallel for simd      ,0.00601933,1006.2682600021362
#pragma omp parallel for simd   schedule(dynamic)  ,0.00583233,1078.266621351242
#pragma omp parallel for simd collapse(2)    ,0.00620366,1150.352949142456
#pragma omp parallel for simd collapse(3)    ,0.01091133,1224.268171787262
#pragma omp parallel for simd collapse(3) schedule(dynamic)  ,0.03408033,1298.2686941623688
#pragma omp parallel for simd     num_threads(8),0.06066566,1372.267179965973
#pragma omp parallel for   collapse(2)    ,0.00570433,1462.2683274745941
"#pragma omp target teams distribute parallel for     schedule(static, 2)   dist_schedule(static, 2)   is_device_ptr(A, B)",1.62911266,1566.2674362659454
"#pragma omp target teams distribute parallel for simd   schedule(static, 4)       is_device_ptr(A, B)",0.20949,1712.2663116455078
"#pragma omp parallel for simd   schedule(dynamic, 4)  ",0.005888,1896.267816066742
"#pragma omp parallel for simd   schedule(dynamic, 8)  ",0.01011833,2044.2668006420135
"#pragma omp target teams distribute parallel for     schedule(static, 16)   dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B)",0.475865,2334.266392469406
"#pragma omp parallel for     schedule(dynamic, 8)  ",0.01004933,2426.2664833068848
"#pragma omp parallel for     schedule(static, 4)  ",0.00570566,2522.3929579257965
"#pragma omp parallel for   collapse(3) schedule(static, 4)  ",0.04729033,2596.265575170517
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)       is_device_ptr(A, B)",0.06961133,2658.266419649124
"#pragma omp parallel for simd   schedule(static, 2)  ",0.00614066,2724.351897716522
"#pragma omp parallel for     schedule(static, 2)  ",0.00567666,2800.266031265259
"#pragma omp parallel for simd   schedule(dynamic, 2)  ",0.00579666,2876.2657470703125
"#pragma omp target teams distribute parallel for   collapse(3) schedule(dynamic)     thread_limit(64) is_device_ptr(A, B)",0.064452,2948.2662773132324
"#pragma omp parallel for     schedule(dynamic, 2)  ",0.005801,3020.438591003418
