directive,objective,elapsed_sec
#pragma omp simd,0.36489566,72.24638819694519
 ,0.37121533,142.2453908920288
"#pragma omp parallel for     schedule(static, 1) num_threads(32)",0.01423333,206.2444372177124
"#pragma omp parallel for   collapse(2) schedule(static, 2) num_threads(8)",0.06299133,272.50064873695374
#pragma omp parallel for        ,0.00618766,334.24556064605713
#pragma omp parallel for   collapse(3)   num_threads(16),0.036067,394.24622201919556
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(176),0.006668,456.2458231449127
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 16) num_threads(8)   thread_limit(64) is_device_ptr(A, B)",0.08842666,520.2461638450623
#pragma omp parallel for   collapse(3) schedule(dynamic) num_threads(72),1.10834433,600.2465584278107
"#pragma omp parallel for   collapse(3) schedule(static, 2) num_threads(16)",0.12650433,664.5445337295532
#pragma omp parallel for   collapse(3) schedule(static) num_threads(128),0.006167,726.2466294765472
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(8),0.069877,788.5436272621155
#pragma omp parallel for   collapse(3) schedule(dynamic) num_threads(128),1.76927733,878.4595184326172
#pragma omp parallel for   collapse(3) schedule(static)  ,0.00662966,938.2469975948334
"#pragma omp parallel for   collapse(3) schedule(static, 8) num_threads(72)",0.04075833,1190.2468554973602
#pragma omp parallel for     schedule(static) num_threads(128),0.00582633,1256.2448468208313
#pragma omp parallel for     schedule(static) num_threads(176),0.00600133,1318.7570877075195
#pragma omp parallel for     schedule(static)  ,0.006026,1378.2462158203125
#pragma omp parallel for   collapse(3) schedule(static) num_threads(176),0.007186,1440.2464756965637
#pragma omp parallel for   collapse(2) schedule(static) num_threads(128),0.006151,1500.5006296634674
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128)     is_device_ptr(A, B)",0.10906533,1566.2449457645416
#pragma omp parallel for   collapse(2) schedule(dynamic) num_threads(128),0.05437533,1628.2454166412354
"#pragma omp target teams distribute parallel for     schedule(static) num_threads(128)     is_device_ptr(A, B)",0.104334,1692.2471680641174
#pragma omp parallel for   collapse(3) schedule(static) num_threads(16),0.03570633,1754.2451560497284
#pragma omp parallel for       num_threads(176),0.00673366,1820.5011467933655
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(128),0.006359,1882.2457571029663
#pragma omp parallel for   collapse(3) schedule(static) num_threads(8),0.07052866,1944.2469084262848
#pragma omp parallel for simd   schedule(static) num_threads(128),0.00584166,2008.2454690933228
#pragma omp parallel for       num_threads(32),0.01291766,2070.2454953193665
"#pragma omp parallel for simd   schedule(static, 8) num_threads(128)",0.01171466,2136.713198184967
"#pragma omp parallel for   collapse(3) schedule(static, 4) num_threads(128)",0.04011266,2202.246182203293
"#pragma omp parallel for     schedule(static, 1) num_threads(128)",0.006521,2262.6711900234222
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(128),0.00540066,2336.244879245758
#pragma omp parallel for simd collapse(3) schedule(static)  ,0.00673433,2398.2459444999695
#pragma omp parallel for simd      ,0.005865,2460.244616985321
#pragma omp parallel for   collapse(3)   num_threads(128),0.006298,2526.2459332942963
#pragma omp parallel for simd     num_threads(176),0.00687233,2588.457817554474
#pragma omp parallel for simd     num_threads(72),0.00656,2650.245446205139
#pragma omp parallel for simd     num_threads(128),0.00584566,2714.245527744293
#pragma omp parallel for       num_threads(64),0.00688933,2780.5854544639587
#pragma omp parallel for       num_threads(8),0.050415,2848.2450807094574
#pragma omp parallel for       num_threads(128),0.00602833,2910.75515127182
#pragma omp parallel for       num_threads(16),0.02649966,2974.246497631073
#pragma omp parallel for       num_threads(72),0.006566,3032.4997882843018
#pragma omp parallel for     schedule(static) num_threads(72),0.006573,3098.246729373932
#pragma omp parallel for     schedule(static) num_threads(32),0.01300366,3164.2461330890656
#pragma omp parallel for   collapse(3) schedule(static) num_threads(32),0.01794733,3230.2455961704254
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(32),0.01782333,3298.246081352234
#pragma omp parallel for   collapse(2) schedule(static) num_threads(72),0.00624866,3364.2459449768066
#pragma omp parallel for simd   schedule(static) num_threads(72),0.00645733,3430.248888015747
"#pragma omp parallel for   collapse(3) schedule(static, 2) num_threads(128)",0.04647766,3492.2470149993896
#pragma omp parallel for simd collapse(2)   num_threads(64),0.00681766,3554.2448966503143
#pragma omp parallel for simd collapse(2)   num_threads(176),0.00661433,3620.245388031006
#pragma omp parallel for simd collapse(2)   num_threads(32),0.012774,3684.2450037002563
#pragma omp parallel for   collapse(2)   num_threads(128),0.006194,3750.2454183101654
#pragma omp parallel for simd collapse(2)   num_threads(128),0.005704,3816.24635887146
"#pragma omp parallel for     schedule(static, 16) num_threads(128)",0.022931,3878.4578018188477
"#pragma omp parallel for simd collapse(3) schedule(static, 8) num_threads(128)",0.036778,3940.244936466217
#pragma omp parallel for   collapse(2)   num_threads(176),0.00653933,4002.2486085891724
#pragma omp parallel for simd collapse(2)   num_threads(72),0.006268,4062.2435822486877
#pragma omp parallel for   collapse(2)   num_threads(72),0.00618366,4126.247279644012
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(72),0.006164,4482.588414669037
#pragma omp parallel for simd collapse(3) schedule(static) num_threads(72),0.00829933,4826.244864702225
"#pragma omp parallel for     schedule(static, 16) num_threads(72)",0.023533,4952.245762348175
#pragma omp parallel for simd   schedule(dynamic) num_threads(128),0.00622233,5040.243801116943
#pragma omp parallel for simd collapse(3)   num_threads(64),0.009121,5100.245806932449
#pragma omp parallel for simd collapse(3)   num_threads(176),0.00685566,5160.247270584106
