directive,objective,elapsed_sec
#pragma omp simd,26.23978266,312.4843957424164
 ,19.787911,610.4810705184937
"#pragma omp target teams distribute parallel for simd   num_threads(72)     is_device_ptr(data, symmat, mean, stddev)",1.25107466,678.4826028347015
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(72)",0.78025266,738.4817423820496
"#pragma omp target teams distribute       is_device_ptr(data, symmat, mean, stddev)",4.89022433,836.4830465316772
"#pragma omp target teams distribute parallel for   schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean, stddev)",1.19611133,898.4835026264191
#pragma omp parallel for   schedule(dynamic)  ,0.434634,976.482168674469
"#pragma omp target teams distribute parallel for   schedule(dynamic)       is_device_ptr(data, symmat, mean, stddev)",1.26080866,1038.4817473888397
#pragma omp parallel for simd schedule(dynamic) num_threads(32),0.984593,1096.4814298152924
#pragma omp parallel for   schedule(dynamic) num_threads(72),0.74506566,1152.4814579486847
#pragma omp parallel for   schedule(dynamic) num_threads(128),0.56387033,1210.482388496399
#pragma omp parallel for   schedule(dynamic) num_threads(16),1.61595,1274.566967010498
"#pragma omp target teams distribute parallel for   schedule(dynamic) num_threads(64) dist_schedule(static, 4) thread_limit(256) is_device_ptr(data, symmat, mean, stddev)",2.00093433,1342.481858253479
"#pragma omp parallel for   schedule(dynamic, 1) num_threads(72)",0.71461433,1396.4821872711182
"#pragma omp parallel for   schedule(dynamic, 4) num_threads(176)",0.50321433,1450.4812450408936
"#pragma omp parallel for   schedule(dynamic, 4) num_threads(72)",0.72860466,1504.4835674762726
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(128)",0.69296033,1560.4817116260529
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(176)",0.441257,1616.6096053123474
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(176)",0.71489433,1670.481704711914
"#pragma omp parallel for   schedule(static, 4) num_threads(176)",0.57481933,1728.652405500412
"#pragma omp parallel for   schedule(static, 2) num_threads(176)",0.47487933,1782.4830470085144
"#pragma omp parallel for   schedule(static, 2) num_threads(32)",1.05885366,1840.9929041862488
"#pragma omp parallel for   schedule(static, 16) num_threads(32)",1.24760533,1902.481460094452
"#pragma omp parallel for   schedule(static, 16) num_threads(176)",1.50916433,1966.4813017845154
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(64)",0.77378833,2026.4831793308258
"#pragma omp parallel for   schedule(dynamic, 2) num_threads(176)",0.45076333,2084.7374675273895
