p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,26.23978266,312.4843957424164
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.787911,610.4810705184937
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean, stddev)",parallel for #P4 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,1.25107466,678.4826028347015
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,0.78025266,738.4817423820496
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean, stddev)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,4.89022433,836.4830465316772
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean, stddev)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,1.19611133,898.4835026264191
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.434634,976.482168674469
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean, stddev)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.26080866,1038.4817473888397
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,0.984593,1096.4814298152924
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,0.74506566,1152.4814579486847
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,0.56387033,1210.482388496399
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,16,1.61595,1274.566967010498
