p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,9.34312866,174.47127485275269
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.343809,346.6827199459076
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,1.57262333,410.46856141090393
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,0.884974,470.4692635536194
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,1.42976466,672.4679865837097
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,5.62821066,798.4680321216583
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.644145,854.4666440486908
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.68810266,918.4898245334625
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,1.49441366,984.4682598114014
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,4,72,5.83221733,1092.4695556163788
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,16,1.39239333,1156.4694380760193
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,16,16,1.39143066,1220.468899011612
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,16,0.854893,1276.6391863822937
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,128,0.699533,1334.8099613189697
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,0.65402466,1392.4687428474426
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,dynamic,NA,NA,0.65682433,1450.4686918258667
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,72,0.66106366,1508.9805870056152
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,dynamic,NA,NA,0.65347,1564.4696731567383
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,128,0.831153,1646.4694533348083
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,8,1.501321,1710.469253540039
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,1,NA,0.626869,1794.468299627304
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,static,NA,NA,1.26987566,1856.4679958820343
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,16,NA,1.382137,1918.6388001441956
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,16,NA,1.35617066,1980.4667649269104
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,static,NA,NA,1.27446333,2038.4678690433502
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,static,NA,176,1.42751433,2098.469038963318
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,static,NA,8,2.451578,2174.467877149582
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, , , ,NA,NA,NA,1.21527233,2240.4701087474823
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , , , ,NA,NA,NA,1.24372433,2302.981478691101
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd,"schedule(#P10, #P11)", , ,dynamic,4,NA,20.870864,2560.597594499588
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,2,NA,0.76921933,2658.939640045166
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,1,NA,0.63029566,2714.4705061912537
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,4,NA,1.04911833,2794.7256298065186
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), , ,dynamic,4,NA,11.19558933,2984.4694786071777
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,4,NA,1.020681,3044.469214439392
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.622978,3100.469917535782
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,64,0.758069,3162.4694266319275
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,176,0.970152,3222.468690633774
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", ,collapse(2),dynamic,4,NA,1.06538866,3290.469923734665
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,64,0.64981866,3344.4692759513855
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,0.63655433,3400.4694998264313
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,176,0.69779833,3456.466464996338
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,16,0.858704,3522.4697329998016
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,64,1.50215,3586.4704360961914
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),128,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,8,5.22132666,3686.4689769744873
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.51970933,3748.639536380768
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , , ,collapse(2),NA,NA,NA,1.227075,3808.470020532608
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,0.66913133,3866.469388961792
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,4,176,0.90710933,3922.934098005295
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),128, ,schedule(#P10), , ,dynamic,NA,NA,1.68421633,3992.8101103305817
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,72,0.77216733,4046.980931520462
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,176,1.72923433,4118.468042850494
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,72,1.556864,4332.724257946014
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12), ,static,NA,128,1.54249666,4398.936235666275
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10), , ,static,NA,NA,1.80565266,4474.468443155289
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,32,1.50235433,4542.681650161743
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA,simd,schedule(#P10), , ,dynamic,NA,NA,1.68465966,4612.469862937927
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), , ,static,NA,NA,1.53984733,4672.55410528183
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10), , ,dynamic,NA,NA,1.555219,4734.470146656036
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, , ,collapse(2),NA,NA,NA,1.293006,4794.468854427338
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,0.62845833,4846.469707727432
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,176,0.71730433,4904.468710184097
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,72,0.63675666,4956.469144821167
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,64,0.652192,5008.469430208206
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,0.679849,5058.468091249466
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,4,72,0.72776333,5110.468906402588
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,32,0.70948833,5164.468830823898
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,16,0.85663433,5218.470461845398
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,4,72,0.765787,5270.468588590622
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,8,1.52806366,5330.469101905823
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,64,0.662913,5380.5552480220795
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,128,0.70363833,5432.469434261322
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,64,0.660819,5482.468983888626
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,0.68466766,5532.470263242722
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),128, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,1.65190133,5592.681487083435
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,176,0.71992666,5644.468862295151
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10),num_threads(#P12), ,static,NA,128,1.65253766,5704.470266342163
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,0.67953233,5754.7231369018555
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,0.64209666,5806.468640327454
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.78161566,5868.941478252411
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,176,0.719714,5920.469112157822
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,1.46335766,5982.470078468323
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,1.498297,6046.469702959061
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,16,1.288348,6112.468703746796
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,1.46370566,6172.470179796219
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.51331833,6246.4695773124695
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,64,1.49159266,6354.469041347504
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,64,1.54912766,6424.4698967933655
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.55820033,6486.468656301498
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,1.49618333,6552.467853546143
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10),num_threads(#P12), ,static,NA,32,1.49397566,6612.467903137207
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,4,NA,0.71284833,6912.46777009964
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.65217766,6976.469003915787
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),128,simd,schedule(#P10), , ,dynamic,NA,NA,1.68346933,7044.766209125519
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, ,thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),static,NA,NA,1.49041533,7106.469087839127
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,4,NA,1.059754,7164.468959331512
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,static,4,NA,0.66801133,7232.469475984573
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),static,4,NA,0.67506733,7302.469343185425
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(data, symmat, mean)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),static,NA,NA,1.64954433,7402.467989683151
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,16,0.852702,7490.46773815155
