directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1228.3540992736816
 ,1.7976931348623157e+308,2454.349781513214
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,3680.3493852615356
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",46.26532,3972.345286130905
"#pragma omp target teams distribute       is_device_ptr(A, C4, sum)",1.7976931348623157e+308,5200.353269338608
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,6426.518680334091
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,64.904983,6808.346601009369
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,8036.647764921188
#pragma omp parallel for simd     num_threads(16),123.71024266,8710.346106052399
"#pragma omp target teams distribute parallel for simd     num_threads(8)   thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,9936.3492436409
"#pragma omp target teams distribute parallel for simd           is_device_ptr(A, C4, sum)",1.7976931348623157e+308,11160.348803281784
"#pragma omp target teams distribute     thread_limit(256) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,12392.349924564362
"#pragma omp target teams distribute   dist_schedule(static, 2)   is_device_ptr(A, C4, sum)",1.7976931348623157e+308,13620.51862025261
#pragma omp parallel for   collapse(2) schedule(static) num_threads(128),80.14460366,14080.348437547684
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,15304.349572896957
"#pragma omp target teams distribute   dist_schedule(static, 1)   is_device_ptr(A, C4, sum)",1.7976931348623157e+308,16528.52058839798
#pragma omp parallel for simd collapse(2)    ,83.84886866,17000.34846353531
"#pragma omp parallel for simd   schedule(dynamic, 2) num_threads(176)",85.79736166,17486.34997177124
#pragma omp parallel for        ,90.52576033,17994.34622693062
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(8)     is_device_ptr(A, C4, sum)",81.57371633,18450.34731245041
"#pragma omp target teams distribute parallel for simd     num_threads(176)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,19862.352496147156
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(32) dist_schedule(static, 16)   is_device_ptr(A, C4, sum)",1.7976931348623157e+308,21090.349608421326
"#pragma omp target teams distribute parallel for simd   schedule(static) num_threads(128)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,22318.348433494568
"#pragma omp parallel for simd collapse(2) schedule(static, 1) num_threads(128)",73.04888666,22738.346744775772
"#pragma omp target teams distribute     thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,23964.73060321808
#pragma omp parallel for   collapse(2)    ,83.23701633,24434.68946671486
#pragma omp parallel for simd collapse(2) schedule(static)  ,83.06573366,24904.818150043488
"#pragma omp target teams distribute parallel for simd     num_threads(16)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,26134.349365711212
"#pragma omp target teams distribute parallel for       num_threads(72)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,27367.572861909866
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, C4, sum)",45.163841,27645.571992635727
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 1) num_threads(72) dist_schedule(static, 1) thread_limit(64) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,28873.998826503754
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),44.54338266,29157.571197271347
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,30383.659219503403
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(72)",57.609801,30727.785176992416
#pragma omp parallel for simd   schedule(dynamic) num_threads(72),51.66829866,31041.57089781761
#pragma omp parallel for simd   schedule(static) num_threads(72),57.761133,31383.57118177414
"#pragma omp parallel for simd   schedule(dynamic, 8) num_threads(72)",63.97401466,31757.70071911812
#pragma omp parallel for   collapse(2)   num_threads(72),55.31227966,32087.570230960846
#pragma omp parallel for       num_threads(72),57.72404833,32431.57008099556
#pragma omp parallel for simd collapse(2)   num_threads(72),56.79858566,32768.08005237579
"#pragma omp target teams distribute parallel for   collapse(2)   num_threads(72)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,33991.575011730194
#pragma omp parallel for simd     num_threads(72),57.38872766,34331.57386612892
#pragma omp parallel for simd   schedule(dynamic)  ,84.39113466,34807.572464466095
#pragma omp parallel for simd collapse(2)   num_threads(64),64.71641333,35185.57175540924
#pragma omp parallel for simd collapse(2)   num_threads(16),122.97432233,35855.5722424984
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(72)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,37079.57338356972
"#pragma omp parallel for     schedule(dynamic, 16)  ",203.52396366,38155.69910931587
"#pragma omp parallel for simd   schedule(dynamic, 2) num_threads(72)",54.541515,38483.57248663902
"#pragma omp parallel for   collapse(2) schedule(dynamic, 16)  ",74.42686666,38909.572283029556
"#pragma omp target teams distribute parallel for simd     num_threads(72)   thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,40141.57451295853
"#pragma omp parallel for simd   schedule(static, 4) num_threads(72)",65.15366033,40619.57076907158
