directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1244.6414783000946
 ,1.7976931348623157e+308,2470.3387320041656
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, C4, sum)",1.7976931348623157e+308,3800.338905096054
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",84.72055266,4342.337429523468
"#pragma omp target teams distribute       is_device_ptr(A, C4, sum)",1.7976931348623157e+308,5578.339264392853
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C4, sum)",25.78881266,5762.3352663517
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,71.58004933,6176.336663484573
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,7404.33857011795
#pragma omp parallel for simd     num_threads(16),216.6634,8542.33635687828
"#pragma omp target teams distribute parallel for simd     num_threads(8)   thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,9774.337735652924
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)       is_device_ptr(A, C4, sum)",1.7976931348623157e+308,11004.806066036224
"#pragma omp target teams distribute     thread_limit(256) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,12232.721044540405
#pragma omp parallel for   collapse(2)    ,79.75834333,12686.336999177933
"#pragma omp target teams distribute parallel for   collapse(2)     dist_schedule(static, 8)   is_device_ptr(A, C4, sum)",77.45225466,13130.33581161499
"#pragma omp target teams distribute parallel for simd collapse(2)   num_threads(72) dist_schedule(static, 16)   is_device_ptr(A, C4, sum)",87.48107433,13620.336649179459
#pragma omp parallel for simd collapse(2) schedule(static)  ,79.861124,14074.3369307518
"#pragma omp target teams distribute   dist_schedule(static, 2)   is_device_ptr(A, C4, sum)",1.7976931348623157e+308,15302.340449094772
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(16) dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,16532.33772277832
#pragma omp parallel for simd collapse(2)   num_threads(72),105.012134,17112.465538740158
