directive,objective,elapsed_sec
#pragma omp simd,22.13058433,586.518792629242
 ,22.12652833,1160.4839751720428
"#pragma omp target teams distribute parallel for simd   num_threads(72)     is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.7976931348623157e+308,2380.917537689209
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(72)",0.87417633,2758.7391085624695
"#pragma omp target teams distribute       is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",49.76778566,3774.4837667942047
"#pragma omp target teams distribute parallel for   schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",58.12043066,5098.482800722122
#pragma omp parallel for   schedule(dynamic)  ,0.70547333,5366.4836049079895
"#pragma omp parallel for   schedule(dynamic, 16)  ",1.509393,5648.482667922974
"#pragma omp parallel for   schedule(dynamic, 2) num_threads(16)",1.57979333,6178.653254985809
"#pragma omp parallel for   schedule(dynamic, 1)  ",0.70289633,6450.610595464706
"#pragma omp parallel for   schedule(dynamic, 2)  ",0.811943,6728.482598543167
"#pragma omp parallel for   schedule(dynamic, 4)  ",0.812186,7002.483199119568
"#pragma omp parallel for   schedule(dynamic, 8)  ",0.79724966,7274.482783079147
"#pragma omp parallel for simd schedule(dynamic, 16)  ",1.47612533,7556.483931541443
"#pragma omp parallel for   schedule(dynamic, 8)  ",0.79161133,7848.482419252396
"#pragma omp parallel for   schedule(dynamic, 2)  ",0.800108,8142.739013195038
"#pragma omp parallel for   schedule(static, 4)  ",0.829713,8418.482652664185
"#pragma omp parallel for   schedule(dynamic, 16)  ",1.47617866,8708.480735063553
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(176)",1.04099266,8980.481587409973
"#pragma omp parallel for   schedule(dynamic, 16) num_threads(16)",1.620397,9256.482659578323
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(16)",1.620491,9776.695787906647
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(8)",3.070008,10078.651986122131
#pragma omp parallel for   schedule(static)  ,0.705472,10344.482451200485
"#pragma omp parallel for   schedule(dynamic, 1)  ",0.698354,10612.482604026794
#pragma omp parallel for   schedule(dynamic)  ,0.702931,10886.482989549637
"#pragma omp parallel for   schedule(dynamic, 4)  ",0.81095866,11156.569701194763
"#pragma omp parallel for   schedule(dynamic, 4) num_threads(64)",0.85496766,11424.737777471542
"#pragma omp parallel for   schedule(static, 2)  ",0.83033833,11696.4832239151
"#pragma omp parallel for   schedule(static, 1)  ",0.74232733,11966.481590032578
"#pragma omp parallel for   schedule(static, 1)  ",0.74314333,12240.82414650917
"#pragma omp parallel for   schedule(static, 16)  ",1.46902,12520.483961105347
