directive,objective,elapsed_sec
#pragma omp simd,22.24039666,878.9139597415924
 ,22.204336,1474.4033832550049
#pragma omp parallel for simd schedule(dynamic) num_threads(20),1.29563366,1750.4022119045258
"#pragma omp target teams distribute parallel for   schedule(static, 1)   dist_schedule(static, 1)   is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",164.74601766,4642.402116775513
"#pragma omp target teams distribute parallel for simd schedule(static, 16) num_threads(40)     is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",51.24094833,5842.402418613434
"#pragma omp target teams distribute parallel for simd   num_threads(18) dist_schedule(static, 8) thread_limit(128) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",50.845156,6846.40268778801
#pragma omp parallel for     num_threads(18),1.44175866,7124.402439117432
"#pragma omp parallel for simd schedule(static, 16)  ",1.50033733,7408.403126001358
#pragma omp parallel for     num_threads(40),0.745941,7674.402487754822
#pragma omp parallel for     num_threads(36),0.82436666,7946.487979412079
#pragma omp parallel for     num_threads(8),3.00489033,8248.402786493301
"#pragma omp parallel for   schedule(static, 8)  ",0.81949,8526.402956962585
#pragma omp parallel for   schedule(dynamic) num_threads(72),0.69290866,8802.403362751007
#pragma omp parallel for   schedule(dynamic) num_threads(40),0.72056666,9284.742663621902
#pragma omp parallel for   schedule(static) num_threads(36),0.819292,9564.403119325638
#pragma omp parallel for   schedule(dynamic) num_threads(8),3.012873,9880.402329444885
#pragma omp parallel for   schedule(dynamic) num_threads(20),1.295624,10172.401799678802
"#pragma omp parallel for   schedule(static, 1)  ",0.735844,10452.40187573433
#pragma omp parallel for   schedule(static) num_threads(80),0.69521566,10726.403092861176
"#pragma omp parallel for   schedule(static, 16) num_threads(40)",0.91362433,10992.401410579681
"#pragma omp parallel for   schedule(static, 16) num_threads(36)",0.91327666,11262.403656959534
#pragma omp parallel for   schedule(static) num_threads(72),0.78495233,11526.402352571487
