p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,8.25513633,208.43935918807983
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27849466,410.94840574264526
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",parallel for #P4 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,1.723195,516.4376883506775
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,0.18288266,598.4363362789154
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,1.314369,698.7342576980591
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,0.505961,786.435779094696
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,0.09447933,866.4365065097809
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",parallel for #P4 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,1.74462933,970.5658605098724
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),static,NA,NA,0.09990933,1048.86261510849
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,0.15896233,1128.4361848831177
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,0.09608566,1206.6054518222809
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,16,0.52242366,1290.4356861114502
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,0.10094,1370.5657322406769
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,64,0.180857,1694.4378941059113
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,16,0.53753133,1780.4371211528778
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,0.15931933,1860.4367809295654
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,0.09485166,1940.4379420280457
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,64,0.17982733,2020.4359936714172
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,0.27213466,2104.436116695404
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,32,0.276904,2184.5658600330353
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,1,128,0.09654133,2262.436991453171
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,1,64,0.17222366,2344.4381296634674
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,2,64,0.179863,2426.437518596649
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,16,128,0.35749333,2506.8643033504486
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,64,0.17094166,2584.905834913254
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,16,64,0.351227,2676.437765598297
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,128,0.098432,2754.7771265506744
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,128,0.097411,2832.4352881908417
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,64,0.18085533,2914.436210632324
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,128,0.09870233,2994.4362692832947
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,1,128,0.10246733,3074.4373967647552
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,128,0.18694866,3154.436222553253
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,static,8,128,0.18939433,3234.4372601509094
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,static,NA,128,0.098637,3312.4355812072754
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,static,1,128,0.10407233,3392.4384756088257
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,static,2,128,0.100781,3470.4370844364166
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,128,0.09671366,3548.436215400696
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,128,0.09691366,3626.4371752738953
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,1,128,0.095636,3772.435335636139
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,static,NA,NA,0.099573,3984.6066057682037
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,128,0.098743,4180.90792298317
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,1,NA,0.10381,4352.437697887421
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,4,NA,0.10368233,4574.436119556427
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,2,NA,0.10697633,4718.436908245087
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,8,NA,0.17830166,4804.437928199768
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,128,0.09744533,4884.438578128815
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,128,0.09908166,4962.437595367432
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,1,128,1.754103,5312.6508984565735
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,128,0.09905666,5426.820865392685
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , , , ,NA,NA,NA,0.100819,5534.607632160187
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, , , ,NA,NA,NA,0.09903033,5642.436158418655
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , , ,collapse(2),NA,NA,NA,0.10213333,5808.437875032425
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, , ,collapse(2),NA,NA,NA,0.10274066,6144.734632253647
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,64,0.18156966,6310.69121837616
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,64,0.18141066,6820.4359340667725
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,64,0.18038866,7018.43758392334
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,176,0.10281,7220.437767982483
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,176,0.09849133,7452.436244487762
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,2,NA,0.10657966,7650.436720132828
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,176,0.099716,7796.434911489487
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,64,0.17972266,7942.735725402832
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,4,NA,0.10333133,8088.436920642853
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,32,0.27549666,8176.435802936554
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,1,NA,0.095862,8260.437348127365
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,static,1,NA,0.10497833,8340.435915470123
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,8,NA,0.183013,8420.904749393463
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,1,NA,0.09503633,8832.437573194504
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,static,2,NA,0.10305866,8912.81958413124
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,dynamic,NA,NA,0.09527366,8992.437061071396
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,dynamic,NA,NA,0.09467966,9070.775747537613
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,4,NA,0.09776,9150.436339139938
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,static,1,128,0.102746,9230.436435222626
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,1,NA,0.10473433,9308.436157464981
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,2,NA,0.09682633,9386.43630027771
