p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,1230.4891698360443
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,2524.3590536117554
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,7.55416633,2796.824452638626
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,9.104628,3086.7838156223297
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,17.89677,3462.696469306946
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,0.97080133,3668.3549609184265
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,7.042475,3938.3563470840454
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,72,9.70121633,4234.868829488754
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)", ,"dist_schedule(static, #P11)",thread_limit(#P14),64,NA,NA,NA,NA,NA,4,NA,19.47702333,4626.698367834091
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,static,NA,NA,7.57939166,4898.825864315033
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),static,NA,NA,0.66622133,5248.65531373024
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),static,16,NA,0.966833,5612.355952262878
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10), ,collapse(2),static,NA,NA,0.66921133,5940.359087467194
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),static,8,NA,1.80348633,6280.354387998581
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),static,NA,NA,0.67119866,6604.3555200099945
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),static,4,NA,3.587171,6930.355842113495
