directive,objective,elapsed_sec
#pragma omp simd,0.91722066,58.31635880470276
 ,0.911164,112.31721878051758
"#pragma omp target teams distribute parallel for simd   num_threads(72)     is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.14634066,158.31489443778992
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(72)",0.09100033,204.8272783756256
"#pragma omp target teams distribute       is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.16223633,250.57096481323242
"#pragma omp target teams distribute parallel for   schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.14249166,296.31580448150635
#pragma omp parallel for   schedule(dynamic)  ,0.04564,342.3161070346832
"#pragma omp target teams distribute parallel for   schedule(dynamic)       is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.143655,386.7819604873657
"#pragma omp parallel for   schedule(dynamic, 2) num_threads(16)",0.16606166,644.3151972293854
#pragma omp parallel for   schedule(dynamic) num_threads(72),0.09369933,690.3162002563477
#pragma omp parallel for   schedule(dynamic)  ,0.04625633,742.3144137859344
#pragma omp parallel for   schedule(dynamic) num_threads(16),0.162176,788.3138225078583
#pragma omp parallel for simd schedule(static)  ,0.05063466,834.3171498775482
#pragma omp parallel for simd    ,0.05049833,884.3157529830933
#pragma omp parallel for simd schedule(dynamic)  ,0.04454333,930.6977713108063
"#pragma omp parallel for simd schedule(static, 2)  ",0.041028,978.3143086433411
#pragma omp parallel for simd    ,0.05012133,1030.3141677379608
"#pragma omp parallel for simd schedule(static, 8)  ",0.034089,1078.3150424957275
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2)   dist_schedule(static, 2)   is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.595076,1128.3142557144165
"#pragma omp parallel for simd schedule(static, 16)  ",0.045558,1186.7402670383453
"#pragma omp parallel for simd schedule(static, 1)  ",0.059515,1232.314487695694
"#pragma omp target teams distribute parallel for simd     dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.12975333,1278.3147459030151
#pragma omp parallel for      ,0.05277266,1324.3151836395264
"#pragma omp target teams distribute parallel for simd schedule(static)     thread_limit(64) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.14861466,1370.3149359226227
#pragma omp parallel for simd   num_threads(8),0.27400933,1418.315067768097
#pragma omp parallel for      ,0.05030366,1462.3153669834137
"#pragma omp parallel for simd schedule(dynamic, 2)  ",0.046972,1508.3161296844482
"#pragma omp parallel for simd schedule(dynamic, 8)  ",0.04486366,1554.3161673545837
"#pragma omp parallel for   schedule(dynamic, 2)  ",0.04654733,1600.3152816295624
"#pragma omp target teams distribute parallel for   schedule(static, 16)     thread_limit(64) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.24080566,1646.3162491321564
"#pragma omp parallel for simd schedule(static, 2) num_threads(176)",0.06878733,1694.314867258072
"#pragma omp target teams distribute parallel for         thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.134,1740.3142659664154
"#pragma omp target teams distribute parallel for simd       thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.135952,1786.315084695816
#pragma omp parallel for simd   num_threads(32),0.159733,1832.527414560318
"#pragma omp parallel for simd schedule(dynamic, 2)  ",0.048185,1882.3150725364685
"#pragma omp target teams distribute     thread_limit(64) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.169927,1928.3151087760925
"#pragma omp parallel for   schedule(static, 2)  ",0.03648266,1972.5276310443878
