directive,objective,elapsed_sec
#pragma omp simd,0.479911,54.508058309555054
 ,0.478245,106.67866253852844
"#pragma omp target teams distribute parallel for simd   num_threads(72)     is_device_ptr(A, B, tmp, x, y)",0.23207366,162.21063661575317
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(72)",0.028853,210.2091166973114
"#pragma omp target teams distribute       is_device_ptr(A, B, tmp, x, y)",0.224899,264.2101845741272
"#pragma omp target teams distribute parallel for   schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",0.196236,312.20978021621704
#pragma omp parallel for   schedule(dynamic)  ,0.01473366,366.2088258266449
"#pragma omp target teams distribute parallel for   schedule(dynamic)       is_device_ptr(A, B, tmp, x, y)",0.25155833,426.20938539505005
"#pragma omp target teams distribute parallel for   schedule(dynamic)     thread_limit(64) is_device_ptr(A, B, tmp, x, y)",0.23534066,476.2106966972351
"#pragma omp parallel for   schedule(dynamic, 1)  ",0.01475666,524.208963394165
"#pragma omp parallel for   schedule(dynamic, 8) num_threads(72)",0.03397766,572.3379576206207
"#pragma omp parallel for   schedule(dynamic, 4)  ",0.01395033,626.2102525234222
#pragma omp parallel for     num_threads(176),0.02912266,676.2097859382629
#pragma omp parallel for simd   num_threads(176),0.03024633,728.5496463775635
#pragma omp parallel for simd    ,0.01508,784.2097158432007
#pragma omp parallel for simd    ,0.01526866,862.2092523574829
#pragma omp parallel for simd schedule(static)  ,0.01716533,940.2089312076569
"#pragma omp parallel for simd schedule(dynamic, 8)  ",0.01304366,1004.2076570987701
#pragma omp parallel for      ,0.01511833,1052.2098591327667
#pragma omp parallel for simd schedule(dynamic)  ,0.01509833,1106.2096366882324
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.030457,1154.677894115448
#pragma omp parallel for simd   num_threads(72),0.04006833,1202.2097964286804
"#pragma omp parallel for simd schedule(dynamic, 16)  ",0.01453966,1250.2088358402252
#pragma omp parallel for   schedule(dynamic)  ,0.01516666,1298.337768793106
#pragma omp parallel for     num_threads(128),0.04958,1414.208777666092
"#pragma omp parallel for simd schedule(static, 4)  ",0.01681833,1560.2089042663574
"#pragma omp parallel for   schedule(dynamic, 2)  ",0.014602,1660.6773006916046
#pragma omp parallel for      ,0.015115,1722.2105400562286
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",0.02960933,1778.2097718715668
"#pragma omp parallel for simd schedule(static, 8) num_threads(8)",0.18421366,1856.2086975574493
