p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,1228.4384496212006
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,2452.4354331493378
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)",parallel for #P4 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,1.7976931348623157e+308,3674.4347779750824
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,3.97203933,4454.432698249817
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,5678.433118343353
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,1.7976931348623157e+308,6910.432399749756
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,2.47052966,7812.432322740555
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,72,4.00947366,8578.815305233002
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)",parallel for #P4 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , , ,NA,4,NA,1.7976931348623157e+308,9810.819203615189
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)", , ,thread_limit(#P14),256,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,11242.434322357178
#pragma omp #P3,parallel for #P4 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,32,7.53051966,12012.433091163635
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)", , ,thread_limit(#P14),128,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,13236.436496019363
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, tmp, x, y)",parallel for #P4 #P6 #P7, , ,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,72,1.7976931348623157e+308,14494.690217971802
