directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1310.2344162464142
 ,1.7976931348623157e+308,2544.2312915325165
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(x1, x2, y_1, y_2, A)",176.81465266,4924.354476213455
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",175.119055,7142.229259967804
"#pragma omp target teams distribute       is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,9228.230152606964
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",19.40045466,9948.227449178696
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,1.7976931348623157e+308,11238.229966878891
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,12538.22945857048
#pragma omp parallel for simd collapse(2)    ,3.14866166,13116.22846531868
#pragma omp parallel for simd      ,19.83121866,13866.356964349747
#pragma omp parallel for simd   schedule(static)  ,19.605124,14584.228411197662
#pragma omp parallel for simd   schedule(dynamic)  ,26.66836166,15282.227157115936
"#pragma omp parallel for simd collapse(2) schedule(static, 2)  ",3.685733,15740.228928089142
#pragma omp parallel for simd collapse(2) schedule(static)  ,3.119272,16200.227556467056
"#pragma omp parallel for simd collapse(2) schedule(static, 16)  ",3.86136933,16658.400277853012
"#pragma omp parallel for simd collapse(2) schedule(static, 1)  ",6.27373333,17140.239389657974
"#pragma omp parallel for simd collapse(2) schedule(static, 8)  ",4.350971,17606.227644443512
"#pragma omp parallel for simd   schedule(static, 8)  ",12.15019133,18154.226736545563
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 4)   dist_schedule(static, 4) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,19378.656219244003
"#pragma omp parallel for simd collapse(2) schedule(static, 4)  ",2.94956366,19844.610491514206
"#pragma omp parallel for simd collapse(2) schedule(static, 1) num_threads(32)",26.53647466,20672.22844862938
#pragma omp parallel for simd collapse(2)   num_threads(16),12.99526333,21238.228507995605
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(16)",14.85059833,21808.229148864746
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(72)",4.855774,22284.484273195267
"#pragma omp parallel for simd collapse(2) schedule(static, 1) num_threads(128)",8.05077,22800.22882413864
"#pragma omp parallel for simd   schedule(static, 4)  ",10.41063666,23338.441241025925
"#pragma omp parallel for simd collapse(2) schedule(static, 4) num_threads(32)",10.382221,23890.228891134262
"#pragma omp parallel for simd collapse(2) schedule(static, 4) num_threads(8)",29.19364666,24700.22947382927
"#pragma omp parallel for   collapse(2) schedule(static, 16)  ",3.916537,25168.22880101204
"#pragma omp parallel for   collapse(2) schedule(static, 1)  ",5.76319233,25664.399843215942
#pragma omp parallel for   collapse(2) schedule(static)  ,3.085533,26128.228052854538
"#pragma omp parallel for   collapse(2) schedule(static, 4)  ",3.13375166,26576.228369951248
"#pragma omp parallel for   collapse(2) schedule(static, 2)  ",3.34925133,27038.228120088577
