p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,1226.4082324504852
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,2456.534129858017
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,1.7976931348623157e+308,3684.4063782691956
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,25.96394733,4626.787037611008
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,5902.4060797691345
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,1.7976931348623157e+308,7290.405220746994
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,58.533691,8360.412358760834
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", ,"dist_schedule(static, #P11)",thread_limit(#P14),32,NA,NA,NA,NA,NA,4,NA,1.7976931348623157e+308,9590.404969215393
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,16,59.65781566,10658.403222084045
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, , , ,NA,NA,NA,1.7976931348623157e+308,11888.403891801834
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,32,1.7976931348623157e+308,13116.40554690361
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", , ,thread_limit(#P14),256,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,14342.579186439514
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", ,"dist_schedule(static, #P11)", ,NA,NA,NA,NA,NA,NA,2,NA,1.7976931348623157e+308,15568.404945611954
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,64,21.271138,16268.868628263474
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,32,167.75905566,18442.402623414993
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,1.7976931348623157e+308,19684.40600824356
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, , ,collapse(2),NA,NA,NA,20.82837833,20388.40161538124
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,8,176,24.54425433,21156.401995897293
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,2,NA,33.64913866,22052.40239071846
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), ,collapse(2),static,NA,NA,20.71453466,22784.40186047554
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),static,NA,NA,20.81596466,23476.53001475334
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,72,23.66220766,24254.403625011444
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,72,20.90645666,24982.53046965599
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,static,NA,NA,19.43089933,25712.402574777603
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,static,NA,NA,19.40260533,26448.402997255325
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,176,21.233603,27242.87114596367
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,static,NA,72,22.424501,27932.615708589554
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,128,20.65620366,28614.403654813766
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,21.03192433,29286.403042554855
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,20.959377,29964.40331864357
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,128,21.663387,30644.40183877945
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,22.073836,31349.6387655735
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, , , ,NA,NA,NA,19.47534333,32015.80806660652
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,32,36.946513,32959.63780236244
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,72,18.67142666,33711.638712882996
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,2,72,18.683008,34463.638750076294
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,8,72,18.07764466,35224.06683588028
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,4,NA,18.473989,35913.63831663132
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,1,NA,18.43234,36611.6377620697
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,8,NA,18.51333766,37271.76573705673
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,dynamic,16,NA,18.44834666,38041.63817811012
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,2,32,31.75743733,38837.63841223717
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,static,NA,32,32.360448,39627.63860321045
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,16,72,1.7976931348623157e+308,40893.81205010414
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,32.327785,41709.76525878906
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10),num_threads(#P12), ,static,16,72,1.7976931348623157e+308,42975.640590429306
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,static,16,NA,20.013747,43697.63844919205
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,16,16,61.04774833,44885.63704276085
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,static,16,NA,19.85890266,45652.148627996445
