directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,2494.379592895508
,1.7976931348623157e+308,4918.3683087825775
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(64) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",1.82594666,55025.667009592056
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.86911166,53027.58032822609
"#pragma omp target teams distribute parallel for simd collapse(2) is_device_ptr(E, A, B, F, C, D, G)",1.872385,50891.87966108322
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.87398333,58419.65674042702
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.874158,58509.65850067139
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(128) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.876836,54399.58117222786
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.87689166,51671.58123135567
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.87812666,53183.58073306084
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(128) is_device_ptr(E, A, B, F, C, D, G)",1.878551,55855.793055057526
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) is_device_ptr(E, A, B, F, C, D, G)",1.879589,55475.5805952549
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(176) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.88019466,56803.65813469887
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.88143166,51823.79464054108
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.88201266,51073.58231830597
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(E, A, B, F, C, D, G)",1.88504066,50987.58188176155
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.88537166,52211.581305503845
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) is_device_ptr(E, A, B, F, C, D, G)",1.88579933,54636.09099960327
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(E, A, B, F, C, D, G)",1.89131066,26734.86252593994
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.89884133,57778.041159152985
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.90120133,57955.65785050392
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",1.90218833,50581.58190727234
