directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.23848133,34054.75460767746
#pragma omp simd,1.7976931348623157e+308,2494.401176214218
,1.7976931348623157e+308,4958.394050121307
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.84726833,25920.754432201385
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.84896066,33974.75462961197
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.849544,25386.75431704521
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",1.85244366,26224.753157138824
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.868639,25196.752383470535
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.87194766,26022.753685474396
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.87213833,25106.754138231277
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.87266466,25014.75386238098
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.87302333,33548.75380277634
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(E, A, B, F, C, D, G)",1.87385066,24802.753710746765
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.87499366,25788.75286579132
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",1.87614,28061.26386165619
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",1.87776233,35322.75354671478
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",1.88048533,26314.754505872726
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",1.88150066,28240.7543694973
"#pragma omp target teams distribute parallel for simd collapse(2) is_device_ptr(E, A, B, F, C, D, G)",1.884304,28328.75377011299
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",1.90245433,33458.753828048706
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",1.902607,25291.051476955414
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",1.90592333,26404.755199193954
