directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.286395,12114.377399682999
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) is_device_ptr(E, A, B, F, C, D, G)",0.28653166,12004.37733078003
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.28669733,11964.377402544022
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.28716733,11718.376086950302
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(176) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.28736733,11812.377299785614
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.28746366,7382.376528978348
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.28817233,6738.844510793686
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.288721,8164.377606868744
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.34177633,11332.376900911331
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.342919,11378.377065181732
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) is_device_ptr(E, A, B, F, C, D, G)",0.34303,12032.377369880676
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",0.34304133,6344.377920150757
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.343185,7404.37615942955
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.343438,6826.377199172974
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(E, A, B, F, C, D, G)",0.34364333,6466.376472949982
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(128) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.34407333,11114.376984834671
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.344105,6786.377503156662
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) is_device_ptr(E, A, B, F, C, D, G)",0.34481566,6440.3764498233795
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(E, A, B, F, C, D, G)",0.345676,6172.376547336578
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.346776,6806.377279758453
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.34760166,11910.376847743988
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.34763466,11414.37710571289
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) is_device_ptr(E, A, B, F, C, D, G)",0.34850733,11782.375869989395
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) is_device_ptr(E, A, B, F, C, D, G)",0.34860866,8122.3770570755005
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) num_threads(72) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.39633433,11220.716496706009
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(16) is_device_ptr(E, A, B, F, C, D, G)",0.43299466,11866.377408981323
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.43347133,8186.377043962479
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) is_device_ptr(E, A, B, F, C, D, G)",0.43536266,8144.376276016235
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.531485,2426.3785717487335
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 2) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",0.67040533,6690.845326185226
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",0.70355633,6938.378400564194
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) thread_limit(32) is_device_ptr(E, A, B, F, C, D, G)",0.72836733,6764.547047615051
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) is_device_ptr(E, A, B, F, C, D, G)",0.73974633,6550.376572370529
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 2) is_device_ptr(E, A, B, F, C, D, G)",0.74013133,6666.505498886108
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",0.74015,6720.377491474152
