directive,objective,elapsed_sec
"#pragma omp parallel for schedule(dynamic, 1)",0.01034266,7386.498790979385
"#pragma omp parallel for simd schedule(dynamic, 1)",0.010518,7328.329672336578
#pragma omp parallel for simd schedule(dynamic),0.010783,3090.243422269821
#pragma omp parallel for schedule(dynamic),0.010839,5900.244167804718
"#pragma omp parallel for simd schedule(dynamic, 4)",0.01126166,7504.669625759125
"#pragma omp parallel for schedule(dynamic, 2)",0.011364,7446.244060516357
"#pragma omp parallel for simd schedule(dynamic, 2)",0.01155066,7562.243149757385
#pragma omp parallel for simd schedule(static),0.01201233,2194.245591402054
#pragma omp parallel for,0.01219266,2948.4558770656586
"#pragma omp parallel for simd schedule(dynamic, 8)",0.012431,7622.2440457344055
#pragma omp parallel for simd,0.01353933,2646.2446246147156
#pragma omp parallel for schedule(static),0.013544,2134.2443544864655
"#pragma omp parallel for simd schedule(dynamic, 16)",0.013765,7684.243575334549
#pragma omp parallel for collapse(2),0.01529,3024.2448167800903
#pragma omp parallel for simd collapse(2),0.016152,2572.2442915439606
"#pragma omp parallel for schedule(static, 8)",0.016806,6814.243323564529
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",0.017293,8116.244910478592
"#pragma omp parallel for schedule(static, 2)",0.017468,7028.243815422058
"#pragma omp parallel for schedule(static, 16)",0.01761566,6752.242537498474
#pragma omp parallel for simd collapse(2) schedule(static),0.01788366,2348.245413541794
"#pragma omp parallel for simd schedule(static, 2)",0.01795333,7268.243856668472
"#pragma omp parallel for simd schedule(static, 8)",0.01798766,7208.244193553925
"#pragma omp parallel for simd schedule(static, 16)",0.01801033,7088.244583368301
"#pragma omp parallel for schedule(static, 4)",0.01814733,6908.244229793549
#pragma omp parallel for collapse(2) schedule(static),0.01844533,2260.2453079223633
"#pragma omp parallel for simd schedule(static, 1)",0.019733,2422.2443673610687
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(176)",0.01985533,7994.244559764862
