directive,objective,elapsed_sec
"#pragma omp parallel for schedule(dynamic, 4) num_threads(64)",0.00477866,1352.3380208015442
"#pragma omp parallel for schedule(dynamic, 2)",0.00482433,678.2528948783875
"#pragma omp parallel for simd schedule(dynamic, 1)",0.004873,512.2530074119568
"#pragma omp parallel for schedule(dynamic, 4)",0.00488433,1304.2534866333008
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(64)",0.004933,864.2531325817108
"#pragma omp parallel for simd schedule(dynamic, 4)",0.004967,496.2532184123993
#pragma omp parallel for simd schedule(dynamic),0.00497233,236.25281167030334
"#pragma omp parallel for schedule(dynamic, 2) num_threads(64)",0.00499633,798.2523603439331
#pragma omp parallel for simd,0.00502066,252.25306844711304
"#pragma omp parallel for simd schedule(dynamic, 8)",0.005046,220.2529435157776
"#pragma omp parallel for schedule(dynamic, 1)",0.00505033,626.2526264190674
"#pragma omp parallel for schedule(dynamic, 1) num_threads(64)",0.005057,1368.252607345581
"#pragma omp parallel for simd schedule(dynamic, 2)",0.00510566,480.25193524360657
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(64)",0.00522833,782.2520627975464
#pragma omp parallel for,0.00522866,330.7642192840576
"#pragma omp parallel for schedule(dynamic, 8)",0.00527166,766.2542102336884
#pragma omp parallel for schedule(static),0.00533133,560.2525703907013
#pragma omp parallel for simd num_threads(72),0.00547733,378.2521708011627
#pragma omp parallel for simd schedule(static),0.005666,316.25240111351013
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",0.007194,1620.2518503665924
"#pragma omp parallel for simd schedule(static, 8)",0.00735366,576.2523396015167
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.007584,70.25301933288574
"#pragma omp parallel for schedule(static, 8)",0.00762766,830.2530360221863
"#pragma omp parallel for collapse(2) schedule(dynamic, 8)",0.00779066,1526.2528431415558
"#pragma omp parallel for simd schedule(static, 4)",0.007833,642.251978635788
"#pragma omp parallel for collapse(2) schedule(dynamic, 16) num_threads(64)",0.00789366,1574.2519330978394
"#pragma omp parallel for schedule(static, 4)",0.007899,610.3800864219666
#pragma omp parallel for simd collapse(2) schedule(static),0.00793833,346.2529423236847
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(64),0.00853166,1496.2517709732056
baseline,0.00853966,1
#pragma omp parallel for collapse(2) schedule(static),0.00858033,1464.2521414756775
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(64)",0.00858166,1542.2518692016602
#pragma omp parallel for collapse(2) schedule(static) num_threads(64),0.008628,1448.2517783641815
