directive,objective,elapsed_sec
"#pragma omp parallel for simd schedule(static, 1) num_threads(72)",0.01578233,1464.4100346565247
"#pragma omp parallel for schedule(static, 1)",0.01626933,368.4100868701935
"#pragma omp parallel for simd schedule(static, 1)",0.016417,1448.410250902176
"#pragma omp parallel for simd schedule(static, 2)",0.016971,384.4111239910126
"#pragma omp parallel for simd schedule(static, 2) num_threads(72)",0.017057,1194.4099073410034
"#pragma omp parallel for schedule(static, 2)",0.01727166,352.41055369377136
"#pragma omp parallel for collapse(2) schedule(dynamic, 8)",0.01784966,1354.409737110138
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)",0.01790366,1710.409805059433
#pragma omp parallel for simd collapse(2),0.01819433,846.4100568294525
#pragma omp parallel for simd,0.01819766,416.41088604927063
#pragma omp parallel for simd schedule(static),0.01820433,766.4092116355896
#pragma omp parallel for num_threads(72),0.01820766,830.4099416732788
#pragma omp parallel for simd schedule(dynamic),0.01822033,684.4105532169342
#pragma omp parallel for schedule(dynamic) num_threads(72),0.01824733,1258.4118151664734
#pragma omp parallel for simd schedule(static) num_threads(72),0.01825233,1532.4101121425629
"#pragma omp parallel for simd schedule(static, 2) num_threads(64)",0.018313,1098.4101340770721
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4)",0.018315,1742.410016298294
"#pragma omp parallel for collapse(2) schedule(dynamic, 2)",0.01831566,1012.4106819629669
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.01831933,1226.4102952480316
"#pragma omp parallel for schedule(dynamic, 2)",0.01832133,468.4114089012146
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(72)",0.018356,1550.8779213428497
#pragma omp parallel for simd num_threads(72),0.01836433,596.4097857475281
"#pragma omp parallel for simd schedule(dynamic, 2)",0.018407,500.4105076789856
#pragma omp parallel for schedule(dynamic),0.01841133,628.4095504283905
"#pragma omp parallel for schedule(dynamic, 8)",0.018416,580.410147190094
"#pragma omp parallel for schedule(static, 8) num_threads(72)",0.01843,1290.4105186462402
#pragma omp parallel for schedule(static),0.01846066,782.408965587616
#pragma omp parallel for,0.01847933,92.4096953868866
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)",0.01848066,944.4106361865997
"#pragma omp parallel for schedule(dynamic, 1) num_threads(72)",0.01848166,1428.4089913368225
#pragma omp parallel for schedule(static) num_threads(72),0.01849566,1210.4103815555573
"#pragma omp parallel for simd schedule(static, 8)",0.01851766,400.4105896949768
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8)",0.01854133,1274.414140701294
"#pragma omp parallel for collapse(2) schedule(dynamic, 4)",0.01855266,1758.410089969635
"#pragma omp parallel for schedule(static, 8) num_threads(64)",0.01856066,1114.4099836349487
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",0.01857966,1616.4101254940033
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",0.01858966,798.4105608463287
"#pragma omp parallel for schedule(static, 2) num_threads(64)",0.01862966,978.4103548526764
"#pragma omp parallel for schedule(static, 8)",0.01864333,212.41266441345215
"#pragma omp parallel for schedule(dynamic, 1)",0.01870733,1480.8781712055206
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",0.018731,814.4102349281311
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),0.018737,1694.5795719623566
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",0.01876066,1178.4102802276611
#pragma omp parallel for simd collapse(2) num_threads(72),0.01878633,1146.4098000526428
#pragma omp parallel for simd collapse(2) schedule(dynamic),0.018791,1306.4095468521118
"#pragma omp parallel for simd schedule(dynamic, 1)",0.01879133,1392.410620689392
"#pragma omp parallel for collapse(2) schedule(dynamic, 1)",0.018846,1582.410282611847
"#pragma omp parallel for schedule(static, 4)",0.01884866,180.40896701812744
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",0.018856,1062.4105553627014
"#pragma omp parallel for simd schedule(dynamic, 8)",0.01885933,516.4093151092529
baseline,0.01899166,1
