directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1230.8258261680603
,1.7976931348623157e+308,2462.3536558151245
#pragma omp parallel for,11.997308,3496.353269815445
baseline,12.317717,1
#pragma omp parallel for simd schedule(static),12.69205433,3664.4811305999756
"#pragma omp target teams distribute parallel for schedule(dynamic, 1) num_threads(64) dist_schedule(static, 1) thread_limit(32) is_device_ptr(data, symmat, mean)",14.085629,4526.3521909713745
#pragma omp parallel for simd num_threads(72),17.66394966,3244.352126598358
#pragma omp parallel for simd schedule(static) num_threads(64),21.77800266,10726.633345603943
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(64) is_device_ptr(data, symmat, mean)",24.09166266,3400.3533749580383
"#pragma omp target teams distribute parallel for simd num_threads(16) thread_limit(64) is_device_ptr(data, symmat, mean)",25.85422033,4756.3527302742
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(8) dist_schedule(static, 2) is_device_ptr(data, symmat, mean)",26.69275833,5550.353596448898
#pragma omp parallel for schedule(dynamic),3.831467,3078.3522794246674
"#pragma omp target teams distribute parallel for schedule(static, 1) num_threads(16) is_device_ptr(data, symmat, mean)",38.56809366,5128.607325553894
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(8) is_device_ptr(data, symmat, mean)",38.735898,11266.464414358139
"#pragma omp target teams distribute parallel for schedule(dynamic, 16) num_threads(128) is_device_ptr(data, symmat, mean)",38.81584133,12274.464500665665
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(16) is_device_ptr(data, symmat, mean)",38.830625,11906.46348953247
"#pragma omp target teams distribute is_device_ptr(data, symmat, mean)",38.88454433,2880.352443933487
"#pragma omp target teams distribute thread_limit(128) is_device_ptr(data, symmat, mean)",38.901985,4294.353418827057
#pragma omp parallel for simd schedule(dynamic) num_threads(128),4.50264,10272.380232095718
"#pragma omp target teams distribute parallel for schedule(static) num_threads(8) thread_limit(128) is_device_ptr(data, symmat, mean)",40.24924766,9358.352748155594
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 8) dist_schedule(static, 8) is_device_ptr(data, symmat, mean)",43.731785,5382.351580142975
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean)",5.283666,2986.3527326583862
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(176) thread_limit(256) is_device_ptr(data, symmat, mean)",5.73604566,7474.352871894836
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(128) thread_limit(256) is_device_ptr(data, symmat, mean)",5.74593833,7044.3534207344055
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(176) thread_limit(256) is_device_ptr(data, symmat, mean)",5.74644766,7344.353533983231
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(176) thread_limit(256) is_device_ptr(data, symmat, mean)",5.754687,6982.352990865707
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(64) thread_limit(256) is_device_ptr(data, symmat, mean)",5.75478733,6918.864382505417
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(64) thread_limit(256) is_device_ptr(data, symmat, mean)",5.75509166,6722.352346658707
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(128) thread_limit(256) is_device_ptr(data, symmat, mean)",5.75609166,10354.691765069962
