directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd schedule(dynamic) thread_limit(64) is_device_ptr(data, symmat, mean)",1.7976931348623157e+308,14104.442441940308
#pragma omp simd,1.7976931348623157e+308,1232.3589961528778
,1.7976931348623157e+308,2462.48375582695
"#pragma omp target teams distribute parallel for simd schedule(dynamic) is_device_ptr(data, symmat, mean)",1.7976931348623157e+308,8136.186271905899
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(176) is_device_ptr(data, symmat, mean)",1.7976931348623157e+308,4956.18660402298
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(176) thread_limit(32) is_device_ptr(data, symmat, mean)",1.7976931348623157e+308,21094.18755173683
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(176) thread_limit(128) is_device_ptr(data, symmat, mean)",1.7976931348623157e+308,17164.187368154526
"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(8) is_device_ptr(data, symmat, mean)",14.567825,6214.183495521545
#pragma omp parallel for schedule(dynamic),14.73617133,2952.1856169700623
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(8) is_device_ptr(data, symmat, mean)",156.75711033,5988.312037706375
"#pragma omp target teams distribute thread_limit(64) is_device_ptr(data, symmat, mean)",16.654482,10618.183842420578
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",17.14429733,2606.1843304634094
"#pragma omp target teams distribute is_device_ptr(data, symmat, mean)",18.72213266,2710.1848068237305
"#pragma omp target teams distribute thread_limit(128) is_device_ptr(data, symmat, mean)",23.041967,12802.522437095642
baseline,28.88071733,1
#pragma omp parallel for simd num_threads(72),29.11027533,3106.183849811554
#pragma omp parallel for simd,29.595357,3620.1857323646545
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean)",30.319528,2870.18425321579
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(64) is_device_ptr(data, symmat, mean)",31.12319,3270.1844279766083
"#pragma omp target teams distribute parallel for simd schedule(static, 4) num_threads(128) thread_limit(128) is_device_ptr(data, symmat, mean)",31.24371933,17908.18480324745
"#pragma omp target teams distribute thread_limit(256) is_device_ptr(data, symmat, mean)",36.360119,3462.1856606006622
"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(8) dist_schedule(static, 2) is_device_ptr(data, symmat, mean)",36.607679,6406.184936285019
"#pragma omp target teams distribute parallel for schedule(static, 8) num_threads(8) is_device_ptr(data, symmat, mean)",56.351742,8602.182542800903
"#pragma omp target teams distribute parallel for simd num_threads(16) is_device_ptr(data, symmat, mean)",7.458867,11642.18337726593
"#pragma omp target teams distribute parallel for simd num_threads(16) thread_limit(128) is_device_ptr(data, symmat, mean)",7.45933166,19870.44103217125
"#pragma omp target teams distribute parallel for num_threads(16) is_device_ptr(data, symmat, mean)",7.46344333,8920.183819770813
"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(64) is_device_ptr(data, symmat, mean)",7.47134,12664.183827400208
"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(128) is_device_ptr(data, symmat, mean)",7.47269566,11776.608820199966
