directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,10256.27769613266
"#pragma omp target teams distribute thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,15836.27826166153
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,63237.94533038139
#pragma omp simd,1.7976931348623157e+308,1224.2824697494507
,1.7976931348623157e+308,2454.362950563431
"#pragma omp target teams distribute is_device_ptr(A, C4, sum)",1.7976931348623157e+308,5426.278680324554
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,6686.27810716629
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,14486.277534723282
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,8426.279083013535
"#pragma omp target teams distribute parallel for simd is_device_ptr(A, C4, sum)",1.7976931348623157e+308,11516.278377056122
"#pragma omp target teams distribute dist_schedule(static, 2) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,12776.279389858246
"#pragma omp target teams distribute parallel for simd num_threads(64) dist_schedule(static, 4) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,17396.278337717056
"#pragma omp target teams distribute parallel for simd num_threads(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,62008.19866490364
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,37618.278399944305
"#pragma omp target teams distribute parallel for num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,24536.27957224846
"#pragma omp target teams distribute parallel for num_threads(72) thread_limit(128) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,44368.27812361717
"#pragma omp target teams distribute parallel for simd num_threads(64) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,56278.200014829636
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,33506.49026346207
"#pragma omp target teams distribute parallel for simd num_threads(72) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,47457.77469778061
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,3746.278464794159
"#pragma omp target teams distribute parallel for simd num_threads(72) thread_limit(256) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,31436.278465270996
"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,30116.278376579285
"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 16) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,42446.61905884743
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) dist_schedule(static, 16) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,26546.277734279633
"#pragma omp target teams distribute parallel for simd num_threads(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,19196.278248786926
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) dist_schedule(static, 1) thread_limit(32) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,65637.77445459366
"#pragma omp target teams distribute parallel for simd num_threads(8) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,21026.27833890915
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,46231.77518987656
"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(72) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,50518.201274871826
"#pragma omp target teams distribute thread_limit(64) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,22256.27818274498
"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 2) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,34828.277831077576
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, C4, sum)",1.7976931348623157e+308,66869.77575111389
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(8)",163.19949966,53077.77384161949
#pragma omp parallel for collapse(2) num_threads(8),163.379102,52229.77298665047
#pragma omp parallel for simd schedule(dynamic) num_threads(8),165.542356,53939.77354121208
#pragma omp parallel for simd collapse(2) num_threads(8),165.78277566,51379.773721694946
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16) num_threads(32)",44.88711033,54197.77394127846
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(32)",45.31054166,54723.77268958092
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(32),45.45090466,57207.77251434326
#pragma omp parallel for simd collapse(2) num_threads(32),45.45995533,35088.27617049217
"#pragma omp parallel for simd collapse(2) schedule(static, 2) num_threads(32)",45.478376,49303.77715706825
"#pragma omp parallel for collapse(2) schedule(static, 1) num_threads(32)",45.79391433,40166.27573776245
#pragma omp parallel for simd num_threads(32),46.23498166,39242.48932790756
#pragma omp parallel for schedule(static) num_threads(32),46.256569,38714.27643299103
#pragma omp parallel for num_threads(32),46.262746,38978.277594566345
#pragma omp parallel for simd schedule(dynamic) num_threads(32),46.29935533,17966.27468776703
#pragma omp parallel for schedule(dynamic) num_threads(32),46.344162,60471.77235245705
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",46.49005233,47991.772545576096
"#pragma omp parallel for simd schedule(static, 8) num_threads(32)",46.54293166,39904.277316093445
"#pragma omp parallel for schedule(dynamic, 8) num_threads(32)",46.56592466,47723.77327346802
"#pragma omp parallel for schedule(dynamic, 16) num_threads(32)",46.57621566,54463.77163052559
#pragma omp parallel for simd collapse(2),54.66626566,22884.2755587101
#pragma omp parallel for collapse(2) num_threads(72),54.67323633,36382.27586102486
#pragma omp parallel for simd collapse(2) schedule(static),54.67449133,32232.2778236866
#pragma omp parallel for simd collapse(2) num_threads(72),54.67777866,25292.362973451614
#pragma omp parallel for collapse(2),54.67908633,17702.27581858635
"#pragma omp parallel for simd collapse(2) schedule(static, 16)",54.75282766,60207.77306652069
"#pragma omp parallel for collapse(2) schedule(static, 16)",54.76288366,59557.77373242378
#pragma omp parallel for simd num_threads(72),55.24622033,27276.27472472191
#pragma omp parallel for simd schedule(static) num_threads(72),55.331576,57517.77240538597
#pragma omp parallel for num_threads(72),55.36757333,35740.27550673485
baseline,56.27186133,1
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),56.73945633,60787.98605155945
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",56.78216,4148.360947370529
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(128),57.15856433,55043.77160000801
"#pragma omp parallel for schedule(dynamic, 1)",57.23921666,22576.27548789978
#pragma omp parallel for simd schedule(dynamic),57.29435333,37954.27483224869
#pragma omp parallel for simd,58.363724,16160.276197433472
#pragma omp parallel for schedule(static),58.41937266,44692.487996816635
#pragma omp parallel for,58.55756333,31838.276080846786
"#pragma omp parallel for simd schedule(static, 1)",58.57514266,24926.276262521744
#pragma omp parallel for simd schedule(static),58.74546233,57845.7728934288
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(176),58.75719833,13204.276642084122
#pragma omp parallel for simd collapse(2) num_threads(176),58.81679166,23296.360736846924
"#pragma omp parallel for simd schedule(static, 2)",58.87123066,40848.27566194534
#pragma omp parallel for collapse(2) num_threads(176),58.943944,45020.402065992355
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(176)",59.28251866,56607.772356271744
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)",59.80036733,48323.77524805069
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",59.846188,36074.2759540081
#pragma omp parallel for collapse(2) schedule(dynamic),59.868207,7092.275843143463
