directive,objective,elapsed_sec
#pragma omp parallel for simd schedule(dynamic),0.09394933,11050.437559127808
"#pragma omp parallel for simd schedule(dynamic, 1)",0.094452,10178.522303819656
#pragma omp parallel for schedule(dynamic),0.09447933,866.4365065097809
#pragma omp parallel for simd schedule(dynamic),0.09467966,9070.775747537613
"#pragma omp parallel for schedule(dynamic, 1)",0.094792,10258.436891317368
#pragma omp parallel for simd schedule(dynamic) num_threads(128),0.09485166,1940.4379420280457
"#pragma omp parallel for schedule(dynamic, 1)",0.09503633,8832.437573194504
#pragma omp parallel for schedule(dynamic),0.09527366,8992.437061071396
#pragma omp parallel for simd schedule(dynamic) num_threads(176),0.09536333,10578.437530755997
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(128)",0.095636,3772.435335636139
"#pragma omp parallel for simd schedule(dynamic, 2)",0.09576933,10972.436322689056
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.09585733,10498.43628025055
"#pragma omp parallel for simd schedule(dynamic, 1)",0.095862,8260.437348127365
#pragma omp parallel for schedule(dynamic) num_threads(176),0.09594266,10658.692714214325
"#pragma omp parallel for schedule(dynamic, 1) num_threads(128)",0.09607066,9544.436910152435
#pragma omp parallel for schedule(dynamic) num_threads(128),0.09608566,1206.6054518222809
"#pragma omp parallel for schedule(dynamic, 2)",0.096188,10736.437276363373
"#pragma omp parallel for schedule(dynamic, 1) num_threads(128)",0.09654133,2262.436991453171
"#pragma omp parallel for schedule(dynamic, 2)",0.09654966,9466.435961484909
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.09655666,11208.948327541351
#pragma omp parallel for simd schedule(dynamic) num_threads(128),0.09671366,3548.436215400696
"#pragma omp parallel for simd schedule(dynamic, 2)",0.09682633,9386.43630027771
#pragma omp parallel for schedule(dynamic) num_threads(128),0.09691366,3626.4371752738953
#pragma omp parallel for schedule(static) num_threads(128),0.097411,2832.4352881908417
#pragma omp parallel for simd num_threads(128),0.09744533,4884.438578128815
"#pragma omp parallel for schedule(dynamic, 4)",0.09753566,9622.435959339142
