directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) thread_limit(256) is_device_ptr(A, B, C)",0.507508,59435.07647943497
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(A, B, C)",0.512776,35717.03412413597
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) thread_limit(256) is_device_ptr(A, B, C)",0.514724,61588.779527664185
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(256) is_device_ptr(A, B, C)",0.51554033,24652.29219508171
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) is_device_ptr(A, B, C)",0.60148766,64558.77816915512
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",0.602484,32616.778098344803
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",0.60405033,30334.292680501938
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) thread_limit(64) is_device_ptr(A, B, C)",0.67046233,31386.781015634537
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C)",0.67419133,28652.292172908783
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(64) is_device_ptr(A, B, C)",0.67447,24108.292436361313
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.67501566,21232.292180776596
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(64) is_device_ptr(A, B, C)",0.675415,28078.293088436127
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(64) is_device_ptr(A, B, C)",0.67548466,57662.779217004776
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.67600466,39296.77852392197
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.67667366,34552.77800536156
"#pragma omp target teams distribute parallel for simd collapse(2) is_device_ptr(A, B, C)",0.677069,30850.292243480682
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(128) is_device_ptr(A, B, C)",0.678589,25760.292724609375
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.67903066,21776.292169570923
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C)",0.67913533,65638.77837777138
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(256) is_device_ptr(A, B, C)",0.67942533,58204.77846503258
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(128) is_device_ptr(A, B, C)",0.67956566,19546.29280614853
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) is_device_ptr(A, B, C)",0.67958766,29762.2922167778
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, B, C)",0.68015533,40442.77810049057
"#pragma omp target teams distribute parallel for collapse(2) is_device_ptr(A, B, C)",0.680922,29196.294623613358
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.68174133,41124.77809333801
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(256) is_device_ptr(A, B, C)",0.68182333,22320.590152025223
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) is_device_ptr(A, B, C)",0.682068,56544.77859902382
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) is_device_ptr(A, B, C)",0.68220666,27522.462745428085
"#pragma omp target teams distribute parallel for collapse(2) thread_limit(32) is_device_ptr(A, B, C)",0.69801833,20686.29262304306
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 1) thread_limit(32) is_device_ptr(A, B, C)",0.69840933,54946.77875781059
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(32) is_device_ptr(A, B, C)",0.69841766,25210.29211950302
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(32) is_device_ptr(A, B, C)",0.69859866,18198.292650699615
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(32) is_device_ptr(A, B, C)",0.700361,20140.292117357254
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) thread_limit(128) is_device_ptr(A, B, C)",0.80945333,58848.77899479866
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) thread_limit(64) is_device_ptr(A, B, C)",0.810673,60936.7780816555
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(64) is_device_ptr(A, B, C)",0.81612,34038.77727723122
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(A, B, C)",0.81626033,26452.292366027832
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(64) is_device_ptr(A, B, C)",0.81661566,15650.292890787125
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",0.81719366,16788.29211950302
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(128) is_device_ptr(A, B, C)",0.81731366,12310.292370557785
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 2) thread_limit(64) is_device_ptr(A, B, C)",1.04478633,44976.77909350395
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) thread_limit(32) is_device_ptr(A, B, C)",1.06852766,26980.293218135834
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) thread_limit(32) is_device_ptr(A, B, C)",1.074184,60282.77796149254
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) thread_limit(32) is_device_ptr(A, B, C)",1.07658633,16212.292293310165
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",1.20048033,49607.03446292877
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",1.20254033,46942.77682065964
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",1.20297666,46328.77765798569
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",1.203244,49234.778304338455
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 2) thread_limit(128) is_device_ptr(A, B, C)",1.54837766,38112.77885222435
,1.7976931348623157e+308,2564.293394088745
#pragma omp simd,1.7976931348623157e+308,1336.2987034320831
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, C)",11.14142366,3236.2931084632874
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",12.861099,38778.779133319855
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 16) thread_limit(256) is_device_ptr(A, B, C)",14.97151833,42478.77922320366
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) is_device_ptr(A, B, C)",15.36588566,32076.778645515442
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 2) is_device_ptr(A, B, C)",15.74773766,41788.9052696228
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",15.75567633,12982.29212641716
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 2) is_device_ptr(A, B, C)",16.11345,13586.291964292526
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",17.77755566,3920.5478246212006
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C)",19.53858166,7584.771272420883
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",2.100566,5384.293320655823
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",2.340525,44456.78033232689
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 16) is_device_ptr(A, B, C)",2.38831433,11028.292852401733
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",3.459612,57123.20337700844
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(8) thread_limit(64) is_device_ptr(A, B, C)",31.428307,17652.29114294052
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 2) dist_schedule(static, 2) thread_limit(64) is_device_ptr(A, B, C)",32.704308,45896.779280900955
"#pragma omp target teams distribute is_device_ptr(A, B, C)",32.882923,5014.292788982391
#pragma omp parallel for simd num_threads(16),33.674616,8646.294227361679
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) thread_limit(32) is_device_ptr(A, B, C)",33.78992866,33490.7787168026
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.063292,56004.77831339836
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",4.08092,65020.78105568886
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",4.20689,52002.77798938751
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.21099266,48110.77998137474
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.21133866,48656.77835869789
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",4.234936,47524.77869939804
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.31521866,50244.77845835686
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.31951,63874.77916073799
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",4.408285,11622.290919542313
#pragma omp parallel for simd schedule(static),5.67068933,18804.29213500023
#pragma omp parallel for simd collapse(2) schedule(static),5.738352,9828.292004346848
baseline,5.763623,1
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, B, C)",6.491479,10440.292293310165
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 8) is_device_ptr(A, B, C)",6.66344066,51425.07667064667
"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",6.85753366,43685.07545351982
"#pragma omp target teams distribute parallel for schedule(dynamic) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",6.906908,43082.779131412506
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) dist_schedule(static, 8) is_device_ptr(A, B, C)",62.67210766,53182.77888584137
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 8) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",64.17913066,37560.9079720974
"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(A, B, C)",7.15758733,50850.777958869934
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",7.35866,63171.16118001938
"#pragma omp target teams distribute parallel for simd schedule(static, 1) thread_limit(64) is_device_ptr(A, B, C)",7.368533,54406.77889227867
"#pragma omp target teams distribute parallel for simd schedule(dynamic) is_device_ptr(A, B, C)",7.434124,9260.63506937027
