directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for schedule(static, 8) num_threads(176) dist_schedule(static, 8) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,26804.386598825455
"#pragma omp target teams distribute thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,22146.38239645958
"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(72) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,60914.383215904236
"#pragma omp target teams distribute dist_schedule(static, 1) thread_limit(64) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,69790.3842599392
"#pragma omp target teams distribute parallel for dist_schedule(static, 4) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,18774.38355612755
"#pragma omp target teams distribute parallel for simd is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,86840.41745829582
"#pragma omp target teams distribute parallel for num_threads(72) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,83484.38371896744
"#pragma omp target teams distribute dist_schedule(static, 2) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,15768.810540676117
"#pragma omp target teams distribute thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,14490.385885000229
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 8) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,84710.38320922852
"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,11282.383060455322
"#pragma omp target teams distribute parallel for simd schedule(dynamic) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,13226.383046388626
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,8948.38488483429
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,7026.385265111923
"#pragma omp target teams distribute is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,5776.384211301804
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,3692.383403778076
,1.7976931348623157e+308,2452.386858701706
#pragma omp simd,1.7976931348623157e+308,1226.8140926361084
"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 1) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,80978.38390231133
"#pragma omp target teams distribute parallel for simd num_threads(72) thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,57600.383503198624
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",1.7976931348623157e+308,64744.38360595703
"#pragma omp parallel for simd schedule(static, 1)",12.733306,30606.38019990921
"#pragma omp parallel for simd schedule(static, 1)",13.37046266,81574.89083147049
"#pragma omp parallel for schedule(static, 8)",13.49751533,22754.38123869896
"#pragma omp parallel for simd schedule(static, 8)",13.52537333,29998.380166053772
"#pragma omp parallel for schedule(static, 8)",13.75206433,42306.38095474243
"#pragma omp parallel for simd schedule(static, 8)",13.83132533,40458.3812315464
"#pragma omp parallel for schedule(static, 2) num_threads(128)",14.396755,51200.38215613365
"#pragma omp parallel for simd schedule(static, 4) num_threads(128)",14.766208,35674.379999399185
"#pragma omp parallel for schedule(static, 8) num_threads(128)",15.23111366,67096.38121032715
"#pragma omp parallel for simd schedule(static, 8) num_threads(128)",15.71072733,31926.593327522278
"#pragma omp parallel for simd schedule(static, 8) num_threads(128)",15.985638,72478.38092112541
"#pragma omp parallel for schedule(static, 8) num_threads(128)",16.00073333,38646.508632183075
"#pragma omp parallel for schedule(static, 2) num_threads(72)",16.16022,39760.67954206467
"#pragma omp parallel for schedule(static, 8) num_threads(72)",16.742726,35046.382756233215
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",16.81120933,41696.763968229294
"#pragma omp parallel for schedule(static, 8) num_threads(72)",16.81281833,49834.38099145889
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",16.88675233,34392.38101220131
"#pragma omp parallel for schedule(static, 8) num_threads(64)",18.00636566,42958.76355147362
"#pragma omp parallel for simd schedule(static, 8) num_threads(64)",18.35906233,62346.38136458397
"#pragma omp parallel for simd schedule(static, 2) num_threads(64)",18.376281,51854.59310746193
"#pragma omp parallel for simd schedule(static, 8) num_threads(176)",19.37918833,67754.38031411171
#pragma omp parallel for schedule(dynamic) num_threads(64),19.49659733,76896.3820014
"#pragma omp parallel for schedule(static, 8) num_threads(176)",19.54263133,48496.89272546768
"#pragma omp parallel for schedule(static, 8) num_threads(176)",19.55301033,70450.38098073006
