directive,objective,elapsed_sec
"#pragma omp parallel for schedule(static, 4)",0.03153133,3776.2078652381897
"#pragma omp parallel for schedule(static, 4)",0.03154133,3580.548567533493
"#pragma omp parallel for simd schedule(static, 4)",0.03155733,1992.2081627845764
"#pragma omp parallel for simd schedule(static, 4)",0.03167433,2778.2077684402466
"#pragma omp parallel for simd schedule(static, 8)",0.032288,1940.2077441215515
"#pragma omp parallel for simd schedule(static, 4) num_threads(176)",0.03236066,5144.548086643219
"#pragma omp parallel for schedule(static, 4) num_threads(176)",0.03237366,5242.2090945243835
"#pragma omp parallel for simd schedule(static, 4) num_threads(176)",0.03275966,5346.208855867386
"#pragma omp parallel for simd schedule(static, 2)",0.03577566,4322.4638295173645
"#pragma omp parallel for simd schedule(static, 8) num_threads(128)",0.03659966,4374.548105716705
"#pragma omp parallel for schedule(static, 4) num_threads(128)",0.03665466,4430.208561658859
"#pragma omp parallel for simd schedule(static, 2) num_threads(176)",0.03682933,5396.208659172058
"#pragma omp parallel for simd schedule(static, 4) num_threads(128)",0.03686133,3680.6325657367706
"#pragma omp parallel for schedule(static, 4) num_threads(128)",0.03704333,4276.209470272064
"#pragma omp parallel for simd schedule(static, 2) num_threads(128)",0.04217833,2628.207462787628
"#pragma omp parallel for simd schedule(static, 16) num_threads(128)",0.04242266,4480.207792758942
"#pragma omp parallel for simd schedule(static, 16)",0.042848,4532.20814204216
"#pragma omp parallel for simd schedule(static, 16)",0.04298766,4632.206888914108
"#pragma omp parallel for schedule(static, 16)",0.04352266,4582.208160638809
"#pragma omp parallel for schedule(static, 16)",0.043523,4684.20819401741
"#pragma omp parallel for simd schedule(static, 16) num_threads(176)",0.04407533,5446.208445072174
"#pragma omp parallel for simd schedule(static, 16) num_threads(176)",0.044854,5292.207775115967
"#pragma omp parallel for schedule(static, 16) num_threads(128)",0.04569166,4940.208911180496
"#pragma omp parallel for schedule(static, 16) num_threads(72)",0.04655366,2924.208160638809
#pragma omp parallel for schedule(static) num_threads(72),0.04746966,850.2073855400085
#pragma omp parallel for simd num_threads(72),0.047627,1604.207594871521
#pragma omp parallel for simd,0.04822333,1042.3352756500244
#pragma omp parallel for num_threads(72),0.048276,752.5060908794403
#pragma omp parallel for num_threads(72),0.04832133,896.6318037509918
#pragma omp parallel for simd schedule(static),0.048351,3278.208428144455
#pragma omp parallel for simd num_threads(72),0.048461,1750.2080404758453
#pragma omp parallel for schedule(static),0.04855066,3324.547360897064
#pragma omp parallel for,0.04881766,1844.2090239524841
#pragma omp parallel for simd,0.049048,1796.2077102661133
"#pragma omp parallel for schedule(static, 16) num_threads(64)",0.04970366,5494.207696676254
#pragma omp parallel for simd num_threads(176),0.05034466,1652.2095696926117
#pragma omp parallel for,0.05104466,1556.6329712867737
baseline,0.051534,1
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",0.05192166,2972.2082228660583
"#pragma omp parallel for schedule(static, 1) num_threads(128)",0.05217333,4218.20858502388
"#pragma omp parallel for schedule(static, 4) num_threads(72)",0.05519166,4072.2084152698517
"#pragma omp parallel for simd schedule(static, 4) num_threads(72)",0.05628633,2876.2080183029175
"#pragma omp parallel for schedule(static, 4) num_threads(72)",0.056773,4122.208803653717
#pragma omp parallel for num_threads(64),0.05684966,994.2079167366028
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.05774566,262.20800971984863
