directive,objective,elapsed_sec
"#pragma omp parallel for schedule(dynamic, 1)",0.05539666,9360.309705495834
#pragma omp parallel for schedule(dynamic),0.055425,6930.309593677521
#pragma omp parallel for schedule(dynamic) num_threads(72),0.05543566,10190.308598041534
"#pragma omp parallel for simd schedule(dynamic, 1)",0.05545933,8766.309780597687
"#pragma omp parallel for schedule(dynamic, 1)",0.05548333,9282.308137178421
"#pragma omp parallel for schedule(dynamic, 1) num_threads(72)",0.05553566,9190.521620988846
#pragma omp parallel for schedule(dynamic) num_threads(72),0.05554166,9758.775614738464
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",0.05559633,7826.478677034378
#pragma omp parallel for schedule(dynamic),0.05560566,9536.309403181076
"#pragma omp parallel for simd schedule(dynamic, 1)",0.05565933,8880.394410848618
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.05567966,7970.309484004974
"#pragma omp parallel for schedule(dynamic, 2)",0.05569133,10036.308320522308
#pragma omp parallel for simd schedule(dynamic),0.055786,7292.563369989395
#pragma omp parallel for simd schedule(dynamic),0.05581066,8936.309491634369
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.05586,7346.3178923130035
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",0.05588766,9122.394126176834
"#pragma omp parallel for simd schedule(dynamic, 2)",0.05589133,8820.309712409973
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(72)",0.05611366,11120.308037757874
"#pragma omp parallel for simd schedule(static, 2)",0.05611566,11792.309538841248
"#pragma omp parallel for schedule(static, 2)",0.05614433,10570.775973558426
"#pragma omp parallel for schedule(static, 2) num_threads(72)",0.05617933,11848.309119462967
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(72)",0.05618733,11948.308065891266
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",0.056202,11988.43654179573
"#pragma omp parallel for schedule(dynamic, 4)",0.05620733,10922.690207958221
"#pragma omp parallel for simd schedule(dynamic, 2)",0.05620866,11578.819045305252
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",0.05625933,11672.394676923752
