directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, tmp, x, y)",1.7976931348623157e+308,3014.285838365555
"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",1.7976931348623157e+308,5472.79411315918
#pragma omp parallel for simd schedule(dynamic) num_threads(32),2.72356966,46328.88170027733
"#pragma omp parallel for schedule(dynamic, 8) num_threads(32)",2.72629933,11742.716750144958
"#pragma omp parallel for schedule(dynamic, 8) num_threads(32)",2.72872133,29418.627337694168
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",2.728921,23268.28062415123
"#pragma omp parallel for schedule(dynamic, 16) num_threads(32)",2.731452,20256.280673265457
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",2.73246033,34396.62582945824
"#pragma omp parallel for schedule(dynamic, 16) num_threads(16)",2.73302866,12722.281089544296
baseline,2.73465,1
#pragma omp parallel for schedule(dynamic) num_threads(72),2.73501933,49644.712196588516
"#pragma omp parallel for schedule(dynamic, 8) num_threads(16)",2.73542166,14234.452086925507
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(64)",2.736062,39756.6253015995
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(16)",2.737619,32906.92432665825
"#pragma omp parallel for schedule(dynamic, 8) num_threads(64)",2.73917566,10530.282523393631
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(64)",2.745951,17342.28165960312
"#pragma omp parallel for schedule(dynamic, 8) num_threads(64)",2.74897933,31952.75423836708
"#pragma omp parallel for schedule(dynamic, 16) num_threads(64)",2.75085666,29902.626660108566
"#pragma omp parallel for schedule(dynamic, 8)",2.75613166,8954.280170917511
"#pragma omp parallel for simd schedule(dynamic, 16)",2.762263,43878.75426340103
"#pragma omp parallel for schedule(dynamic, 8) num_threads(128)",2.762446,11054.281586408615
"#pragma omp parallel for schedule(dynamic, 8) num_threads(128)",2.76520833,15256.280660629272
"#pragma omp parallel for schedule(dynamic, 16)",2.765396,36338.626611471176
"#pragma omp parallel for simd schedule(dynamic, 16)",2.76795666,26834.626329660416
"#pragma omp parallel for simd schedule(dynamic, 8)",2.767968,22744.2847738266
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",2.76850266,22218.281254529953
"#pragma omp parallel for schedule(dynamic, 16) num_threads(72)",2.76908466,17830.282089710236
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(128)",2.76950566,25358.626091241837
"#pragma omp parallel for schedule(dynamic, 8)",2.76965033,32442.62734556198
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",2.770152,31434.62633895874
"#pragma omp parallel for simd schedule(dynamic, 8)",2.770197,33406.62689232826
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(128)",2.78096433,42326.62639045715
"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",2.78921433,12256.281929969788
"#pragma omp parallel for schedule(dynamic, 16)",2.79916366,6506.408962965012
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(176)",2.80368933,25854.626269578934
"#pragma omp parallel for schedule(dynamic, 4) num_threads(32)",2.805174,33908.626153707504
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(32)",2.80783433,27854.625508785248
"#pragma omp parallel for schedule(dynamic, 4) num_threads(64)",2.808232,16312.281878948212
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",2.81226266,3532.282685995102
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(64)",2.812807,16846.707680225372
"#pragma omp parallel for schedule(dynamic, 16) num_threads(176)",2.814392,23784.280019283295
"#pragma omp parallel for schedule(dynamic, 16) num_threads(128)",2.81751266,30370.625623703003
"#pragma omp parallel for schedule(dynamic, 4) num_threads(176)",2.820266,30882.626414060593
