,Benchmark,Pragma,Time
0,2mm,baseline,1.43880666
1,2mm,#pragma omp parallel for collapse(2) schedule(static),1.57443233
2,2mm,#pragma omp parallel for simd collapse(2) schedule(static),1.59302366
3,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",1.73174566
4,2mm,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, C, D, tmp)",3.07370566
5,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C, D, tmp)",4.43897166
6,2mm,"#pragma omp target teams distribute is_device_ptr(A, B, C, D, tmp)",4.846139
7,2mm,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(128) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",11.52871666
8,2mm,,32.49889533
9,2mm,#pragma omp simd,32.63933
10,3mm,#pragma omp parallel for collapse(2) schedule(static) num_threads(72),2.36490633
11,3mm,#pragma omp parallel for collapse(2) schedule(static) num_threads(64),2.669254
12,3mm,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(32) thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",4.22807233
13,3mm,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(E, A, B, F, C, D, G)",5.02545866
14,3mm,"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",5.55816
15,3mm,"#pragma omp target teams distribute parallel for schedule(static) is_device_ptr(E, A, B, F, C, D, G)",5.56206766
16,3mm,"#pragma omp target teams distribute is_device_ptr(E, A, B, F, C, D, G)",7.22245233
17,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) dist_schedule(static, 1) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",7.700643
18,3mm,#pragma omp simd,50.20652666
19,3mm,,50.41241133
