,Benchmark,Pragma,Time
0,2mm,"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) thread_limit(32) is_device_ptr(A, B, C, D, tmp)",6.776395
1,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 2) num_threads(16) thread_limit(64) is_device_ptr(A, B, C, D, tmp)",7.941947
2,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) num_threads(72) dist_schedule(static, 1) is_device_ptr(A, B, C, D, tmp)",7.995231
3,2mm,"#pragma omp target teams distribute is_device_ptr(A, B, C, D, tmp)",8.36734833
4,2mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 4) dist_schedule(static, 4) is_device_ptr(A, B, C, D, tmp)",15.16792233
5,2mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) is_device_ptr(A, B, C, D, tmp)",15.19859533
6,2mm,"#pragma omp target teams distribute parallel for schedule(static, 16) num_threads(64) thread_limit(256) is_device_ptr(A, B, C, D, tmp)",17.15103033
7,2mm,#pragma omp parallel for collapse(2) schedule(dynamic),21.25370833
8,2mm,#pragma omp simd,64.08269333
9,2mm,,86.59271533
10,3mm,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(176) is_device_ptr(E, A, B, F, C, D, G)",12.47521633
11,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) num_threads(176) dist_schedule(static, 16) is_device_ptr(E, A, B, F, C, D, G)",12.938856
12,3mm,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(E, A, B, F, C, D, G)",16.297796
13,3mm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) num_threads(16) thread_limit(64) is_device_ptr(E, A, B, F, C, D, G)",17.60567133
14,3mm,"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) is_device_ptr(E, A, B, F, C, D, G)",22.53116166
15,3mm,"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 1) thread_limit(128) is_device_ptr(E, A, B, F, C, D, G)",22.565238
16,3mm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(8) is_device_ptr(E, A, B, F, C, D, G)",22.58381866
17,3mm,#pragma omp parallel for collapse(2) schedule(dynamic),31.789462
18,3mm,#pragma omp simd,84.36775166
19,3mm,,96.07056633
20,doitgen,"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 1) is_device_ptr(A, C4, sum)",1.33443233
21,doitgen,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(72) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, C4, sum)",1.50742233
22,doitgen,"#pragma omp parallel for schedule(static, 16)",1.96420733
23,doitgen,"#pragma omp parallel for simd schedule(static, 16)",1.96711933
24,doitgen,#pragma omp parallel for simd schedule(dynamic) num_threads(8),2.383436
25,doitgen,"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(8)",2.397187
26,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, C4, sum)",2.71404033
27,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, C4, sum)",2.724385
28,doitgen,,19.169348
29,doitgen,#pragma omp simd,19.22447133
30,convolution-3d,#pragma omp parallel for collapse(3) schedule(static) num_threads(8),0.07052866
31,convolution-3d,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) num_threads(8) thread_limit(64) is_device_ptr(A, B)",0.08842666
32,convolution-3d,"#pragma omp target teams distribute parallel for schedule(static) num_threads(128) is_device_ptr(A, B)",0.104334
33,convolution-3d,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128) is_device_ptr(A, B)",0.10906533
34,convolution-3d,"#pragma omp parallel for collapse(3) schedule(static, 2) num_threads(16)",0.12650433
35,convolution-3d,#pragma omp simd,0.36489566
36,convolution-3d,,0.37121533
37,convolution-3d,#pragma omp parallel for collapse(3) schedule(dynamic) num_threads(72),1.10834433
38,convolution-3d,#pragma omp parallel for collapse(3) schedule(dynamic) num_threads(176),1.69911666
39,convolution-3d,#pragma omp parallel for collapse(3) schedule(dynamic) num_threads(128),1.76927733
40,correlation,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(64) dist_schedule(static, 4) thread_limit(256) is_device_ptr(data, symmat, mean, stddev)",2.00093433
41,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 1) dist_schedule(static, 1) is_device_ptr(data, symmat, mean, stddev)",2.999427
42,correlation,#pragma omp parallel for simd num_threads(16),3.285944
43,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) thread_limit(128) is_device_ptr(data, symmat, mean, stddev)",4.12042833
44,correlation,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) is_device_ptr(data, symmat, mean, stddev)",4.85164266
45,correlation,"#pragma omp target teams distribute is_device_ptr(data, symmat, mean, stddev)",4.89022433
46,correlation,#pragma omp parallel for num_threads(8),5.46524
47,correlation,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(8) thread_limit(256) is_device_ptr(data, symmat, mean, stddev)",8.22502166
48,correlation,,19.787911
49,correlation,#pragma omp simd,26.23978266
50,fdtd-apml,"#pragma omp parallel for schedule(dynamic, 16) num_threads(128)",0.35749333
51,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",0.505961
