directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,58727.63964676857
"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(72) dist_schedule(static, 16) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,42975.640590429306
#pragma omp simd,1.7976931348623157e+308,1226.4082324504852
,1.7976931348623157e+308,2456.534129858017
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,3684.4063782691956
"#pragma omp target teams distribute parallel for dist_schedule(static, 8) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,65973.97970986366
"#pragma omp target teams distribute is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,5902.4060797691345
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,7290.405220746994
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,52997.63989186287
"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 8) thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,49317.6401951313
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 16) num_threads(72) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,40893.81205010414
"#pragma omp target teams distribute dist_schedule(static, 1) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,76809.64022660255
"#pragma omp target teams distribute parallel for simd num_threads(32) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,13116.40554690361
"#pragma omp target teams distribute thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,14342.579186439514
"#pragma omp target teams distribute dist_schedule(static, 2) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,15568.404945611954
"#pragma omp target teams distribute thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,59979.6400372982
"#pragma omp target teams distribute parallel for simd thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,57503.639166116714
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(72) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,19684.40600824356
"#pragma omp target teams distribute parallel for num_threads(128) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,79936.1084022522
"#pragma omp target teams distribute thread_limit(64) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,78690.10979294777
"#pragma omp target teams distribute parallel for simd is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,11888.403891801834
"#pragma omp target teams distribute dist_schedule(static, 4) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",1.7976931348623157e+308,9590.404969215393
"#pragma omp parallel for collapse(2) schedule(dynamic, 1) num_threads(72)",102.822499,82947.6388874054
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),103.02557766,62391.98099589348
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(32)",103.59259,56225.638348817825
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(72),104.28459833,75577.63802456856
"#pragma omp parallel for simd schedule(static, 1)",11.85621166,94146.36142015457
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(32),167.75905566,18442.402623414993
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",18.07764466,35224.06683588028
#pragma omp parallel for simd num_threads(64),18.130255,85349.63770699501
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",18.15271166,91490.65739417076
"#pragma omp parallel for schedule(dynamic, 16)",18.30825933,93552.61800980568
"#pragma omp parallel for schedule(dynamic, 1)",18.42640033,83605.63867712021
#pragma omp parallel for simd schedule(dynamic),18.431844,63053.63704872131
"#pragma omp parallel for simd schedule(dynamic, 1)",18.43234,36611.6377620697
"#pragma omp parallel for simd schedule(dynamic, 16)",18.44834666,38041.63817811012
"#pragma omp parallel for simd schedule(dynamic, 4)",18.473989,35913.63831663132
"#pragma omp parallel for simd schedule(dynamic, 8)",18.51333766,37271.76573705673
#pragma omp parallel for schedule(dynamic),18.572337,64749.976638793945
#pragma omp parallel for simd schedule(dynamic) num_threads(72),18.67142666,33711.638712882996
#pragma omp parallel for schedule(dynamic) num_threads(72),18.675977,67524.06254982948
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",18.683008,34463.638750076294
#pragma omp parallel for schedule(dynamic) num_threads(128),18.85539166,69093.63938355446
#pragma omp parallel for simd num_threads(72),19.07108666,72199.63660883904
#pragma omp parallel for num_threads(72),19.07420566,90158.36048388481
#pragma omp parallel for schedule(static),19.40260533,26448.402997255325
#pragma omp parallel for simd schedule(static),19.43089933,25712.402574777603
#pragma omp parallel for,19.456145,53789.63754940033
#pragma omp parallel for simd,19.47534333,32015.80806660652
baseline,19.55232666,1
"#pragma omp parallel for schedule(static, 16)",19.85890266,45652.148627996445
"#pragma omp parallel for simd schedule(static, 16)",20.013747,43697.63844919205
#pragma omp parallel for simd num_threads(128),20.62426133,77467.6379544735
#pragma omp parallel for schedule(static) num_threads(128),20.65620366,28614.403654813766
#pragma omp parallel for simd collapse(2) schedule(static),20.71453466,22784.40186047554
#pragma omp parallel for num_threads(128),20.79197,92894.3611433506
#pragma omp parallel for collapse(2) schedule(static),20.81596466,23476.53001475334
#pragma omp parallel for simd collapse(2),20.82837833,20388.40161538124
#pragma omp parallel for collapse(2),20.89518833,74053.63678836823
#pragma omp parallel for simd collapse(2) num_threads(72),20.90645666,24982.53046965599
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(72),20.959377,29964.40331864357
#pragma omp parallel for collapse(2) schedule(static) num_threads(72),21.03192433,29286.403042554855
#pragma omp parallel for schedule(static) num_threads(176),21.233603,27242.87114596367
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(64),21.271138,16268.868628263474
#pragma omp parallel for collapse(2) num_threads(64),21.338766,92210.36064600945
#pragma omp parallel for collapse(2) num_threads(128),21.55897366,87386.36045646667
#pragma omp parallel for simd collapse(2) num_threads(128),21.60123133,90834.87124276161
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(128),21.663387,30644.40183877945
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8)",21.91393566,80653.63753128052
"#pragma omp parallel for simd collapse(2) schedule(static, 2) num_threads(32)",22.001822,66856.10759735107
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(176),22.073836,31349.6387655735
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(72)",22.16126933,46470.14914417267
#pragma omp parallel for collapse(2) num_threads(176),22.24530833,88096.3614165783
#pragma omp parallel for simd schedule(static) num_threads(72),22.424501,27932.615708589554
#pragma omp parallel for collapse(2) num_threads(72),23.66220766,24254.403625011444
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4)",24.352925,81443.63659882545
"#pragma omp parallel for simd collapse(2) schedule(static, 8) num_threads(176)",24.54425433,21156.401995897293
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",25.96394733,4626.787037611008
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(32)",31.75743733,38837.63841223717
"#pragma omp parallel for schedule(dynamic, 8) num_threads(32)",31.81914066,70697.6378736496
#pragma omp parallel for schedule(dynamic) num_threads(32),32.253249,60863.637310028076
#pragma omp parallel for simd schedule(dynamic) num_threads(32),32.327785,41709.76525878906
#pragma omp parallel for schedule(static) num_threads(32),32.360448,39627.63860321045
#pragma omp parallel for simd schedule(static) num_threads(32),32.50282833,47283.63657474518
"#pragma omp parallel for schedule(dynamic, 2) num_threads(32)",32.518221,68379.63816571236
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(32)",32.58287433,54673.63766813278
"#pragma omp parallel for collapse(2) schedule(static, 1) num_threads(32)",33.274517,48091.63897180557
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)",33.64913866,22052.40239071846
"#pragma omp parallel for simd collapse(2) schedule(static, 8) num_threads(32)",35.59418133,71535.63865756989
#pragma omp parallel for collapse(2) num_threads(32),36.92071433,69915.63865685463
#pragma omp parallel for simd collapse(2) num_threads(32),36.946513,32959.63780236244
#pragma omp parallel for collapse(2) schedule(static) num_threads(32),37.12151666,51709.63848400116
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(32),37.51713633,50163.63713622093
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)",56.32539666,64089.85155701637
#pragma omp parallel for simd collapse(2) schedule(dynamic),57.303752,84657.89545083046
#pragma omp parallel for collapse(2) schedule(dynamic),58.533691,8360.412358760834
#pragma omp parallel for simd num_threads(16),59.65781566,10658.403222084045
#pragma omp parallel for simd schedule(dynamic) num_threads(16),60.283062,73283.6382021904
"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(16)",61.04774833,44885.63704276085
#pragma omp parallel for num_threads(8),87.131515,89474.74360013008
#pragma omp parallel for simd num_threads(8),87.13319966,86718.5315630436
