directive,objective,elapsed_sec
"#pragma omp parallel for schedule(static, 8)",0.021349,2814.2297298908234
"#pragma omp parallel for simd schedule(static, 4)",0.021353,3504.2305569648743
"#pragma omp parallel for simd schedule(static, 8)",0.02150133,2946.229652404785
"#pragma omp parallel for schedule(static, 16) num_threads(72)",0.03099666,4054.357633113861
#pragma omp parallel for schedule(static) num_threads(72),0.03173766,7122.485915899277
#pragma omp parallel for num_threads(72),0.03211866,2348.2309584617615
"#pragma omp parallel for schedule(static, 16)",0.034564,2718.23059797287
"#pragma omp parallel for schedule(static, 8) num_threads(72)",0.03690366,4648.229813814163
#pragma omp parallel for,0.037517,2394.2302498817444
"#pragma omp parallel for schedule(dynamic, 4)",0.03786233,2766.230495452881
#pragma omp parallel for num_threads(176),0.03804633,2534.230516910553
#pragma omp parallel for schedule(static),0.039142,7066.230327129364
#pragma omp parallel for simd schedule(static),0.039262,3412.2302808761597
#pragma omp parallel for simd,0.03937366,3320.230782032013
#pragma omp parallel for num_threads(64),0.03937766,2488.230402469635
"#pragma omp parallel for simd schedule(static, 16)",0.039562,3366.3146488666534
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",0.04011033,4430.230959177017
baseline,0.04011466,1
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",0.040489,1648.229742050171
"#pragma omp parallel for schedule(dynamic, 8) num_threads(64)",0.041492,5724.2293865680695
"#pragma omp parallel for schedule(dynamic, 8) num_threads(72)",0.041609,3226.2298815250397
"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(72)",0.04341466,4990.230239391327
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",0.045319,4326.230366945267
"#pragma omp parallel for schedule(dynamic, 8) num_threads(128)",0.04617666,5670.6560208797455
"#pragma omp parallel for schedule(dynamic, 8)",0.04662766,908.2297580242157
"#pragma omp parallel for schedule(static, 8) num_threads(32)",0.048106,2998.2302141189575
"#pragma omp parallel for simd schedule(static, 1)",0.04829666,3556.2302746772766
"#pragma omp parallel for simd schedule(dynamic, 8)",0.049372,3176.2291860580444
#pragma omp parallel for num_threads(32),0.04980333,956.2297229766846
"#pragma omp parallel for schedule(dynamic, 8) num_threads(32)",0.05385966,5214.230707168579
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",0.05505,5044.230225801468
"#pragma omp parallel for schedule(static, 1) num_threads(72)",0.06874366,4006.23038315773
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",0.09704866,3058.229557991028
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.09818,5562.229533433914
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(16)",0.10177033,3458.2309317588806
"#pragma omp parallel for schedule(dynamic, 8) num_threads(16)",0.10319933,2672.4427802562714
#pragma omp parallel for schedule(dynamic) num_threads(72),0.10413066,2626.2287414073944
"#pragma omp parallel for schedule(dynamic, 1) num_threads(72)",0.104387,3274.2300972938538
#pragma omp parallel for collapse(2) num_threads(16),0.138921,2580.2288579940796
"#pragma omp target teams distribute parallel for dist_schedule(static, 8) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.14450766,1596.230493068695
"#pragma omp target teams distribute parallel for num_threads(128) dist_schedule(static, 8) is_device_ptr(x1, x2, y_1, y_2, A)",0.14494266,1546.696768283844
"#pragma omp target teams distribute parallel for simd dist_schedule(static, 8) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.14529033,1498.5274243354797
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(x1, x2, y_1, y_2, A)",0.14604866,176.23058986663818
"#pragma omp target teams distribute parallel for num_threads(128) is_device_ptr(x1, x2, y_1, y_2, A)",0.14736733,1154.2302277088165
"#pragma omp target teams distribute parallel for thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.15026966,1006.2306180000305
"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.151308,1944.2289061546326
"#pragma omp target teams distribute parallel for num_threads(72) dist_schedule(static, 8) is_device_ptr(x1, x2, y_1, y_2, A)",0.15346466,1992.232918024063
"#pragma omp target teams distribute parallel for dist_schedule(static, 8) thread_limit(64) is_device_ptr(x1, x2, y_1, y_2, A)",0.15434,1402.2304441928864
"#pragma omp target teams distribute parallel for num_threads(72) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.15439833,1204.23051404953
"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 8) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",0.156796,5504.231153011322
#pragma omp parallel for simd schedule(dynamic),0.15760666,7180.230808496475
"#pragma omp target teams distribute parallel for num_threads(72) is_device_ptr(x1, x2, y_1, y_2, A)",0.160444,1848.2307651042938
