directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) dist_schedule(static, 8) is_device_ptr(A, B, C)",1.7976931348623157e+308,18895.079036474228
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(16) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",1.7976931348623157e+308,18893.170481920242
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) dist_schedule(static, 4) is_device_ptr(A, B, C)",1.7976931348623157e+308,18897.027317523956
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",1.7976931348623157e+308,18899.18691134453
,1.7976931348623157e+308,3662.3540439605713
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 4) num_threads(176) dist_schedule(static, 4) is_device_ptr(A, B, C)",1.7976931348623157e+308,18901.20496416092
"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) dist_schedule(static, 4) is_device_ptr(A, B, C)",1.7976931348623157e+308,15444.351505279541
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",1.7976931348623157e+308,18917.40227818489
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, B, C)",1.7976931348623157e+308,18889.413283586502
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 2) is_device_ptr(A, B, C)",1.7976931348623157e+308,18891.09702181816
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",1.7976931348623157e+308,18886.904440402985
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",1.7976931348623157e+308,18884.944164276123
#pragma omp parallel for simd collapse(2) num_threads(72),10.01403733,17660.34969639778
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(72),10.42753166,17918.688962697983
"#pragma omp parallel for simd collapse(2) schedule(static, 8) num_threads(72)",11.20679933,16428.51869750023
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) num_threads(72) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",12.52823166,7200.348753929138
"#pragma omp target teams distribute parallel for schedule(dynamic, 2) num_threads(72) is_device_ptr(A, B, C)",12.57084666,6010.733507156372
"#pragma omp target teams distribute parallel for schedule(static, 2) num_threads(72) is_device_ptr(A, B, C)",12.57405866,7030.348990678787
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 4) num_threads(128) dist_schedule(static, 4) is_device_ptr(A, B, C)",12.744603,5686.349979162216
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 1) is_device_ptr(A, B, C)",12.80773,20299.035714626312
"#pragma omp parallel for simd collapse(2) schedule(static, 4) num_threads(176)",13.05408333,16780.350712537766
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) num_threads(72) dist_schedule(static, 1) is_device_ptr(A, B, C)",13.09128833,6858.3497133255005
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 2) is_device_ptr(A, B, C)",13.65249633,16264.34977030754
"#pragma omp target teams distribute parallel for simd num_threads(16) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",15.39588333,14220.34847331047
"#pragma omp target teams distribute is_device_ptr(A, B, C)",16.184229,4834.3486206531525
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(32) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",17.34428066,21746.189793109894
#pragma omp parallel for collapse(2) schedule(dynamic),18.39565766,5194.477952003479
baseline,20.07062933,1
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 2) num_threads(64) thread_limit(32) is_device_ptr(A, B, C)",20.12924,6650.476928472519
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) num_threads(72) dist_schedule(static, 1) is_device_ptr(A, B, C)",20.547051,6264.348917961121
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 1) thread_limit(256) is_device_ptr(A, B, C)",22.43124733,21025.460492372513
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, B, C)",22.94868733,14014.349022388458
#pragma omp simd,231.02929266,2426.354414463043
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",24.69798666,5512.349893569946
"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(256) is_device_ptr(A, B, C)",24.823058,12556.349335432053
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 4) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",24.84641933,15872.348964691162
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 1) num_threads(128) thread_limit(32) is_device_ptr(A, B, C)",24.89669333,8674.35055565834
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) thread_limit(256) is_device_ptr(A, B, C)",24.92841033,11436.34926700592
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 4) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",27.81589766,19571.0351061821
"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 4) thread_limit(64) is_device_ptr(A, B, C)",27.97066133,9106.347905874252
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, B, C)",3.51162633,20379.16227388382
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",3.528629,15956.34837436676
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",3.53264566,18682.347752571106
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",3.53363366,18600.347752571106
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",3.536171,18248.349539756775
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(8) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B, C)",3.746262,21388.65756368637
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",3.853102,13380.34919500351
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) dist_schedule(static, 4) thread_limit(256) is_device_ptr(A, B, C)",3.853265,11140.349326848984
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 4) thread_limit(128) is_device_ptr(A, B, C)",3.85497333,18882.349804878235
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B, C)",3.86375633,13558.64699959755
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 4) num_threads(16) thread_limit(64) is_device_ptr(A, B, C)",3.96249833,7862.351078033447
"#pragma omp target teams distribute parallel for schedule(static) num_threads(72) dist_schedule(static, 8) is_device_ptr(A, B, C)",34.228107,7590.3510954380035
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176) dist_schedule(static, 1) thread_limit(256) is_device_ptr(A, B, C)",39.00325833,20011.035230875015
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4) num_threads(8)",39.87610666,13118.349307537079
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 8) is_device_ptr(A, B, C)",4.14278433,18770.697210788727
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 16) is_device_ptr(A, B, C)",4.202049,20125.034988880157
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",4.204776,4956.350388288498
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 4) num_threads(72) is_device_ptr(A, B, C)",4.23113533,5832.476789236069
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",4.250642,18426.731155395508
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 4) is_device_ptr(A, B, C)",4.280393,11690.348250627518
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",4.28105266,11878.348881483078
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) dist_schedule(static, 4) is_device_ptr(A, B, C)",4.28430166,18338.349254131317
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 8) num_threads(72) thread_limit(64) is_device_ptr(A, B, C)",4.402375,20567.035295009613
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",4.495954,18518.3479681015
