directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.39055366,6338.224904298782
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.390741,3234.2268900871277
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.39100266,3396.6095867156982
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.39139,5382.225766420364
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.392702,5518.400449514389
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.39326733,5152.226156234741
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.394728,2782.2269682884216
"#pragma omp target teams distribute parallel for simd collapse(2) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.39512633,5326.227120399475
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.41233666,4450.2269241809845
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.41268666,6188.610021114349
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.41372966,6600.652485609055
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",0.44066,4498.2256944179535
"#pragma omp target teams distribute parallel for collapse(2) num_threads(128) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",0.444683,2636.2257912158966
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",0.44528366,1302.2272078990936
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.44984066,4108.22648525238
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) thread_limit(128) is_device_ptr(A, B, C)",0.45000466,3588.227709531784
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) thread_limit(32) is_device_ptr(A, B, C)",0.45003133,3634.311858177185
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.45033566,2928.225623846054
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.45054866,2882.3975274562836
"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.451415,2834.4820642471313
"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.452025,2734.2275171279907
"#pragma omp target teams distribute parallel for collapse(2) num_threads(16) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.45205866,2684.223979473114
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(72) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.463343,6498.227062225342
"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",0.46479033,3072.227128267288
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.46563533,6238.312155246735
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(64) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.46567233,4158.226736068726
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(32) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.46708766,3748.22704911232
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(32) dist_schedule(static, 8) thread_limit(32) is_device_ptr(A, B, C)",0.467835,3796.226877450943
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.46787166,4060.2265338897705
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(32) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.46802666,3024.226790189743
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",0.468391,4342.481267690659
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(72) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.468552,6854.694897174835
"#pragma omp target teams distribute parallel for collapse(2) num_threads(72) dist_schedule(static, 8) thread_limit(64) is_device_ptr(A, B, C)",0.46876866,6650.225759983063
"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",0.46886933,2974.6070654392242
"#pragma omp target teams distribute parallel for collapse(2) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.46962133,5782.226810216904
"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 8) is_device_ptr(A, B, C)",0.46988433,4606.225760221481
