directive,objective,elapsed_sec
"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(72) thread_limit(128) is_device_ptr(A, B, C)",1.7976931348623157e+308,7972.35098528862
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(16)",11.00650533,6196.857791185379
#pragma omp parallel for simd num_threads(16),11.20225933,15192.34559750557
"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, C)",13.843592,4008.346654653549
,131.52550933,3844.346166610718
#pragma omp simd,136.59446066,1676.348391532898
"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",168.28247266,5672.345972061157
#pragma omp parallel for schedule(dynamic) num_threads(8),19.774054,9192.344415187836
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(8)",19.86275833,6356.3456246852875
#pragma omp parallel for simd num_threads(8),20.62088866,12088.345251083374
"#pragma omp parallel for schedule(dynamic, 1)",3.752525,11316.345179796219
"#pragma omp parallel for schedule(dynamic, 1) num_threads(72)",3.81151566,9330.431198358536
#pragma omp parallel for simd schedule(dynamic),3.81715,9798.344293355942
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",3.819793,9394.346117019653
"#pragma omp parallel for simd schedule(dynamic, 1)",3.82112166,10554.559611797333
#pragma omp parallel for schedule(dynamic),3.85407066,9694.346091508865
#pragma omp parallel for schedule(dynamic) num_threads(72),3.86682333,6720.770401954651
#pragma omp parallel for simd schedule(dynamic) num_threads(72),3.87650066,8642.347629785538
"#pragma omp parallel for schedule(dynamic, 2)",3.882385,12962.814227581024
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",3.928655,13742.346248865128
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",3.946919,6548.3463706970215
"#pragma omp parallel for schedule(static, 1)",3.99604266,10742.855260133743
"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",31.419978,4696.47292137146
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",4.01241866,11000.473182201385
"#pragma omp parallel for schedule(static, 8)",4.01691566,10596.43086218834
"#pragma omp parallel for schedule(static, 1) num_threads(72)",4.03530733,9506.346310377121
